method,method_label,configurations,mean_valid_rate,mean_fpr_10,configuration_mae_10,configurations_closer_than_normal_10,mean_fpr_05,configuration_mae_05,configurations_closer_than_normal_05,mean_fpr_01,configuration_mae_01,configurations_closer_than_normal_01
normal_wald,Normal Wald,16,0.9998958333333333,0.1340823578595318,0.04887402452619844,0,0.07813719342251951,0.04188719342251951,0,0.03219133221850613,0.026566332218506135,0
simple_welch,Simple Welch,16,0.0,,,0,,,0,,,0
expanded_welch,Expanded Welch,16,0.9955208333333333,0.11524881559773886,0.037957148931072195,7,0.061158784131742396,0.0299087841317424,7,0.019002063864025497,0.015043730530692164,8
edgeworth_normal,Joint Edgeworth,16,0.9801041666666668,0.11918060952559033,0.03149382963828627,11,0.06258203195218874,0.022607517735181007,11,0.017338981733256383,0.009213981733256382,11
joint_influence_welch,Joint-Influence Welch,16,0.9872916666666667,0.11233193948289957,0.02911252695651925,13,0.057167690599166925,0.018705319962326186,12,0.015644480079858455,0.00852353685403067,10
