condition,condition_label,method,method_label,nominal_alpha,actual_rejection_rate
balanced_control,Balanced control,normal_wald,Normal Wald,0.073,0.060833333333333336
balanced_control,Balanced control,normal_wald,Normal Wald,0.074,0.06291666666666668
balanced_control,Balanced control,normal_wald,Normal Wald,0.075,0.06375
balanced_control,Balanced control,normal_wald,Normal Wald,0.076,0.06458333333333334
balanced_control,Balanced control,normal_wald,Normal Wald,0.077,0.06541666666666668
balanced_control,Balanced control,normal_wald,Normal Wald,0.078,0.06583333333333334
balanced_control,Balanced control,normal_wald,Normal Wald,0.079,0.06791666666666667
balanced_control,Balanced control,normal_wald,Normal Wald,0.08,0.07041666666666667
balanced_control,Balanced control,normal_wald,Normal Wald,0.081,0.07166666666666666
balanced_control,Balanced control,normal_wald,Normal Wald,0.082,0.07375
balanced_control,Balanced control,normal_wald,Normal Wald,0.083,0.07458333333333333
balanced_control,Balanced control,normal_wald,Normal Wald,0.084,0.07583333333333334
balanced_control,Balanced control,normal_wald,Normal Wald,0.085,0.07708333333333332
balanced_control,Balanced control,normal_wald,Normal Wald,0.08600000000000001,0.0775
balanced_control,Balanced control,normal_wald,Normal Wald,0.08700000000000001,0.07916666666666668
balanced_control,Balanced control,normal_wald,Normal Wald,0.088,0.08000000000000002
balanced_control,Balanced control,normal_wald,Normal Wald,0.089,0.08208333333333334
balanced_control,Balanced control,normal_wald,Normal Wald,0.09,0.08291666666666668
balanced_control,Balanced control,normal_wald,Normal Wald,0.091,0.08458333333333333
balanced_control,Balanced control,normal_wald,Normal Wald,0.092,0.0875
balanced_control,Balanced control,normal_wald,Normal Wald,0.093,0.08916666666666666
balanced_control,Balanced control,normal_wald,Normal Wald,0.094,0.09083333333333334
balanced_control,Balanced control,normal_wald,Normal Wald,0.095,0.09166666666666667
balanced_control,Balanced control,normal_wald,Normal Wald,0.096,0.09375
balanced_control,Balanced control,normal_wald,Normal Wald,0.097,0.09416666666666666
balanced_control,Balanced control,normal_wald,Normal Wald,0.098,0.095
balanced_control,Balanced control,normal_wald,Normal Wald,0.099,0.09541666666666666
balanced_control,Balanced control,normal_wald,Normal Wald,0.1,0.09625
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.0,0.0
