scenario_id,regime,rows,columns,n,margin_a,margin_b,target_mi_a,target_mi_b,pairing,pattern_a,pattern_b,true_mi_a,true_mi_b,true_delta,population_variance_a,population_variance_b,population_covariance,population_score_correlation,coupling_margin_error_a,coupling_margin_error_b,min_expected_joint_a,min_expected_joint_b,expected_joint_below_1_a,expected_joint_below_1_b,expected_joint_below_5_a,expected_joint_below_5_b,condition_distribution_l1,replicates,scenario_seed,simulation_and_test_seconds,mean_test_microseconds
balanced_2x2_n50_pair00,balanced_2x2,2,2,50,balanced,balanced,0.1,0.1,0.0,ordinal,ordinal,0.09999999999999987,0.09999999999999987,0.0,0.17952151361299115,0.17952151361299115,0.0,0.0,0.0,0.0,7.005134345964755,7.005134345964755,0.0,0.0,0.0,0.0,0.0,5000,3244640537,0.0054457500809803605,1.089150016196072
balanced_2x2_n50_pair04,balanced_2x2,2,2,50,balanced,balanced,0.1,0.1,0.4,ordinal,ordinal,0.09999999999999987,0.09999999999999987,0.0,0.17952151361299115,0.17952151361299115,0.07180860544519646,0.4,5.551115123125783e-17,5.551115123125783e-17,7.005134345964755,7.005134345964755,0.0,0.0,0.0,0.0,0.0,5000,580181347,0.0035342919873073697,0.7068583974614739
balanced_2x2_n50_pair08,balanced_2x2,2,2,50,balanced,balanced,0.1,0.1,0.8,ordinal,ordinal,0.09999999999999987,0.09999999999999987,0.0,0.17952151361299115,0.17952151361299115,0.14361721089039292,0.8,0.0,0.0,7.005134345964755,7.005134345964755,0.0,0.0,0.0,0.0,0.0,5000,1959552130,0.003470249939709902,0.6940499879419804
balanced_2x2_n100_pair00,balanced_2x2,2,2,100,balanced,balanced,0.1,0.1,0.0,ordinal,ordinal,0.09999999999999987,0.09999999999999987,0.0,0.17952151361299115,0.17952151361299115,0.0,0.0,0.0,0.0,14.01026869192951,14.01026869192951,0.0,0.0,0.0,0.0,0.0,5000,1042716632,0.003471583011560142,0.6943166023120284
balanced_2x2_n100_pair04,balanced_2x2,2,2,100,balanced,balanced,0.1,0.1,0.4,ordinal,ordinal,0.09999999999999987,0.09999999999999987,0.0,0.17952151361299115,0.17952151361299115,0.07180860544519646,0.4,5.551115123125783e-17,5.551115123125783e-17,14.01026869192951,14.01026869192951,0.0,0.0,0.0,0.0,0.0,5000,1379478681,0.0034895000280812383,0.6979000056162477
balanced_2x2_n100_pair08,balanced_2x2,2,2,100,balanced,balanced,0.1,0.1,0.8,ordinal,ordinal,0.09999999999999987,0.09999999999999987,0.0,0.17952151361299115,0.17952151361299115,0.14361721089039292,0.8,0.0,0.0,14.01026869192951,14.01026869192951,0.0,0.0,0.0,0.0,0.0,5000,437633189,0.003470208030194044,0.6940416060388088
balanced_2x2_n200_pair00,balanced_2x2,2,2,200,balanced,balanced,0.1,0.1,0.0,ordinal,ordinal,0.09999999999999987,0.09999999999999987,0.0,0.17952151361299115,0.17952151361299115,0.0,0.0,0.0,0.0,28.02053738385902,28.02053738385902,0.0,0.0,0.0,0.0,0.0,5000,2881208579,0.0035390410339459777,0.7078082067891955
balanced_2x2_n200_pair04,balanced_2x2,2,2,200,balanced,balanced,0.1,0.1,0.4,ordinal,ordinal,0.09999999999999987,0.09999999999999987,0.0,0.17952151361299115,0.17952151361299115,0.07180860544519646,0.4,5.551115123125783e-17,5.551115123125783e-17,28.02053738385902,28.02053738385902,0.0,0.0,0.0,0.0,0.0,5000,3027062025,0.004249790916219354,0.8499581832438707
balanced_2x2_n200_pair08,balanced_2x2,2,2,200,balanced,balanced,0.1,0.1,0.8,ordinal,ordinal,0.09999999999999987,0.09999999999999987,0.0,0.17952151361299115,0.17952151361299115,0.14361721089039292,0.8,0.0,0.0,28.02053738385902,28.02053738385902,0.0,0.0,0.0,0.0,0.0,5000,2874605071,0.008351583033800125,1.670316606760025
balanced_2x2_n500_pair00,balanced_2x2,2,2,500,balanced,balanced,0.1,0.1,0.0,ordinal,ordinal,0.09999999999999987,0.09999999999999987,0.0,0.17952151361299115,0.17952151361299115,0.0,0.0,0.0,0.0,70.05134345964754,70.05134345964754,0.0,0.0,0.0,0.0,0.0,5000,3678971728,0.003626000019721687,0.7252000039443374
