name,alphabet,N,skewness,gamma_samples,gamma_time_s,jidt_time_s,gamma_speedup_vs_jidt,gamma_fixed_margin_p,empirical_fixed_margin_p,jidt_p,gamma_abs_err_vs_jidt,empirical_abs_err_vs_jidt,chi2_dynamic_p
8x3_N50_strong,8x3,50,strong,20000,0.0059167500003241,0.0102987079881131,1.740602186597198,0.5956283387248199,1.0,1.0,0.4043716612751801,0.0,0.997630240926366
80x80_N1000000_balanced_5k,80x80,1000000,balanced,5000,2.1998860419844277,11.89621774997795,5.4076518160217315,0.3197630622652405,0.3171365726854629,0.32,0.00023693773475952362,0.0028634273145370925,0.294070825450182
80x80_N1000000_balanced,80x80,1000000,balanced,20000,9.05113562499173,12.66740158299217,1.3995372633700585,0.3160260108475227,0.3183340832958352,0.293,0.023026010847522704,0.025334083295835197,0.294070825450182
50x10_N2000000_mild_5k,50x10,2000000,mild,5000,0.1846802500076592,33.0700362920179,179.0664474985625,0.1100062092926933,0.1075784843031393,0.116,0.005993790707306712,0.008421515696860712,0.1080805830148421
20x3_N2000000_strong_5k,20x3,2000000,strong,5000,0.0196239160140976,35.50468050001655,1809.2556284133293,0.9177269277830756,0.9164167166566688,0.911,0.006726927783075598,0.005416716656668763,0.9134844472382556
