configuration,family,description,total_n,total_strata,informative_strata,reference,exact_status,exact_state_count,mean,variance,skewness,fourth_cumulant,lyapunov_ratio,max_variance_share,total_support_width,min_expected_count,fraction_expected_below_1,fraction_expected_below_5,degenerate_fraction,moment_seconds,exact_seconds,reference_sampling_seconds,permutation_seconds,permutations,runtime_speedup_vs_permutation,normal_p_mae,edgeworth_p_mae,chi2_nominal_p_mae,chi2_informative_p_mae,normal_tail_p_mae,edgeworth_tail_p_mae,chi2_nominal_tail_p_mae,chi2_informative_tail_p_mae,normal_tail_max_error,edgeworth_tail_max_error,chi2_nominal_tail_max_error,chi2_informative_tail_max_error,normal_monotonicity_violations,edgeworth_monotonicity_violations,alpha,reference_fpr,normal_fpr,edgeworth_fpr,cornish_fisher_fpr,chi2_nominal_fpr,chi2_informative_fpr,normal_fpr_error_vs_reference,normal_size_distortion,edgeworth_fpr_error_vs_reference,edgeworth_size_distortion,cornish_fisher_fpr_error_vs_reference,cornish_fisher_size_distortion,chi2_nominal_fpr_error_vs_reference,chi2_nominal_size_distortion,chi2_informative_fpr_error_vs_reference,chi2_informative_size_distortion
homogeneous_k5_n3_balanced,homogeneous,"5 equal strata of size 3; p_x=0.50, p_y=0.50",15,5,5,exact_convolution,available,6.0,9.853462641378446,8.54138691410136,0.31622776601683816,-21.88658712491457,0.5270462766947299,0.19999999999999998,10,0.3333333333333333,0.75,1.0,0.0,0.0003296670038253069,0.00020037498325109482,0.003296750015579164,0.006768499966710806,1000,20.531323693824955,0.12355242688077238,0.13045949159718878,0.5072336293195064,0.5072336293195064,0.029247631344564918,0.022698780870444704,0.03592198084389153,0.03592198084389153,0.03183914195817662,0.024762911935682128,0.039287159419113024,0.039287159419113024,0,0,0.1,0.04526748971193416,0.04526748971193416,0.04526748971193416,0.04526748971193416,0.5390946502057613,0.5390946502057613,0.0,0.05473251028806585,0.0,0.05473251028806585,0.0,0.05473251028806585,0.49382716049382713,0.4390946502057613,0.49382716049382713,0.4390946502057613
homogeneous_k5_n3_balanced,homogeneous,"5 equal strata of size 3; p_x=0.50, p_y=0.50",15,5,5,exact_convolution,available,6.0,9.853462641378446,8.54138691410136,0.31622776601683816,-21.88658712491457,0.5270462766947299,0.19999999999999998,10,0.3333333333333333,0.75,1.0,0.0,0.0003296670038253069,0.00020037498325109482,0.003296750015579164,0.006768499966710806,1000,20.531323693824955,0.12355242688077238,0.13045949159718878,0.5072336293195064,0.5072336293195064,0.029247631344564918,0.022698780870444704,0.03592198084389153,0.03592198084389153,0.03183914195817662,0.024762911935682128,0.039287159419113024,0.039287159419113024,0,0,0.05,0.04526748971193416,0.04526748971193416,0.04526748971193416,0.04526748971193416,0.20987654320987656,0.20987654320987656,0.0,0.004732510288065844,0.0,0.004732510288065844,0.0,0.004732510288065844,0.16460905349794241,0.15987654320987654,0.16460905349794241,0.15987654320987654
homogeneous_k5_n3_balanced,homogeneous,"5 equal strata of size 3; p_x=0.50, p_y=0.50",15,5,5,exact_convolution,available,6.0,9.853462641378446,8.54138691410136,0.31622776601683816,-21.88658712491457,0.5270462766947299,0.19999999999999998,10,0.3333333333333333,0.75,1.0,0.0,0.0003296670038253069,0.00020037498325109482,0.003296750015579164,0.006768499966710806,1000,20.531323693824955,0.12355242688077238,0.13045949159718878,0.5072336293195064,0.5072336293195064,0.029247631344564918,0.022698780870444704,0.03592198084389153,0.03592198084389153,0.03183914195817662,0.024762911935682128,0.039287159419113024,0.039287159419113024,0,0,0.01,0.00411522633744856,0.00411522633744856,0.00411522633744856,0.00411522633744856,0.04526748971193416,0.04526748971193416,0.0,0.00588477366255144,0.0,0.00588477366255144,0.0,0.00588477366255144,0.0411522633744856,0.03526748971193416,0.0411522633744856,0.03526748971193416
homogeneous_k5_n3_balanced,homogeneous,"5 equal strata of size 3; p_x=0.50, p_y=0.50",15,5,5,exact_convolution,available,6.0,9.853462641378446,8.54138691410136,0.31622776601683816,-21.88658712491457,0.5270462766947299,0.19999999999999998,10,0.3333333333333333,0.75,1.0,0.0,0.0003296670038253069,0.00020037498325109482,0.003296750015579164,0.006768499966710806,1000,20.531323693824955,0.12355242688077238,0.13045949159718878,0.5072336293195064,0.5072336293195064,0.029247631344564918,0.022698780870444704,0.03592198084389153,0.03592198084389153,0.03183914195817662,0.024762911935682128,0.039287159419113024,0.039287159419113024,0,0,0.001,0.0,0.00411522633744856,0.0,0.0,0.0,0.0,0.00411522633744856,0.00311522633744856,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.001
homogeneous_k5_n5_balanced,homogeneous,"5 equal strata of size 5; p_x=0.50, p_y=0.50",25,5,5,exact_convolution,available,21.0,8.146934639783533,22.141383723974183,0.5717604047575061,63.18047666328976,0.76262619664307,0.2,15,0.8,0.25,1.0,0.0,0.0002300830092281103,0.00021683296654373407,0.005065334029495716,0.00689862493891269,1000,29.983200246104275,0.05335549436556841,0.0615251757047103,0.27133171377685117,0.27133171377685117,0.027109922114024756,0.013304107952378984,0.05651847205143597,0.05651847205143597,0.03974375363169411,0.02337921282129185,0.088231639290766,0.088231639290766,0,0,0.1,0.09874,0.09874,0.09874,0.09874,0.37144,0.37144,0.0,0.0012600000000000111,0.0,0.0012600000000000111,0.0,0.0012600000000000111,0.2727,0.27144,0.2727,0.27144
homogeneous_k5_n5_balanced,homogeneous,"5 equal strata of size 5; p_x=0.50, p_y=0.50",25,5,5,exact_convolution,available,21.0,8.146934639783533,22.141383723974183,0.5717604047575061,63.18047666328976,0.76262619664307,0.2,15,0.8,0.25,1.0,0.0,0.0002300830092281103,0.00021683296654373407,0.005065334029495716,0.00689862493891269,1000,29.983200246104275,0.05335549436556841,0.0615251757047103,0.27133171377685117,0.27133171377685117,0.027109922114024756,0.013304107952378984,0.05651847205143597,0.05651847205143597,0.03974375363169411,0.02337921282129185,0.088231639290766,0.088231639290766,0,0,0.05,0.031509999999999996,0.06391,0.031509999999999996,0.031509999999999996,0.24184000000000003,0.24184000000000003,0.0324,0.013909999999999992,0.0,0.018490000000000006,0.0,0.018490000000000006,0.21033000000000002,0.19184,0.21033000000000002,0.19184
homogeneous_k5_n5_balanced,homogeneous,"5 equal strata of size 5; p_x=0.50, p_y=0.50",25,5,5,exact_convolution,available,21.0,8.146934639783533,22.141383723974183,0.5717604047575061,63.18047666328976,0.76262619664307,0.2,15,0.8,0.25,1.0,0.0,0.0002300830092281103,0.00021683296654373407,0.005065334029495716,0.00689862493891269,1000,29.983200246104275,0.05335549436556841,0.0615251757047103,0.27133171377685117,0.27133171377685117,0.027109922114024756,0.013304107952378984,0.05651847205143597,0.05651847205143597,0.03974375363169411,0.02337921282129185,0.088231639290766,0.088231639290766,0,0,0.01,0.007659999999999998,0.02746,0.007659999999999998,0.007659999999999998,0.09631,0.09631,0.019799999999999998,0.017459999999999996,0.0,0.002340000000000002,0.0,0.002340000000000002,0.08865,0.08631000000000001,0.08865,0.08631000000000001
homogeneous_k5_n5_balanced,homogeneous,"5 equal strata of size 5; p_x=0.50, p_y=0.50",25,5,5,exact_convolution,available,21.0,8.146934639783533,22.141383723974183,0.5717604047575061,63.18047666328976,0.76262619664307,0.2,15,0.8,0.25,1.0,0.0,0.0002300830092281103,0.00021683296654373407,0.005065334029495716,0.00689862493891269,1000,29.983200246104275,0.05335549436556841,0.0615251757047103,0.27133171377685117,0.27133171377685117,0.027109922114024756,0.013304107952378984,0.05651847205143597,0.05651847205143597,0.03974375363169411,0.02337921282129185,0.088231639290766,0.088231639290766,0,0,0.001,0.00045999999999999996,0.004959999999999999,0.0013599999999999999,0.00045999999999999996,0.007659999999999998,0.007659999999999998,0.004499999999999999,0.003959999999999999,0.0009,0.00035999999999999986,0.0,0.0005400000000000001,0.007199999999999998,0.006659999999999998,0.007199999999999998,0.006659999999999998
homogeneous_k5_n5_x_skew,homogeneous,"5 equal strata of size 5; p_x=0.10, p_y=0.50",25,5,5,exact_convolution,available,6.0,8.017688703123202,1.3141853757746165,0.18257418583505508,-0.633263840696619,0.47469288317114383,0.19999999999999998,10,0.4,0.5,1.0,0.0,0.00023908400908112526,0.0001924589741975069,0.004271124955266714,0.006976666976697743,1000,29.180818087797924,0.12132280468054096,0.12532532668318605,0.46028434066028834,0.46028434066028834,0.047690672895020075,0.04275179929159175,0.017613781608231252,0.017613781608231252,0.05309542256905957,0.047745458849795516,0.03811115271973878,0.03811115271973878,0,0,0.1,0.08703999999999999,0.08703999999999999,0.08703999999999999,0.08703999999999999,0.08703999999999999,0.08703999999999999,0.0,0.012960000000000013,0.0,0.012960000000000013,0.0,0.012960000000000013,0.0,0.012960000000000013,0.0,0.012960000000000013
homogeneous_k5_n5_x_skew,homogeneous,"5 equal strata of size 5; p_x=0.10, p_y=0.50",25,5,5,exact_convolution,available,6.0,8.017688703123202,1.3141853757746165,0.18257418583505508,-0.633263840696619,0.47469288317114383,0.19999999999999998,10,0.4,0.5,1.0,0.0,0.00023908400908112526,0.0001924589741975069,0.004271124955266714,0.006976666976697743,1000,29.180818087797924,0.12132280468054096,0.12532532668318605,0.46028434066028834,0.46028434066028834,0.047690672895020075,0.04275179929159175,0.017613781608231252,0.017613781608231252,0.05309542256905957,0.047745458849795516,0.03811115271973878,0.03811115271973878,0,0,0.05,0.010239999999999999,0.08703999999999999,0.08703999999999999,0.08703999999999999,0.010239999999999999,0.010239999999999999,0.0768,0.03703999999999999,0.0768,0.03703999999999999,0.0768,0.03703999999999999,0.0,0.039760000000000004,0.0,0.039760000000000004
