configuration_id,alpha,chi_squared_threshold,bartlett_scale,bartlett_threshold,empirical_threshold,development_valid_count
LR_C1_N0_n1000_scale1,0.01,6.634896601021215,0.9631438950202055,6.390360155363895,6.718523006261421,1000
LR_C1_N0_n1000_scale1,0.05,3.8414588206941205,0.9631438950202055,3.6998776111230605,3.865987641045649,1000
LR_C1_N0_n1000_scale1,0.1,2.705543454095418,0.9631438950202055,2.6058276605238815,2.622662000514538,1000
LR_C1_N0_n10_scale1,0.01,6.634896601021215,1.0660142978424838,7.072894641395114,5.243426539147535,998
LR_C1_N0_n10_scale1,0.05,3.8414588206941205,1.0660142978424838,4.095050027433059,3.8091091697460016,998
LR_C1_N0_n10_scale1,0.1,2.705543454095418,1.0660142978424838,2.8841480054998554,2.9725634363024156,998
LR_C1_N0_n50_scale1,0.01,6.634896601021215,1.114219755674888,7.392732869718004,7.771994123737642,1000
LR_C1_N0_n50_scale1,0.05,3.8414588206941205,1.114219755674888,4.280229308628947,4.31872278389605,1000
LR_C1_N0_n50_scale1,0.1,2.705543454095418,1.114219755674888,3.0145699663899896,3.1182709504319917,1000
LR_C1_N3_n50_scale1,0.01,6.634896601021215,0.9402841676721563,6.238688228082053,6.134419218865389,1000
LR_C1_N3_n50_scale1,0.05,3.8414588206941205,0.9402841676721563,3.612062909863234,3.599810905913671,1000
LR_C1_N3_n50_scale1,0.1,2.705543454095418,0.9402841676721563,2.543979674834961,2.3966473090072213,1000
LR_C1_N6_n100_scale1,0.01,6.634896601021215,0.612386285371967,4.063119683326472,3.589960145203463,1000
LR_C1_N6_n100_scale1,0.05,3.8414588206941205,0.612386285371967,2.3524566976142496,1.9662892661949058,1000
LR_C1_N6_n100_scale1,0.1,2.705543454095418,0.612386285371967,1.6568377057659343,1.5128131907209763,1000
LR_C1_N6_n200_scale1,0.01,6.634896601021215,0.8680656709633096,5.7595259697376635,4.632700290609705,1000
LR_C1_N6_n200_scale1,0.05,3.8414588206941205,0.8680656709633096,3.3346385286637656,3.0485526260792994,1000
LR_C1_N6_n200_scale1,0.1,2.705543454095418,0.8680656709633096,2.3485893937997293,2.3073419438601377,1000
LR_C1_N7_n1000_scale1,0.01,6.634896601021215,0.61856274162404,4.104099831919707,3.285802235802521,1000
LR_C1_N7_n1000_scale1,0.05,3.8414588206941205,0.61856274162404,2.376183299964407,2.3460846747343567,1000
LR_C1_N7_n1000_scale1,0.1,2.705543454095418,0.61856274162404,1.6735483765482368,1.7695101019078265,1000
LR_C2_N0_np20_nq200_scale1,0.01,6.634896601021215,1.1321946957075153,7.511994738244042,7.521979576171361,1000
LR_C2_N0_np20_nq200_scale1,0.05,3.8414588206941205,1.1321946957075153,4.34927930056873,4.216716893606531,1000
LR_C2_N0_np20_nq200_scale1,0.1,2.705543454095418,1.1321946957075153,3.0632019477330217,2.989773517290814,1000
LR_C2_N3_np500_nq50_scale1,0.01,6.634896601021215,1.047923856049383,6.952866430631097,7.24196141104585,1000
LR_C2_N3_np500_nq50_scale1,0.05,3.8414588206941205,1.047923856049383,4.025556340236698,3.6117469761447865,1000
LR_C2_N3_np500_nq50_scale1,0.1,2.705543454095418,1.047923856049383,2.8352035291248376,2.7619303483768363,1000
LR_C2_N5_np200_nq2000_scale1,0.01,6.634896601021215,1.0835259207413144,7.189082448644929,5.057881140953441,1000
LR_C2_N5_np200_nq2000_scale1,0.05,3.8414588206941205,1.0835259207413144,4.16232020568244,2.895560590277455,1000
LR_C2_N5_np200_nq2000_scale1,0.1,2.705543454095418,1.0835259207413144,2.931526462204374,2.2475948715105005,1000
LR_C3_C3_same_balanced_i0p005_n1000_scale1,0.01,6.634896601021215,0.9737430495639273,6.460684449819734,6.035854030441442,1000
LR_C3_C3_same_balanced_i0p005_n1000_scale1,0.05,3.8414588206941205,0.9737430495639273,3.7405938268369407,3.7409816989784304,1000
LR_C3_C3_same_balanced_i0p005_n1000_scale1,0.1,2.705543454095418,0.9737430495639273,2.6345041337185937,2.7056590865468024,1000
LR_C4_C4_s0p05_i0p0001_n500_scale1,0.01,6.634896601021215,0.5110567195903313,3.3908084917389414,3.2582022400615642,1000
LR_C4_C4_s0p05_i0p0001_n500_scale1,0.05,3.8414588206941205,0.5110567195903313,1.9632033433452798,1.754761174772625,1000
LR_C4_C4_s0p05_i0p0001_n500_scale1,0.1,2.705543454095418,0.5110567195903313,1.3826861623590985,1.3431649624664033,1000
LR_C4_C4_s0p1_i0p0001_n100_scale1,0.01,6.634896601021215,0.4734629635606326,3.141377807637873,2.5533704660480794,1000
LR_C4_C4_s0p1_i0p0001_n100_scale1,0.05,3.8414588206941205,0.4734629635606326,1.8187884776419712,1.5751147773851528,1000
LR_C4_C4_s0p1_i0p0001_n100_scale1,0.1,2.705543454095418,0.4734629635606326,1.280974621818087,1.1990047052438513,1000
