config,n,nu0,mean_c1_theory,mean_c1_emp_lastN,max_abs_mean_order1_error,lastN_mean_order1_error
b_asym_0p2_0p05,10,1,17.54605263157895,20.858110111429635,2.8446328664046026,0.02760047899875584
b_asym_0p5_0p1,10,1,5.055555555555555,6.743276511556502,0.8300531995117135,0.014064341300007888
b_sym_0p1,10,1,17.039094650205758,19.66471403877554,2.74450331609746,0.021880161571414813
b_sym_0p2,10,1,4.59375,6.321810016370941,0.6561877578096222,0.014400500136424466
b_sym_0p5,10,1,1.5,1.5592287920447845,0.18324288564466107,0.0004935732670399151
