alpha,saddle_mean_abs_calibration_error,chi2_nominal_mean_abs_calibration_error,chi2_dynamic_mean_abs_calibration_error,chi2_mean_abs_calibration_error,jidt_mean_abs_calibration_error,saddle_within_20pct_fraction,chi2_nominal_within_20pct_fraction,chi2_dynamic_within_20pct_fraction,chi2_within_20pct_fraction,jidt_within_20pct_fraction
0.1,0.12539682539682537,0.12698412698412698,0.13015873015873014,0.12698412698412698,0.16666666666666669,0.0,0.0,0.0,0.0,0.0
0.05,0.075,0.06944444444444445,0.07222222222222222,0.06944444444444445,0.09285714285714286,0.0,0.0,0.0,0.0,0.0
0.01,0.021190476190476194,0.021190476190476187,0.02492063492063491,0.021190476190476187,0.033333333333333326,0.0,0.0,0.0,0.0,0.0
