configuration_id,population_id,shape,rows,columns,experiment,profile,family,constructor,relationship,n_p,n_q,relative_effect,shared_reachable_mi,achieved_mi_p,achieved_mi_q,absolute_mi_difference,target_mi_p,target_mi_q,replicates,simulation_seed
2x2_uniform_common_loglinear_e0.3_np1000_nq1000,2x2_uniform_common_loglinear_e0.3,2x2,2,2,construction_check,uniform,common,loglinear,uniform,1000,1000,0.3,0.576240331422414,0.11524806628448281,0.28812016571120713,0.1728720994267242,0.11524806628448281,0.288120165711207,10000,1743528326110443290
2x2_uniform_common_loglinear_e0.3_np50_nq500,2x2_uniform_common_loglinear_e0.3,2x2,2,2,construction_check,uniform,common,loglinear,uniform,50,500,0.3,0.576240331422414,0.11524806628448281,0.28812016571120713,0.1728720994267242,0.11524806628448281,0.288120165711207,10000,15091564417512091924
2x2_uniform_common_loglinear_e0.3_np500_nq50,2x2_uniform_common_loglinear_e0.3,2x2,2,2,construction_check,uniform,common,loglinear,uniform,500,50,0.3,0.576240331422414,0.11524806628448281,0.28812016571120713,0.1728720994267242,0.11524806628448281,0.288120165711207,10000,5226815669764955137
2x2_uniform_common_loglinear_e0.6_np10_nq10,2x2_uniform_common_loglinear_e0.6,2x2,2,2,construction_check,uniform,common,loglinear,uniform,10,10,0.6,0.576240331422414,0.11524806628448281,0.46099226513793135,0.3457441988534484,0.11524806628448281,0.46099226513793123,10000,12227345367419816530
2x2_uniform_common_loglinear_e0.6_np50_nq50,2x2_uniform_common_loglinear_e0.6,2x2,2,2,construction_check,uniform,common,loglinear,uniform,50,50,0.6,0.576240331422414,0.11524806628448281,0.46099226513793135,0.3457441988534484,0.11524806628448281,0.46099226513793123,10000,17008135645669819973
2x2_uniform_common_loglinear_e0.6_np250_nq250,2x2_uniform_common_loglinear_e0.6,2x2,2,2,construction_check,uniform,common,loglinear,uniform,250,250,0.6,0.576240331422414,0.11524806628448281,0.46099226513793135,0.3457441988534484,0.11524806628448281,0.46099226513793123,10000,3249995387715603146
2x2_uniform_common_loglinear_e0.6_np1000_nq1000,2x2_uniform_common_loglinear_e0.6,2x2,2,2,construction_check,uniform,common,loglinear,uniform,1000,1000,0.6,0.576240331422414,0.11524806628448281,0.46099226513793135,0.3457441988534484,0.11524806628448281,0.46099226513793123,10000,4944256905788398835
2x2_uniform_common_loglinear_e0.6_np50_nq500,2x2_uniform_common_loglinear_e0.6,2x2,2,2,construction_check,uniform,common,loglinear,uniform,50,500,0.6,0.576240331422414,0.11524806628448281,0.46099226513793135,0.3457441988534484,0.11524806628448281,0.46099226513793123,10000,5598197048794779448
2x2_uniform_common_loglinear_e0.6_np500_nq50,2x2_uniform_common_loglinear_e0.6,2x2,2,2,construction_check,uniform,common,loglinear,uniform,500,50,0.6,0.576240331422414,0.11524806628448281,0.46099226513793135,0.3457441988534484,0.11524806628448281,0.46099226513793123,10000,13815351075344419072
2x2_different_skew_common_additive_e0_np10_nq10,2x2_different_skew_common_additive_e0,2x2,2,2,construction_check,different_skew,common,additive,different_skew,10,10,0.0,0.4220123665074754,0.08440247330149475,0.08440247330149497,0.0,0.08440247330149508,0.08440247330149508,10000,11961571270976751204
2x2_different_skew_common_additive_e0_np50_nq50,2x2_different_skew_common_additive_e0,2x2,2,2,construction_check,different_skew,common,additive,different_skew,50,50,0.0,0.4220123665074754,0.08440247330149475,0.08440247330149497,0.0,0.08440247330149508,0.08440247330149508,10000,11385845484395633971
2x2_different_skew_common_additive_e0_np250_nq250,2x2_different_skew_common_additive_e0,2x2,2,2,construction_check,different_skew,common,additive,different_skew,250,250,0.0,0.4220123665074754,0.08440247330149475,0.08440247330149497,0.0,0.08440247330149508,0.08440247330149508,10000,9144535310055372768
2x2_different_skew_common_additive_e0_np1000_nq1000,2x2_different_skew_common_additive_e0,2x2,2,2,construction_check,different_skew,common,additive,different_skew,1000,1000,0.0,0.4220123665074754,0.08440247330149475,0.08440247330149497,0.0,0.08440247330149508,0.08440247330149508,10000,11068860063043149817
