configuration_id,population_id,shape,rows,columns,experiment,profile,family,constructor,relationship,n_p,n_q,relative_effect,shared_reachable_mi,achieved_mi_p,achieved_mi_q,absolute_mi_difference,target_mi_p,target_mi_q,replicates,simulation_seed,minimum_true_expected_p,minimum_true_expected_q,true_expected_below_1_p,true_expected_below_1_q,true_expected_below_5_p,true_expected_below_5_q,observed_zero_fraction_p,observed_zero_fraction_q,empty_row_p,empty_row_q,empty_column_p,empty_column_q,method,method_label,nominal_alpha,valid_replicates,valid_rate,common_valid_replicates,common_valid_rate,rejections,common_valid_rejections,unconditional_rejection_rate,conditional_rejection_rate,common_valid_rejection_rate,wilson_95_low,wilson_95_high,monte_carlo_standard_error,absolute_calibration_error,invalid_reason_counts_json,component_degrees_of_freedom_p_median,component_degrees_of_freedom_p_p05,component_degrees_of_freedom_p_p95,component_degrees_of_freedom_p_fraction_below_1,component_degrees_of_freedom_p_fraction_above_1e4,component_degrees_of_freedom_q_median,component_degrees_of_freedom_q_p05,component_degrees_of_freedom_q_p95,component_degrees_of_freedom_q_fraction_below_1,component_degrees_of_freedom_q_fraction_above_1e4,welch_degrees_of_freedom_median,welch_degrees_of_freedom_p05,welch_degrees_of_freedom_p95,welch_degrees_of_freedom_fraction_below_1,welch_degrees_of_freedom_fraction_above_1e4
2x2_uniform_common_additive_e0_np1000_nq1000,2x2_uniform_common_additive_e0,2x2,2,2,construction_check,uniform,common,additive,uniform,1000,1000,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.0,0.11524806628448281,0.11524806628448281,10000,9287185939377583127,132.34184191848775,132.34184191848775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simple_welch,Simple Welch,0.05,10000,1.0,10000,1.0,487,487,0.0487,0.0487,0.0487,0.04465192097456977,0.05309467595480291,0.002152401217245521,0.0013000000000000025,"{""invalid_base"": 0, ""invalid_df"": 0}",,,,,,,,,,,,,,,
2x2_uniform_common_additive_e0_np1000_nq1000,2x2_uniform_common_additive_e0,2x2,2,2,construction_check,uniform,common,additive,uniform,1000,1000,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.0,0.11524806628448281,0.11524806628448281,10000,9287185939377583127,132.34184191848775,132.34184191848775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expanded_welch,Expanded Welch,0.05,10000,1.0,10000,1.0,482,482,0.0482,0.0482,0.0482,0.044172692916622396,0.05257428801112097,0.0021418860847393353,0.001800000000000003,"{""invalid_base"": 0, ""invalid_combined_df"": 0, ""invalid_component_p"": 0, ""invalid_component_q"": 0}",177.2793947338235,128.9787342584698,241.1060875345466,0.0,0.0,176.67372147052265,128.64922062108002,240.244257305738,0.0,0.0,355.3822256306423,285.26427897529817,442.0034390738328,0.0,0.0
2x2_uniform_common_additive_e0_np50_nq500,2x2_uniform_common_additive_e0,2x2,2,2,construction_check,uniform,common,additive,uniform,50,500,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.0,0.11524806628448281,0.11524806628448281,10000,5590902392918597200,6.617092095924387,66.17092095924387,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,normal_wald,Normal Wald,0.05,10000,1.0,9999,0.9999,891,890,0.0891,0.0891,0.089008900890089,0.08367292496749762,0.0948426448935244,0.002848880306365994,0.039099999999999996,"{""invalid_base"": 0}",,,,,,,,,,,,,,,
2x2_uniform_common_additive_e0_np50_nq500,2x2_uniform_common_additive_e0,2x2,2,2,construction_check,uniform,common,additive,uniform,50,500,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.0,0.11524806628448281,0.11524806628448281,10000,5590902392918597200,6.617092095924387,66.17092095924387,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,simple_welch,Simple Welch,0.05,10000,1.0,9999,0.9999,845,844,0.0845,0.0845,0.08440844084408441,0.07920689375256253,0.09011220889346973,0.002781362076393507,0.0345,"{""invalid_base"": 0, ""invalid_df"": 0}",,,,,,,,,,,,,,,
2x2_uniform_common_additive_e0_np50_nq500,2x2_uniform_common_additive_e0,2x2,2,2,construction_check,uniform,common,additive,uniform,50,500,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.0,0.11524806628448281,0.11524806628448281,10000,5590902392918597200,6.617092095924387,66.17092095924387,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,expanded_welch,Expanded Welch,0.05,9999,0.9999,9999,0.9999,284,284,0.0284,0.028402840284028404,0.028402840284028404,0.025320935521216358,0.031841251742005805,0.0016611273280516458,0.0216,"{""invalid_base"": 0, ""invalid_combined_df"": 1, ""invalid_component_p"": 1, ""invalid_component_q"": 0}",9.289055549515426,1.8882122113526074,48.11389948178503,0.015601560156015602,0.00010001000100010001,88.51297253869207,56.16917971746863,138.89759179941143,0.0,0.0,11.122665306444913,3.255412920705332,53.47111146370122,0.0,0.0
2x2_uniform_common_additive_e0_np500_nq50,2x2_uniform_common_additive_e0,2x2,2,2,construction_check,uniform,common,additive,uniform,500,50,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.0,0.11524806628448281,0.11524806628448281,10000,8411564156670436957,66.17092095924387,6.617092095924387,0.0,0.0,0.0,0.0,0.0,0.000375,0.0,0.0,0.0,0.0,normal_wald,Normal Wald,0.05,10000,1.0,10000,1.0,921,921,0.0921,0.0921,0.0921,0.08658798651880575,0.09792527935199222,0.0028916706243969077,0.0421,"{""invalid_base"": 0}",,,,,,,,,,,,,,,
2x2_uniform_common_additive_e0_np500_nq50,2x2_uniform_common_additive_e0,2x2,2,2,construction_check,uniform,common,additive,uniform,500,50,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.0,0.11524806628448281,0.11524806628448281,10000,8411564156670436957,66.17092095924387,6.617092095924387,0.0,0.0,0.0,0.0,0.0,0.000375,0.0,0.0,0.0,0.0,simple_welch,Simple Welch,0.05,10000,1.0,10000,1.0,888,888,0.0888,0.0888,0.0888,0.08338152212498394,0.0945342781350605,0.0028445484703200265,0.0388,"{""invalid_base"": 0, ""invalid_df"": 0}",,,,,,,,,,,,,,,
2x2_uniform_common_additive_e0_np500_nq50,2x2_uniform_common_additive_e0,2x2,2,2,construction_check,uniform,common,additive,uniform,500,50,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.0,0.11524806628448281,0.11524806628448281,10000,8411564156670436957,66.17092095924387,6.617092095924387,0.0,0.0,0.0,0.0,0.0,0.000375,0.0,0.0,0.0,0.0,expanded_welch,Expanded Welch,0.05,10000,1.0,10000,1.0,304,304,0.0304,0.0304,0.0304,0.027211172645034566,0.03394947862470489,0.0017168529348782324,0.019600000000000003,"{""invalid_base"": 0, ""invalid_combined_df"": 0, ""invalid_component_p"": 0, ""invalid_component_q"": 0}",88.59946108255474,56.549227522343166,138.05730481796934,0.0,0.0,9.289055549515425,1.8108306216654462,48.11389948178503,0.0164,0.0005,11.084164246608147,3.220337637946612,53.46257908075331,0.0,0.0002
2x2_uniform_common_additive_e0.1_np10_nq10,2x2_uniform_common_additive_e0.1,2x2,2,2,construction_check,uniform,common,additive,uniform,10,10,0.1,0.576240331422414,0.11524806628448281,0.1728720994267221,0.05762403314224143,0.11524806628448281,0.17287209942672424,10000,449827121570676112,1.3234184191848775,1.0741073330572926,0.0,0.0,1.0,1.0,0.126925,0.161,0.0028,0.002,0.0022,0.002,normal_wald,Normal Wald,0.05,9976,0.9976,9570,0.957,1629,1348,0.1629,0.16329190056134724,0.14085684430512016,0.15579203245867299,0.17026685924283716,0.0036927441016133245,,"{""invalid_base"": 24}",,,,,,,,,,,,,,,
2x2_uniform_common_additive_e0.1_np10_nq10,2x2_uniform_common_additive_e0.1,2x2,2,2,construction_check,uniform,common,additive,uniform,10,10,0.1,0.576240331422414,0.11524806628448281,0.1728720994267221,0.05762403314224143,0.11524806628448281,0.17287209942672424,10000,449827121570676112,1.3234184191848775,1.0741073330572926,0.0,0.0,1.0,1.0,0.126925,0.161,0.0028,0.002,0.0022,0.002,simple_welch,Simple Welch,0.05,9976,0.9976,9570,0.957,1292,1027,0.1292,0.12951082598235766,0.10731452455590387,0.12276797279142278,0.13591680040027096,0.0033542116808573668,,"{""invalid_base"": 24, ""invalid_df"": 0}",,,,,,,,,,,,,,,
