configuration_id,population_id,shape,rows,columns,experiment,profile,family,constructor,relationship,n_p,n_q,relative_effect,shared_reachable_mi,achieved_mi_p,achieved_mi_q,absolute_mi_difference,target_mi_p,target_mi_q,replicates,simulation_seed,nominal_alpha,method_a,method_b,both_reject,neither_rejects,only_method_a_rejects,only_method_b_rejects,rejection_rate_difference_a_minus_b,paired_standard_error,paired_95_low,paired_95_high
2x2_uniform_common_additive_e0_np500_nq50,2x2_uniform_common_additive_e0,2x2,2,2,construction_check,uniform,common,additive,uniform,500,50,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.0,0.11524806628448281,0.11524806628448281,10000,8411564156670436957,0.05,expanded_welch,normal_wald,304,9079,0,617,-0.0617,0.002406219023488697,-0.06641618928603785,-0.05698381071396215
2x2_uniform_common_additive_e0_np500_nq50,2x2_uniform_common_additive_e0,2x2,2,2,construction_check,uniform,common,additive,uniform,500,50,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.0,0.11524806628448281,0.11524806628448281,10000,8411564156670436957,0.05,simple_welch,normal_wald,888,9079,0,33,-0.0033,0.000573536306077862,-0.00442413115991261,-0.0021758688400873904
2x2_uniform_common_additive_e0_np500_nq50,2x2_uniform_common_additive_e0,2x2,2,2,construction_check,uniform,common,additive,uniform,500,50,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.0,0.11524806628448281,0.11524806628448281,10000,8411564156670436957,0.05,expanded_welch,simple_welch,293,9101,11,595,-0.0584,0.002391550951076552,-0.06308743986411004,-0.05371256013588996
2x2_uniform_common_additive_e0.1_np10_nq10,2x2_uniform_common_additive_e0.1,2x2,2,2,construction_check,uniform,common,additive,uniform,10,10,0.1,0.576240331422414,0.11524806628448281,0.1728720994267221,0.05762403314224143,0.11524806628448281,0.17287209942672424,10000,449827121570676112,0.05,expanded_welch,normal_wald,456,8371,0,1173,-0.1173,0.0032179351315169582,-0.12360715285777324,-0.11099284714222676
2x2_uniform_common_additive_e0.1_np10_nq10,2x2_uniform_common_additive_e0.1,2x2,2,2,construction_check,uniform,common,additive,uniform,10,10,0.1,0.576240331422414,0.11524806628448281,0.1728720994267221,0.05762403314224143,0.11524806628448281,0.17287209942672424,10000,449827121570676112,0.05,simple_welch,normal_wald,1292,8371,0,337,-0.0337,0.0018046486294200227,-0.037237111313663245,-0.030162888686336757
2x2_uniform_common_additive_e0.1_np10_nq10,2x2_uniform_common_additive_e0.1,2x2,2,2,construction_check,uniform,common,additive,uniform,10,10,0.1,0.576240331422414,0.11524806628448281,0.1728720994267221,0.05762403314224143,0.11524806628448281,0.17287209942672424,10000,449827121570676112,0.05,expanded_welch,simple_welch,405,8657,51,887,-0.0836,0.0029465186571986475,-0.08937517656810934,-0.07782482343189065
2x2_uniform_common_additive_e0.1_np50_nq50,2x2_uniform_common_additive_e0.1,2x2,2,2,construction_check,uniform,common,additive,uniform,50,50,0.1,0.576240331422414,0.11524806628448281,0.1728720994267221,0.05762403314224143,0.11524806628448281,0.17287209942672424,10000,2456436421043463792,0.05,expanded_welch,normal_wald,831,9044,0,125,-0.0125,0.0011110798575462452,-0.014677716520790642,-0.01032228347920936
2x2_uniform_common_additive_e0.1_np50_nq50,2x2_uniform_common_additive_e0.1,2x2,2,2,construction_check,uniform,common,additive,uniform,50,50,0.1,0.576240331422414,0.11524806628448281,0.1728720994267221,0.05762403314224143,0.11524806628448281,0.17287209942672424,10000,2456436421043463792,0.05,simple_welch,normal_wald,895,9044,0,61,-0.0061,0.000778678132454865,-0.007626209139611536,-0.004573790860388465
2x2_uniform_common_additive_e0.1_np50_nq50,2x2_uniform_common_additive_e0.1,2x2,2,2,construction_check,uniform,common,additive,uniform,50,50,0.1,0.576240331422414,0.11524806628448281,0.1728720994267221,0.05762403314224143,0.11524806628448281,0.17287209942672424,10000,2456436421043463792,0.05,expanded_welch,simple_welch,831,9105,0,64,-0.0064,0.000797475765625311,-0.00796305250062561,-0.00483694749937439
2x2_uniform_common_additive_e0.1_np250_nq250,2x2_uniform_common_additive_e0.1,2x2,2,2,construction_check,uniform,common,additive,uniform,250,250,0.1,0.576240331422414,0.11524806628448281,0.1728720994267221,0.05762403314224143,0.11524806628448281,0.17287209942672424,10000,16908078040276743582,0.05,expanded_welch,normal_wald,2566,7371,0,63,-0.0063,0.0007912607720346915,-0.007850871113187996,-0.004749128886812005
