population_id,side,max_cell_error,mi_error
2x2__mild__identical_distribution__primary__e0p4,p,2.3869795029440866e-15,2.4424906541753444e-15
2x2__mild__identical_distribution__primary__e0p4,q,1.6653345369377348e-15,3.1086244689504383e-15
2x2__mild__identical_distribution__primary__e0p6,p,2.3869795029440866e-15,2.4424906541753444e-15
2x2__mild__identical_distribution__primary__e0p6,q,1.3877787807814457e-16,0.0
2x2__strong__equal_mi_different_shape__primary__e0,p,2.42861286636753e-16,1.1102230246251565e-16
2x2__strong__equal_mi_different_shape__primary__e0,q,2.645453300864631e-16,1.1102230246251565e-16
2x2__strong__equal_mi_different_shape__primary__e0p01,p,2.42861286636753e-16,1.1102230246251565e-16
2x2__strong__equal_mi_different_shape__primary__e0p01,q,1.1102230246251565e-16,1.1102230246251565e-16
2x2__strong__equal_mi_different_shape__primary__e0p025,p,2.42861286636753e-16,1.1102230246251565e-16
2x2__strong__equal_mi_different_shape__primary__e0p025,q,1.3877787807814457e-16,5.551115123125783e-17
2x2__strong__equal_mi_different_shape__primary__e0p05,p,2.42861286636753e-16,1.1102230246251565e-16
2x2__strong__equal_mi_different_shape__primary__e0p05,q,4.163336342344337e-17,0.0
2x2__strong__equal_mi_different_shape__primary__e0p1,p,2.42861286636753e-16,1.1102230246251565e-16
2x2__strong__equal_mi_different_shape__primary__e0p1,q,2.220446049250313e-16,0.0
2x2__strong__equal_mi_different_shape__primary__e0p2,p,2.42861286636753e-16,1.1102230246251565e-16
2x2__strong__equal_mi_different_shape__primary__e0p2,q,1.1102230246251565e-16,0.0
2x2__strong__equal_mi_different_shape__primary__e0p4,p,2.42861286636753e-16,1.1102230246251565e-16
2x2__strong__equal_mi_different_shape__primary__e0p4,q,1.1102230246251565e-16,0.0
2x2__strong__equal_mi_different_shape__primary__e0p6,p,2.42861286636753e-16,1.1102230246251565e-16
2x2__strong__equal_mi_different_shape__primary__e0p6,q,0.0,0.0
2x2__strong__identical_distribution__primary__e0,p,2.42861286636753e-16,1.1102230246251565e-16
2x2__strong__identical_distribution__primary__e0,q,2.42861286636753e-16,1.1102230246251565e-16
2x2__strong__identical_distribution__primary__e0p01,p,2.42861286636753e-16,1.1102230246251565e-16
2x2__strong__identical_distribution__primary__e0p01,q,5.551115123125783e-17,2.220446049250313e-16
2x2__strong__identical_distribution__primary__e0p025,p,2.42861286636753e-16,1.1102230246251565e-16
2x2__strong__identical_distribution__primary__e0p025,q,4.163336342344337e-17,5.551115123125783e-17
