shape,profile,family,constructor,n_p,n_q,relative_effect,achieved_mi_p,achieved_mi_q,absolute_mi_difference,wald_rejection,wald_valid,welch_rejection,welch_valid,welch_minus_wald
2x2,uniform,common,loglinear,10,10,0.3,0.1152480662844828,0.2881201657112071,0.1728720994267242,0.2505,0.9975,0.0617,0.9278,-0.1888
2x2,uniform,common,loglinear,50,50,0.3,0.1152480662844828,0.2881201657112071,0.1728720994267242,0.3739,1.0,0.3595,1.0,-0.014400000000000024
2x2,uniform,common,loglinear,250,250,0.3,0.1152480662844828,0.2881201657112071,0.1728720994267242,0.9365,1.0,0.9355,1.0,-0.0010000000000000009
2x2,uniform,common,loglinear,1000,1000,0.3,0.1152480662844828,0.2881201657112071,0.1728720994267242,1.0,1.0,1.0,1.0,0.0
2x2,uniform,common,loglinear,50,500,0.3,0.1152480662844828,0.2881201657112071,0.1728720994267242,0.6578,1.0,0.6171,1.0,-0.04070000000000007
2x2,uniform,common,loglinear,500,50,0.3,0.1152480662844828,0.2881201657112071,0.1728720994267242,0.4558,1.0,0.4473,1.0,-0.008500000000000008
2x2,uniform,common,loglinear,10,10,0.6,0.1152480662844828,0.4609922651379313,0.3457441988534484,0.4524,0.9958,0.0685,0.8567,-0.3839
2x2,uniform,common,loglinear,50,50,0.6,0.1152480662844828,0.4609922651379313,0.3457441988534484,0.8502,1.0,0.8389,0.9945,-0.011299999999999977
2x2,uniform,common,loglinear,250,250,0.6,0.1152480662844828,0.4609922651379313,0.3457441988534484,1.0,1.0,1.0,1.0,0.0
2x2,uniform,common,loglinear,1000,1000,0.6,0.1152480662844828,0.4609922651379313,0.3457441988534484,1.0,1.0,1.0,1.0,0.0
2x2,uniform,common,loglinear,50,500,0.6,0.1152480662844828,0.4609922651379313,0.3457441988534484,0.9766,1.0,0.9754,1.0,-0.0011999999999999789
2x2,uniform,common,loglinear,500,50,0.6,0.1152480662844828,0.4609922651379313,0.3457441988534484,0.9609,1.0,0.9557,0.9965,-0.005199999999999982
2x2,different_skew,common,additive,10,10,0.0,0.0844024733014947,0.0844024733014949,0.0,0.1089,0.9858,0.0225,0.7665,-0.0864
2x2,different_skew,common,additive,50,50,0.0,0.0844024733014947,0.0844024733014949,0.0,0.0432,1.0,0.0314,1.0,-0.011800000000000005
2x2,different_skew,common,additive,250,250,0.0,0.0844024733014947,0.0844024733014949,0.0,0.0471,1.0,0.0423,1.0,-0.004800000000000006
2x2,different_skew,common,additive,1000,1000,0.0,0.0844024733014947,0.0844024733014949,0.0,0.0524,1.0,0.0506,1.0,-0.001800000000000003
2x2,different_skew,common,additive,50,500,0.0,0.0844024733014947,0.0844024733014949,0.0,0.1082,1.0,0.0264,1.0,-0.08180000000000001
2x2,different_skew,common,additive,500,50,0.0,0.0844024733014947,0.0844024733014949,0.0,0.1111,1.0,0.0285,1.0,-0.0826
2x2,different_skew,common,additive,10,10,0.1,0.0844024733014947,0.1266037099522338,0.0422012366507475,0.128,0.9875,0.0235,0.7769,-0.10450000000000001
2x2,different_skew,common,additive,50,50,0.1,0.0844024733014947,0.1266037099522338,0.0422012366507475,0.0705,1.0,0.0568,1.0,-0.01369999999999999
2x2,different_skew,common,additive,250,250,0.1,0.0844024733014947,0.1266037099522338,0.0422012366507475,0.1761,1.0,0.1678,1.0,-0.008300000000000002
2x2,different_skew,common,additive,1000,1000,0.1,0.0844024733014947,0.1266037099522338,0.0422012366507475,0.5355,1.0,0.5322,1.0,-0.0032999999999999696
2x2,different_skew,common,additive,50,500,0.1,0.0844024733014947,0.1266037099522338,0.0422012366507475,0.2177,1.0,0.0751,1.0,-0.1426
2x2,different_skew,common,additive,500,50,0.1,0.0844024733014947,0.1266037099522338,0.0422012366507475,0.0886,1.0,0.0566,1.0,-0.032
2x2,different_skew,common,additive,10,10,0.3,0.0844024733014947,0.2110061832537376,0.1266037099522426,0.1792,0.987,0.029,0.7855,-0.1502
2x2,different_skew,common,additive,50,50,0.3,0.0844024733014947,0.2110061832537376,0.1266037099522426,0.246,1.0,0.2266,0.9999,-0.0194
2x2,different_skew,common,additive,250,250,0.3,0.0844024733014947,0.2110061832537376,0.1266037099522426,0.7748,1.0,0.768,1.0,-0.006800000000000028
2x2,different_skew,common,additive,1000,1000,0.3,0.0844024733014947,0.2110061832537376,0.1266037099522426,0.9996,1.0,0.9996,1.0,0.0
2x2,different_skew,common,additive,50,500,0.3,0.0844024733014947,0.2110061832537376,0.1266037099522426,0.5469,1.0,0.4475,1.0,-0.09940000000000004
2x2,different_skew,common,additive,500,50,0.3,0.0844024733014947,0.2110061832537376,0.1266037099522426,0.2799,1.0,0.2673,1.0,-0.0126
2x2,different_skew,common,additive,10,10,0.6,0.0844024733014947,0.3376098932059788,0.2532074199044852,0.2869,0.9887,0.041,0.8036,-0.24589999999999998
2x2,different_skew,common,additive,50,50,0.6,0.0844024733014947,0.3376098932059788,0.2532074199044852,0.6368,1.0,0.6231,0.9999,-0.013700000000000045
2x2,different_skew,common,additive,250,250,0.6,0.0844024733014947,0.3376098932059788,0.2532074199044852,0.9978,1.0,0.9977,1.0,-9.999999999998899e-05
2x2,different_skew,common,additive,1000,1000,0.6,0.0844024733014947,0.3376098932059788,0.2532074199044852,1.0,1.0,1.0,1.0,0.0
2x2,different_skew,common,additive,50,500,0.6,0.0844024733014947,0.3376098932059788,0.2532074199044852,0.9075,1.0,0.8915,1.0,-0.016000000000000014
2x2,different_skew,common,additive,500,50,0.6,0.0844024733014947,0.3376098932059788,0.2532074199044852,0.7495,1.0,0.7415,1.0,-0.008000000000000007
2x2,different_skew,common,loglinear,10,10,0.0,0.0844024733014954,0.0844024733014949,0.0,0.1089,0.9858,0.0225,0.7665,-0.0864
2x2,different_skew,common,loglinear,50,50,0.0,0.0844024733014954,0.0844024733014949,0.0,0.0432,1.0,0.0314,1.0,-0.011800000000000005
2x2,different_skew,common,loglinear,250,250,0.0,0.0844024733014954,0.0844024733014949,0.0,0.0471,1.0,0.0423,1.0,-0.004800000000000006
2x2,different_skew,common,loglinear,1000,1000,0.0,0.0844024733014954,0.0844024733014949,0.0,0.0524,1.0,0.0506,1.0,-0.001800000000000003
