shape,skewness,relationship,interaction_pair,method,validity_frontier_n,calibration_frontier_n,operational_frontier_n,detection_frontier_n
3x5,balanced,identical_distribution,primary,normal_wald,3,100.0,100.0,100.0
3x5,balanced,identical_distribution,primary,simple_welch,3,100.0,100.0,100.0
3x5,mild,equal_mi_different_shape,primary,expanded_welch,10,20.0,20.0,100.0
3x5,mild,equal_mi_different_shape,primary,normal_wald,5,30.0,30.0,100.0
3x5,mild,equal_mi_different_shape,primary,simple_welch,5,30.0,30.0,100.0
3x5,mild,identical_distribution,primary,expanded_welch,10,8.0,10.0,50.0
3x5,mild,identical_distribution,primary,normal_wald,5,30.0,30.0,50.0
3x5,mild,identical_distribution,primary,simple_welch,5,20.0,20.0,50.0
3x5,strong,equal_mi_different_shape,primary,expanded_welch,50,20.0,50.0,250.0
3x5,strong,equal_mi_different_shape,primary,normal_wald,20,6.0,20.0,250.0
3x5,strong,equal_mi_different_shape,primary,simple_welch,20,8.0,20.0,250.0
3x5,strong,identical_distribution,primary,expanded_welch,50,20.0,,
3x5,strong,identical_distribution,primary,normal_wald,20,6.0,20.0,250.0
3x5,strong,identical_distribution,primary,simple_welch,20,8.0,20.0,250.0
3x5,ultra,equal_mi_different_shape,primary,expanded_welch,75,,,
3x5,ultra,equal_mi_different_shape,primary,normal_wald,50,75.0,75.0,
3x5,ultra,equal_mi_different_shape,primary,simple_welch,50,100.0,100.0,
3x5,ultra,identical_distribution,primary,expanded_welch,75,,,
3x5,ultra,identical_distribution,primary,normal_wald,50,75.0,75.0,
3x5,ultra,identical_distribution,primary,simple_welch,50,75.0,75.0,
4x4,balanced,equal_mi_different_shape,primary,expanded_welch,5,8.0,8.0,250.0
4x4,balanced,equal_mi_different_shape,primary,normal_wald,3,150.0,150.0,250.0
4x4,balanced,equal_mi_different_shape,primary,simple_welch,3,150.0,150.0,250.0
4x4,balanced,identical_distribution,primary,expanded_welch,8,8.0,8.0,100.0
4x4,balanced,identical_distribution,primary,normal_wald,3,150.0,150.0,250.0
4x4,balanced,identical_distribution,primary,simple_welch,3,100.0,100.0,100.0
4x4,mild,equal_mi_different_shape,primary,expanded_welch,12,20.0,20.0,50.0
4x4,mild,equal_mi_different_shape,primary,normal_wald,5,30.0,30.0,50.0
4x4,mild,equal_mi_different_shape,primary,simple_welch,5,30.0,30.0,50.0
4x4,mild,identical_distribution,primary,expanded_welch,10,20.0,20.0,50.0
4x4,mild,identical_distribution,primary,normal_wald,5,30.0,30.0,50.0
4x4,mild,identical_distribution,primary,simple_welch,5,30.0,30.0,50.0
4x4,strong,equal_mi_different_shape,primary,expanded_welch,50,15.0,50.0,250.0
4x4,strong,equal_mi_different_shape,primary,normal_wald,20,6.0,50.0,250.0
4x4,strong,equal_mi_different_shape,primary,simple_welch,20,8.0,20.0,250.0
4x4,strong,identical_distribution,primary,expanded_welch,50,15.0,50.0,250.0
4x4,strong,identical_distribution,primary,normal_wald,20,6.0,50.0,250.0
4x4,strong,identical_distribution,primary,simple_welch,20,8.0,20.0,250.0
4x4,ultra,equal_mi_different_shape,primary,expanded_welch,75,75.0,75.0,
4x4,ultra,equal_mi_different_shape,primary,normal_wald,50,15.0,50.0,
4x4,ultra,equal_mi_different_shape,primary,simple_welch,50,50.0,50.0,
4x4,ultra,identical_distribution,primary,expanded_welch,75,75.0,75.0,
4x4,ultra,identical_distribution,primary,normal_wald,50,15.0,50.0,250.0
4x4,ultra,identical_distribution,primary,simple_welch,50,50.0,50.0,250.0
4x8,balanced,equal_mi_different_shape,primary,expanded_welch,8,8.0,8.0,250.0
4x8,balanced,equal_mi_different_shape,primary,normal_wald,4,250.0,250.0,250.0
4x8,balanced,equal_mi_different_shape,primary,simple_welch,4,250.0,250.0,250.0
4x8,balanced,identical_distribution,primary,expanded_welch,8,8.0,8.0,250.0
4x8,balanced,identical_distribution,primary,normal_wald,4,250.0,250.0,250.0
4x8,balanced,identical_distribution,primary,simple_welch,4,250.0,250.0,250.0
4x8,mild,equal_mi_different_shape,primary,expanded_welch,10,30.0,30.0,100.0
4x8,mild,equal_mi_different_shape,primary,normal_wald,5,50.0,50.0,100.0
4x8,mild,equal_mi_different_shape,primary,simple_welch,5,30.0,30.0,100.0
4x8,mild,identical_distribution,primary,expanded_welch,10,30.0,30.0,50.0
4x8,mild,identical_distribution,primary,normal_wald,5,30.0,30.0,50.0
4x8,mild,identical_distribution,primary,simple_welch,5,30.0,30.0,50.0
4x8,strong,equal_mi_different_shape,primary,expanded_welch,50,15.0,50.0,250.0
4x8,strong,equal_mi_different_shape,primary,normal_wald,20,6.0,75.0,250.0
4x8,strong,equal_mi_different_shape,primary,simple_welch,20,6.0,20.0,250.0
4x8,strong,identical_distribution,primary,expanded_welch,50,15.0,50.0,
4x8,strong,identical_distribution,primary,normal_wald,20,6.0,75.0,250.0
4x8,strong,identical_distribution,primary,simple_welch,20,6.0,20.0,250.0
4x8,ultra,equal_mi_different_shape,primary,expanded_welch,75,75.0,75.0,
4x8,ultra,equal_mi_different_shape,primary,normal_wald,50,15.0,50.0,
4x8,ultra,equal_mi_different_shape,primary,simple_welch,50,50.0,50.0,
4x8,ultra,identical_distribution,primary,expanded_welch,75,75.0,75.0,
4x8,ultra,identical_distribution,primary,normal_wald,50,15.0,50.0,
4x8,ultra,identical_distribution,primary,simple_welch,50,50.0,50.0,
5x5,balanced,equal_mi_different_shape,primary,expanded_welch,5,6.0,6.0,250.0
5x5,balanced,equal_mi_different_shape,primary,normal_wald,4,250.0,250.0,250.0
5x5,balanced,equal_mi_different_shape,primary,simple_welch,4,250.0,250.0,250.0
5x5,balanced,identical_distribution,primary,expanded_welch,5,8.0,8.0,250.0
5x5,balanced,identical_distribution,primary,normal_wald,4,250.0,250.0,250.0
5x5,balanced,identical_distribution,primary,simple_welch,4,250.0,250.0,250.0
5x5,mild,equal_mi_different_shape,primary,expanded_welch,10,30.0,30.0,50.0
5x5,mild,equal_mi_different_shape,primary,normal_wald,5,30.0,30.0,50.0
5x5,mild,equal_mi_different_shape,primary,simple_welch,5,30.0,30.0,50.0
5x5,mild,identical_distribution,primary,expanded_welch,10,30.0,30.0,50.0
5x5,mild,identical_distribution,primary,normal_wald,5,30.0,30.0,50.0
5x5,mild,identical_distribution,primary,simple_welch,5,30.0,30.0,50.0
5x5,strong,equal_mi_different_shape,primary,expanded_welch,50,15.0,50.0,250.0
5x5,strong,equal_mi_different_shape,primary,normal_wald,20,6.0,75.0,250.0
5x5,strong,equal_mi_different_shape,primary,simple_welch,20,6.0,30.0,250.0
5x5,strong,identical_distribution,primary,expanded_welch,50,15.0,50.0,250.0
5x5,strong,identical_distribution,primary,normal_wald,20,6.0,75.0,250.0
5x5,strong,identical_distribution,primary,simple_welch,20,6.0,75.0,250.0
5x5,ultra,equal_mi_different_shape,primary,expanded_welch,75,75.0,75.0,
5x5,ultra,equal_mi_different_shape,primary,normal_wald,50,12.0,50.0,
5x5,ultra,equal_mi_different_shape,primary,simple_welch,50,15.0,50.0,
5x5,ultra,identical_distribution,primary,expanded_welch,75,75.0,75.0,250.0
5x5,ultra,identical_distribution,primary,normal_wald,50,12.0,50.0,250.0
5x5,ultra,identical_distribution,primary,simple_welch,50,12.0,50.0,250.0
8x8,balanced,equal_mi_different_shape,primary,expanded_welch,5,15.0,15.0,
8x8,balanced,equal_mi_different_shape,primary,normal_wald,4,,,
8x8,balanced,equal_mi_different_shape,primary,simple_welch,4,,,
8x8,balanced,identical_distribution,primary,expanded_welch,5,8.0,8.0,
8x8,balanced,identical_distribution,primary,normal_wald,4,,,
8x8,balanced,identical_distribution,primary,simple_welch,4,,,
8x8,mild,equal_mi_different_shape,primary,expanded_welch,10,50.0,50.0,100.0
8x8,mild,equal_mi_different_shape,primary,normal_wald,5,50.0,50.0,100.0
8x8,mild,equal_mi_different_shape,primary,simple_welch,5,50.0,50.0,100.0
8x8,mild,identical_distribution,primary,expanded_welch,10,50.0,50.0,50.0
8x8,mild,identical_distribution,primary,normal_wald,5,50.0,50.0,50.0
8x8,mild,identical_distribution,primary,simple_welch,5,50.0,50.0,50.0
8x8,strong,equal_mi_different_shape,primary,expanded_welch,50,12.0,75.0,250.0
8x8,strong,equal_mi_different_shape,primary,normal_wald,20,100.0,100.0,250.0
8x8,strong,equal_mi_different_shape,primary,simple_welch,20,5.0,100.0,250.0
8x8,strong,identical_distribution,primary,expanded_welch,50,15.0,75.0,250.0
8x8,strong,identical_distribution,primary,normal_wald,20,100.0,100.0,250.0
8x8,strong,identical_distribution,primary,simple_welch,20,5.0,100.0,250.0
8x8,ultra,equal_mi_different_shape,primary,expanded_welch,75,50.0,75.0,
8x8,ultra,equal_mi_different_shape,primary,normal_wald,50,12.0,250.0,
8x8,ultra,equal_mi_different_shape,primary,simple_welch,50,12.0,150.0,
8x8,ultra,identical_distribution,primary,expanded_welch,75,50.0,75.0,
8x8,ultra,identical_distribution,primary,normal_wald,50,12.0,150.0,250.0
8x8,ultra,identical_distribution,primary,simple_welch,50,12.0,150.0,250.0
