scenario_id,family,rows,columns,n_p,n_q,margin_p,margin_q,target_mi_p,target_mi_q,regular,pattern_p,pattern_q,true_mi_p,true_mi_q,true_delta,association_p,association_q,min_probability_p,min_probability_q,min_expected_p,min_expected_q,different_distributions_l1,method,method_label,replicates,valid_rate,power_05,median_df
curve_effect_d02_n300,power,3,3,300,300,balanced,strong,0.05,0.07,True,ordinal,ordinal,0.050000000000000044,0.0699999999999999,-0.01999999999999985,0.4981902486666496,1.0967621487016028,0.06072212360554866,0.005143909260806264,18.216637081664597,1.5431727782418792,1.3614578564715452,expanded_welch,Expanded Welch,10000,1.0,0.0689,38.94900430643505
curve_effect_d02_n300,power,3,3,300,300,balanced,strong,0.05,0.07,True,ordinal,ordinal,0.050000000000000044,0.0699999999999999,-0.01999999999999985,0.4981902486666496,1.0967621487016028,0.06072212360554866,0.005143909260806264,18.216637081664597,1.5431727782418792,1.3614578564715452,corrected_expanded_welch,Corrected expanded Welch,10000,1.0,0.0691,40.70038817534308
curve_effect_d05_n300,power,3,3,300,300,balanced,strong,0.05,0.1,True,ordinal,ordinal,0.050000000000000044,0.10000000000000031,-0.050000000000000266,0.4981902486666496,1.3627334629580388,0.06072212360554866,0.00617519664374432,18.216637081664597,1.852558993123296,1.3759996378121608,expanded_welch,Expanded Welch,10000,1.0,0.2652,60.82169496387398
curve_effect_d05_n300,power,3,3,300,300,balanced,strong,0.05,0.1,True,ordinal,ordinal,0.050000000000000044,0.10000000000000031,-0.050000000000000266,0.4981902486666496,1.3627334629580388,0.06072212360554866,0.00617519664374432,18.216637081664597,1.852558993123296,1.3759996378121608,corrected_expanded_welch,Corrected expanded Welch,10000,1.0,0.2658,62.46133026543719
curve_effect_d10_n300,power,3,3,300,300,balanced,strong,0.05,0.15,True,ordinal,ordinal,0.050000000000000044,0.14999999999999997,-0.09999999999999992,0.4981902486666496,1.9369508745436932,0.06072212360554866,0.003811628013332327,18.216637081664597,1.1434884039996982,1.3960533277975058,expanded_welch,Expanded Welch,10000,1.0,0.7362,121.3444163546671
curve_effect_d10_n300,power,3,3,300,300,balanced,strong,0.05,0.15,True,ordinal,ordinal,0.050000000000000044,0.14999999999999997,-0.09999999999999992,0.4981902486666496,1.9369508745436932,0.06072212360554866,0.003811628013332327,18.216637081664597,1.1434884039996982,1.3960533277975058,corrected_expanded_welch,Corrected expanded Welch,10000,1.0,0.7363,124.37000705199478
curve_sample_d05_n150,power,3,3,150,150,balanced,strong,0.05,0.1,True,ordinal,ordinal,0.050000000000000044,0.10000000000000031,-0.050000000000000266,0.4981902486666496,1.3627334629580388,0.06072212360554866,0.00617519664374432,9.108318540832299,0.926279496561648,1.3759996378121608,expanded_welch,Expanded Welch,10000,1.0,0.1402,34.32329015219442
curve_sample_d05_n150,power,3,3,150,150,balanced,strong,0.05,0.1,True,ordinal,ordinal,0.050000000000000044,0.10000000000000031,-0.050000000000000266,0.4981902486666496,1.3627334629580388,0.06072212360554866,0.00617519664374432,9.108318540832299,0.926279496561648,1.3759996378121608,corrected_expanded_welch,Corrected expanded Welch,10000,1.0,0.1411,36.07688621893385
curve_sample_d05_n600,power,3,3,600,600,balanced,strong,0.05,0.1,True,ordinal,ordinal,0.050000000000000044,0.10000000000000031,-0.050000000000000266,0.4981902486666496,1.3627334629580388,0.06072212360554866,0.00617519664374432,36.433274163329195,3.705117986246592,1.3759996378121608,expanded_welch,Expanded Welch,10000,1.0,0.5063,113.55083769927309
curve_sample_d05_n600,power,3,3,600,600,balanced,strong,0.05,0.1,True,ordinal,ordinal,0.050000000000000044,0.10000000000000031,-0.050000000000000266,0.4981902486666496,1.3627334629580388,0.06072212360554866,0.00617519664374432,36.433274163329195,3.705117986246592,1.3759996378121608,corrected_expanded_welch,Corrected expanded Welch,10000,1.0,0.5065,115.13219971645705
