configuration_id,alphabet_size,regime,sample_size,true_mi_difference,replicates,minimum_expected_count,fraction_expected_below_1,fraction_expected_below_5,lr_valid_rate,lr_median_elapsed_ms,lr_p90_elapsed_ms,lr_median_iterations,lr_max_constraint_residual
5x5_ultra_n500_delta0.02,5,ultra,500,0.02,500,0.0003223642818918364,0.52,0.84,1.0,43.08402060996741,58.79238753113896,45.0,1.0858561411142276e-09
5x5_ultra_n500_delta0.035,5,ultra,500,0.035,500,5.867136019467578e-05,0.52,0.86,1.0,44.465833459980786,73.4598338371143,44.0,1.2042744301776764e-09
5x5_ultra_n1000_delta0.005,5,ultra,1000,0.005,500,0.002304181794608157,0.48,0.68,1.0,57.08585400134325,75.16550840809943,49.0,3.7199894553641144e-10
5x5_ultra_n1000_delta0.01,5,ultra,1000,0.01,500,0.00156432338857849,0.48,0.68,1.0,55.30118755996227,72.07184957806021,49.0,2.618947475552247e-09
5x5_ultra_n1000_delta0.02,5,ultra,1000,0.02,500,0.0006447285637836728,0.48,0.7,1.0,55.87310437113047,73.0880920542404,49.0,3.8245873829056976e-10
5x5_ultra_n1000_delta0.035,5,ultra,1000,0.035,500,0.00011734272038935155,0.5,0.72,1.0,56.09125003684312,81.59268805757165,48.0,5.2993916893617765e-09
8x8_balanced_n25_delta0.005,8,balanced,25,0.005,250,0.13819870585750874,1.0,1.0,0.988,333.44412478618324,1051.5935667790473,102.0,8.112165161833218e-09
8x8_balanced_n25_delta0.01,8,balanced,25,0.01,250,0.12979932356966462,1.0,1.0,0.988,261.2164579331875,1089.3180411774665,50.0,9.587828420087874e-09
8x8_balanced_n25_delta0.02,8,balanced,25,0.02,250,0.11474507398828379,1.0,1.0,0.992,232.43468767032027,1161.7456251289698,64.5,8.566415798938465e-09
8x8_balanced_n25_delta0.035,8,balanced,25,0.035,250,0.09568845308060824,1.0,1.0,0.984,111.21941660530865,1071.8640624545515,47.5,9.12662490026861e-09
8x8_balanced_n50_delta0.005,8,balanced,50,0.005,250,0.27639741171501747,0.84375,1.0,1.0,116.474749869667,1049.7405044734478,45.0,4.781167906031669e-09
8x8_balanced_n50_delta0.01,8,balanced,50,0.01,250,0.25959864713932923,0.84375,1.0,0.996,129.04020911082625,1016.5195171255621,45.0,2.8887381375852783e-09
8x8_balanced_n50_delta0.02,8,balanced,50,0.02,250,0.22949014797656758,0.84375,1.0,0.992,118.88168763834983,1034.9167959298939,44.0,4.560318789259554e-09
8x8_balanced_n50_delta0.035,8,balanced,50,0.035,250,0.19137690616121647,0.8125,1.0,0.988,113.57512511312962,992.4755166750402,45.0,6.5667379312017715e-09
8x8_balanced_n75_delta0.005,8,balanced,75,0.005,250,0.41459611757252623,0.3125,1.0,0.996,127.07879091612995,783.792266948149,51.0,3.809298376733494e-09
8x8_balanced_n75_delta0.01,8,balanced,75,0.01,250,0.38939797070899385,0.3125,1.0,0.992,132.59449996985495,920.1310161734002,53.0,6.253159268165831e-09
8x8_balanced_n75_delta0.02,8,balanced,75,0.02,250,0.34423522196485135,0.328125,1.0,1.0,132.0160625036806,818.1288214400411,50.0,9.370988096613075e-09
8x8_balanced_n75_delta0.035,8,balanced,75,0.035,250,0.2870653592418247,0.328125,1.0,0.992,130.79622900113463,875.9025500854478,53.0,3.4674287885394506e-09
8x8_balanced_n100_delta0.005,8,balanced,100,0.005,250,0.5527948234300349,0.15625,1.0,1.0,136.4861874608323,586.1972875427455,54.0,4.156759381146458e-09
8x8_balanced_n100_delta0.01,8,balanced,100,0.01,250,0.5191972942786585,0.15625,1.0,1.0,133.80314642563462,489.92125866934657,54.0,5.595753305165374e-09
8x8_balanced_n100_delta0.02,8,balanced,100,0.02,250,0.45898029595313516,0.15625,1.0,1.0,138.54122895281762,601.0426543653011,55.0,4.722850277527613e-09
8x8_balanced_n100_delta0.035,8,balanced,100,0.035,250,0.38275381232243294,0.15625,1.0,1.0,134.12418740335852,663.7578956084326,55.0,4.703072209455428e-09
8x8_balanced_n150_delta0.005,8,balanced,150,0.005,250,0.8291922351450525,0.03125,1.0,1.0,166.76735400687903,386.9340378092602,65.0,4.690719257460785e-09
