scenario_id,shape_index,design_index,rows,columns,n_p,n_q,target_mi,regime,regime_label,variant,method,method_label,valid_replicates,valid_rate,nominal_alpha,rejections,rejection_rate,rejection_rate_low,rejection_rate_high,absolute_calibration_error
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.026,249,0.0249,0.022023555462864056,0.028141319788952842,0.0011000000000000003
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.027,263,0.0263,0.023340779696836927,0.029623020359542077,0.0006999999999999992
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.028,271,0.0271,0.024094537831905,0.030468647827080923,0.0009000000000000015
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.029,280,0.028,0.024943385248869215,0.03141910921304949,0.0010000000000000009
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.03,288,0.0288,0.02569865595525375,0.03226322410927187,0.0011999999999999997
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.031,304,0.0304,0.027211172645034566,0.03394947862470489,0.0005999999999999998
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.032,313,0.0313,0.028063060012120035,0.034896900060552204,0.0006999999999999992
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.033,325,0.0325,0.02920006871775234,0.036158969758830276,0.0005000000000000004
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.034,337,0.0337,0.03033833762278134,0.03741977925771164,0.00030000000000000165
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.035,345,0.0345,0.03109785167105089,0.03825965081204902,0.0005000000000000004
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.036,356,0.0356,0.032143018815656274,0.03941363887102814,0.0003999999999999976
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.037,368,0.0368,0.033284258546591346,0.040671477544003444,0.0001999999999999988
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.038,378,0.0378,0.03423609837226937,0.04171886972158407,0.0001999999999999988
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.039,391,0.0391,0.035474538349595804,0.04307943134849388,0.00010000000000000286
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.04,406,0.0406,0.03690491219282244,0.0446479055101552,0.0005999999999999964
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.041,412,0.0412,0.03747746616189304,0.045274890743039795,0.0001999999999999988
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.042,424,0.0424,0.03862324112699029,0.046528194181852923,0.0003999999999999976
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.043,435,0.0435,0.039674290803033356,0.04767629970939436,0.0005000000000000004
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.044,444,0.0444,0.04053475956156519,0.04861513975379532,0.0004000000000000045
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.045,462,0.0462,0.04225704225860869,0.050491474662617365,0.0011999999999999997
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.046,471,0.0471,0.04311883126035707,0.05142899446380179,0.0011000000000000038
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.047,487,0.0487,0.04465192097456977,0.05309467595480291,0.0017000000000000001
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.048,499,0.0499,0.04580256463405874,0.05434311069922432,0.001899999999999999
fixed_2x2_d0,0,0,2,2,200,200,0.1,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.049,509,0.0509,0.04676195595728594,0.055382951379255765,0.001899999999999999
