scenario_id,shape_index,design_index,rows,columns,n_p,n_q,target_mi,margin_alpha_p,margin_alpha_q,association_p,association_q,generation_attempts,true_mi_p,true_mi_q,true_delta,distribution_l1,population_variance_p,population_variance_q,pooled_mixture_mi,pooled_mixture_variance,min_probability_p,min_probability_q,min_joint_expected_p,min_joint_expected_q,independence_expected_below_1_p,independence_expected_below_1_q,independence_expected_below_5_p,independence_expected_below_5_q,is_permutation_anchor,probability_p_json,probability_q_json,replicates,valid_rate,mean_zero_fraction_p,mean_zero_fraction_q,mean_expected_below_1_p,mean_expected_below_1_q,mean_expected_below_5_p,mean_expected_below_5_q,mean_standardized_correction_difference,deterministic_microseconds_per_pair,wald_plugin_fpr_10,wald_plugin_fpr_10_low,wald_plugin_fpr_10_high,wald_plugin_fpr_05,wald_plugin_fpr_05_low,wald_plugin_fpr_05_high,wald_plugin_bias,wald_plugin_rmse,wald_plugin_coverage_95,wald_analytic_fpr_10,wald_analytic_fpr_10_low,wald_analytic_fpr_10_high,wald_analytic_fpr_05,wald_analytic_fpr_05_low,wald_analytic_fpr_05_high,wald_analytic_bias,wald_analytic_rmse,wald_analytic_coverage_95,wald_jackknife_fpr_10,wald_jackknife_fpr_10_low,wald_jackknife_fpr_10_high,wald_jackknife_fpr_05,wald_jackknife_fpr_05_low,wald_jackknife_fpr_05_high,wald_jackknife_bias,wald_jackknife_rmse,wald_jackknife_coverage_95
strong_2x2_d0,0,0,2,2,400,400,0.03,50.0,50.0,0.2506186966480493,0.2506186966480493,1,0.030000000000000138,0.030000000000000138,0.0,0.0,0.05821320795934803,0.05821320795934803,0.030000000000000138,0.05821320795934803,0.16638626217677482,0.16638626217677482,66.55450487070993,66.55450487070993,0.0,0.0,0.0,0.0,True,"[[0.27271548309752597, 0.16638626217677482], [0.2106613817112232, 0.3502368730144759]]","[[0.27271548309752597, 0.16638626217677482], [0.2106613817112232, 0.3502368730144759]]",3000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.534424485990629e-05,0.688027668123444,0.102,0.09167401569627516,0.11334394788908429,0.050333333333333334,0.04306877699858019,0.05874800095506296,0.00026993984987702956,0.017515057458603905,0.9496666666666667,0.102,0.09167401569627516,0.11334394788908429,0.050333333333333334,0.04306877699858019,0.05874800095506296,0.00026993984987702956,0.017515057458603905,0.9496666666666667,0.102,0.09167401569627516,0.11334394788908429,0.050333333333333334,0.04306877699858019,0.05874800095506296,0.00026991987088772855,0.01751434118993473,0.9496666666666667
strong_2x2_d1,0,1,2,2,200,400,0.07,20.0,20.0,0.3924492188246169,0.3924492188246169,1,0.07000000000000006,0.07000000000000006,0.0,0.0,0.13063401602674596,0.13063401602674596,0.07000000000000006,0.13063401602674604,0.1478106938930265,0.1478106938930265,29.562138778605302,59.124277557210604,0.0,0.0,0.0,0.0,False,"[[0.1478106938930265, 0.4064663523721402], [0.28349872126841363, 0.1622242324664197]]","[[0.1478106938930265, 0.4064663523721402], [0.28349872126841363, 0.1622242324664197]]",3000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012508105062534187,0.7806110273425778,0.09233333333333334,0.08248889653771861,0.10322045812299714,0.04766666666666667,0.04060396824367272,0.05588629690317217,0.0016709530083929417,0.03148095994710484,0.9523333333333334,0.09433333333333334,0.08438660427552334,0.1053176349902911,0.048,0.04091172361423537,0.056244355633459295,0.0004209530083929405,0.03143940134083722,0.952,0.09433333333333334,0.08438660427552334,0.1053176349902911,0.04766666666666667,0.04060396824367272,0.05588629690317217,0.00038173670212673965,0.03143427403943664,0.9523333333333334
strong_2x2_d2,0,2,2,2,120,480,0.15,5.0,5.0,0.6034176765386606,0.6034176765386606,2,0.14999999999999147,0.14999999999999147,0.0,0.0,0.25247065506725563,0.25247065506725563,0.14999999999999147,0.2524706550672555,0.0910816736666828,0.0910816736666828,10.929800840001935,43.71920336000774,0.0,0.0,0.0,0.0,True,"[[0.0910816736666828, 0.33877409714022055], [0.42776649172168996, 0.1423777374714068]]","[[0.0910816736666828, 0.33877409714022055], [0.42776649172168996, 0.1423777374714068]]",3000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003971853605933794,0.6673890165984631,0.107,0.09643697103671706,0.11856820406138915,0.05433333333333333,0.046777164892545124,0.06302938227129541,0.003291132106440878,0.052080304127852965,0.9456666666666667,0.11033333333333334,0.09961649080933166,0.12204682529727237,0.059,0.051118946111304464,0.06800899846443303,0.00016613210644086647,0.0519764766734376,0.941,0.11033333333333334,0.09961649080933166,0.12204682529727237,0.059,0.051118946111304464,0.06800899846443303,-3.8978134132482484e-05,0.0519320743809552,0.941
strong_2x2_d3,0,3,2,2,800,800,0.03,1.0,1.0,0.3258778807073018,0.3258778807073018,1,0.030000000000000138,0.030000000000000138,0.0,0.0,0.05755461346651035,0.05755461346651035,0.030000000000000138,0.05755461346651035,0.055803465781333765,0.055803465781333765,44.64277262506701,44.64277262506701,0.0,0.0,0.0,0.0,False,"[[0.5003206065870733, 0.31465026973307536], [0.055803465781333765, 0.1292256578985176]]","[[0.5003206065870733, 0.31465026973307536], [0.055803465781333765, 0.1292256578985176]]",3000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.246264449405911e-05,0.7324443043520054,0.10333333333333333,0.09294337324704592,0.11473784674171268,0.043666666666666666,0.036919139743031126,0.05158135619361637,2.78894545679782e-05,0.012217339110801593,0.9563333333333334,0.10333333333333333,0.09294337324704592,0.11473784674171268,0.043666666666666666,0.036919139743031126,0.05158135619361637,2.78894545679782e-05,0.012217339110801593,0.9563333333333334,0.10333333333333333,0.09294337324704592,0.11473784674171268,0.043666666666666666,0.036919139743031126,0.05158135619361637,2.7881981991716505e-05,0.012216772144397507,0.9563333333333334
strong_2x2_d4,0,4,2,2,120,240,0.07,10.0,10.0,0.4102416736861064,0.4102416736861064,2,0.0700000000000005,0.0700000000000005,0.0,0.0,0.12646637538484873,0.12646637538484873,0.0700000000000005,0.12646637538484873,0.0860143961024708,0.0860143961024708,10.321727532296496,20.64345506459299,0.0,0.0,0.0,0.0,False,"[[0.35456139327241537, 0.0860143961024708], [0.24843183973630883, 0.310992370888805]]","[[0.35456139327241537, 0.0860143961024708], [0.24843183973630883, 0.310992370888805]]",3000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003757887207297276,0.6565140016997854,0.102,0.09167401569627516,0.11334394788908429,0.05333333333333334,0.04584887477722537,0.06196023008406582,0.0026690681095851094,0.040483250049592745,0.9466666666666667,0.10533333333333333,0.09484845851016444,0.11682764608369284,0.054,0.046467649316585216,0.06267308374640554,0.0005857347762517809,0.04039941454071281,0.946,0.10566666666666667,0.09516609321057437,0.11717582548413269,0.054,0.046467649316585216,0.06267308374640554,0.0004343938615334082,0.04035574406284919,0.946
strong_2x2_d5,0,5,2,2,120,480,0.15,2.0,2.0,0.6701449709713284,0.6701449709713284,1,0.15000000000007163,0.15000000000007163,0.0,0.0,0.230907870389228,0.230907870389228,0.15000000000007163,0.230907870389228,0.04111301307368648,0.04111301307368648,4.933561568842377,19.734246275369507,0.0,0.0,0.0,0.0,False,"[[0.04111301307368648, 0.37142992669138286], [0.3628371397655114, 0.22461992046941928]]","[[0.04111301307368648, 0.37142992669138286], [0.3628371397655114, 0.22461992046941928]]",3000,1.0,0.0015833333333333333,0.0,0.0,0.0,0.0,0.0,0.011293088523042423,0.7339446650197109,0.12866666666666668,0.11715825620598928,0.14112483544735283,0.06733333333333333,0.05890793542797179,0.07686536166901026,0.0035751807072438697,0.05056049160449779,0.9326666666666666,0.13,0.11843732405857244,0.14250902399816878,0.06733333333333333,0.05890793542797179,0.07686536166901026,0.00045018070724385734,0.05043594013070657,0.9326666666666666,0.12733333333333333,0.11587961022876217,0.13974022502118075,0.06533333333333333,0.0570347299761277,0.07474368251575565,-5.063940494457124e-05,0.05019797627461788,0.9346666666666666
strong_2x5_d0,1,0,2,5,1000,1000,0.03,50.0,50.0,0.2681282239423453,0.2681282239423453,1,0.03000000000000025,0.03000000000000025,0.0,0.0,0.05681067280592694,0.05681067280592694,0.03000000000000025,0.05681067280592694,0.040162642403579356,0.040162642403579356,40.162642403579355,40.162642403579355,0.0,0.0,0.0,0.0,False,"[[0.076793765255158, 0.11544674400525592, 0.1317646908456489, 0.11580150768387754, 0.09044435682315621], [0.09883103197684741, 0.10639205690699739, 0.08322205901913934, 0.040162642403579356, 0.14114114508033987]]","[[0.076793765255158, 0.11544674400525592, 0.1317646908456489, 0.11580150768387754, 0.09044435682315621], [0.09883103197684741, 0.10639205690699739, 0.08322205901913934, 0.040162642403579356, 0.14114114508033987]]",3000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.301350728174485e-05,0.910874999438723,0.08866666666666667,0.07901360649644529,0.09937179305492286,0.047,0.03998876360822057,0.055169873336924746,0.0003227661752334135,0.010734342752779019,0.953,0.08866666666666667,0.07901360649644529,0.09937179305492286,0.047,0.03998876360822057,0.055169873336924746,0.0003227661752334135,0.010734342752779019,0.953,0.08866666666666667,0.07901360649644529,0.09937179305492286,0.047,0.03998876360822057,0.055169873336924746,0.0003227640163962254,0.010733696580522664,0.953
strong_2x5_d1,1,1,2,5,500,1000,0.07,20.0,20.0,0.43523826023831086,0.43523826023831086,1,0.06999999999998985,0.06999999999998985,0.0,0.0,0.12706946945974942,0.12706946945974942,0.06999999999998985,0.1270694694597494,0.014799835610635172,0.014799835610635172,7.399917805317586,14.799835610635173,0.0,0.0,0.0,0.0,True,"[[0.09687360237151889, 0.10972943773027419, 0.14822261500010606, 0.08446153098724522, 0.17271319684004308], [0.014799835610635172, 0.11599057754986189, 0.04783641529320978, 0.14588565452747532, 0.0634871340896304]]","[[0.09687360237151889, 0.10972943773027419, 0.14822261500010606, 0.08446153098724522, 0.17271319684004308], [0.014799835610635172, 0.11599057754986189, 0.04783641529320978, 0.14588565452747532, 0.0634871340896304]]",3000,1.0,6.666666666666667e-05,0.0,0.0,0.0,0.0,0.0,0.004305265451545641,0.9377363215511044,0.10933333333333334,0.09866229125278742,0.12100358255126725,0.05433333333333333,0.046777164892545124,0.06302938227129541,0.0017668180246158,0.020129156966164272,0.9456666666666667,0.11033333333333334,0.09961649080933166,0.12204682529727237,0.058666666666666666,0.050808308888806025,0.06765382158608169,-0.0002331819753842017,0.02005282244647911,0.9413333333333334,0.111,0.1002527848792385,0.1227421594290651,0.059,0.051118946111304464,0.06800899846443303,-0.00031694079523221795,0.020038142929420383,0.941
strong_2x5_d2,1,2,2,5,250,1000,0.15,5.0,5.0,0.6564843939567813,0.6564843939567813,2,0.1500000000000008,0.1500000000000008,0.0,0.0,0.2325562776112031,0.2325562776112031,0.1500000000000008,0.23255627761120307,0.009859232762815135,0.009859232762815135,2.4648081907037835,9.859232762815134,0.0,0.0,0.0,0.0,False,"[[0.1983023051936702, 0.12707641925621202, 0.009859232762815135, 0.03422626912307, 0.0175160400370043], [0.07078999771974115, 0.14678846881638402, 0.15809624283399745, 0.14744484867039015, 0.08990017558671548]]","[[0.1983023051936702, 0.12707641925621202, 0.009859232762815135, 0.03422626912307, 0.0175160400370043], [0.07078999771974115, 0.14678846881638402, 0.15809624283399745, 0.14744484867039015, 0.08990017558671548]]",3000,1.0,0.009966666666666669,0.0,0.0,0.0,0.00013333333333333334,0.0,0.03431568196870264,0.9269029833376408,0.112,0.10120746500581854,0.1237849216050344,0.063,0.05485230532925785,0.07226540845667705,0.00625024023940725,0.03540664870879815,0.937,0.11366666666666667,0.10279922771896328,0.12552222939613855,0.059333333333333335,0.05142965866607646,0.06836410001051081,0.00025024023940724456,0.03485151201763491,0.9406666666666667,0.11366666666666667,0.10279922771896328,0.12552222939613855,0.058,0.050187262845582316,0.06694323942760584,-0.0006085350035004732,0.03480636590011756,0.942
strong_2x5_d3,1,3,2,5,2000,2000,0.03,1.0,1.0,0.31002870104294106,0.31002870104294106,1,0.03000000000000025,0.03000000000000025,0.0,0.0,0.05582864396268444,0.05582864396268444,0.03000000000000025,0.05582864396268444,0.0004207419940769625,0.0004207419940769625,0.841483988153925,0.841483988153925,0.1,0.1,0.2,0.2,False,"[[0.13145169164752482, 0.13174348036820163, 0.25051287097674774, 0.0020237803488248824, 0.31765976130705287], [0.059197840849857096, 0.03975506574186483, 0.04479058765222409, 0.0004207419940769625, 0.022444179113625146]]","[[0.13145169164752482, 0.13174348036820163, 0.25051287097674774, 0.0020237803488248824, 0.31765976130705287], [0.059197840849857096, 0.03975506574186483, 0.04479058765222409, 0.0004207419940769625, 0.022444179113625146]]",3000,1.0,0.04470000000000001,0.045,0.07423333333333333,0.07456666666666666,0.17093333333333333,0.17013333333333333,0.033328347982808856,0.9591249981895089,0.10233333333333333,0.0919913019625579,0.11369247572365133,0.048,0.04091172361423537,0.056244355633459295,-0.00021452475400440604,0.007574582824006162,0.952,0.10233333333333333,0.0919913019625579,0.11369247572365133,0.048,0.04091172361423537,0.056244355633459295,-0.00021452475400440604,0.007574582824006162,0.952,0.10333333333333333,0.09294337324704592,0.11473784674171268,0.049666666666666665,0.04245199158544549,0.058033158166498094,-0.0002145837259298181,0.007595500991890824,0.9503333333333334
