scenario_id,shape_index,design_index,rows,columns,n_p,n_q,target_mi,margin_alpha_p,margin_alpha_q,association_p,association_q,generation_attempts,true_mi_p,true_mi_q,true_delta,distribution_l1,population_variance_p,population_variance_q,pooled_mixture_mi,pooled_mixture_variance,min_probability_p,min_probability_q,min_joint_expected_p,min_joint_expected_q,independence_expected_below_1_p,independence_expected_below_1_q,independence_expected_below_5_p,independence_expected_below_5_q,is_permutation_anchor,probability_p_json,probability_q_json
strong_2x2_d0,0,0,2,2,400,400,0.03,50.0,50.0,0.2506186966480493,0.2506186966480493,1,0.030000000000000138,0.030000000000000138,0.0,0.0,0.05821320795934803,0.05821320795934803,0.030000000000000138,0.05821320795934803,0.16638626217677482,0.16638626217677482,66.55450487070993,66.55450487070993,0.0,0.0,0.0,0.0,True,"[[0.27271548309752597, 0.16638626217677482], [0.2106613817112232, 0.3502368730144759]]","[[0.27271548309752597, 0.16638626217677482], [0.2106613817112232, 0.3502368730144759]]"
strong_2x2_d1,0,1,2,2,200,400,0.07,20.0,20.0,0.3924492188246169,0.3924492188246169,1,0.07000000000000006,0.07000000000000006,0.0,0.0,0.13063401602674596,0.13063401602674596,0.07000000000000006,0.13063401602674604,0.1478106938930265,0.1478106938930265,29.562138778605302,59.124277557210604,0.0,0.0,0.0,0.0,False,"[[0.1478106938930265, 0.4064663523721402], [0.28349872126841363, 0.1622242324664197]]","[[0.1478106938930265, 0.4064663523721402], [0.28349872126841363, 0.1622242324664197]]"
strong_2x2_d2,0,2,2,2,120,480,0.15,5.0,5.0,0.6034176765386606,0.6034176765386606,2,0.14999999999999147,0.14999999999999147,0.0,0.0,0.25247065506725563,0.25247065506725563,0.14999999999999147,0.2524706550672555,0.0910816736666828,0.0910816736666828,10.929800840001935,43.71920336000774,0.0,0.0,0.0,0.0,True,"[[0.0910816736666828, 0.33877409714022055], [0.42776649172168996, 0.1423777374714068]]","[[0.0910816736666828, 0.33877409714022055], [0.42776649172168996, 0.1423777374714068]]"
strong_2x2_d3,0,3,2,2,800,800,0.03,1.0,1.0,0.3258778807073018,0.3258778807073018,1,0.030000000000000138,0.030000000000000138,0.0,0.0,0.05755461346651035,0.05755461346651035,0.030000000000000138,0.05755461346651035,0.055803465781333765,0.055803465781333765,44.64277262506701,44.64277262506701,0.0,0.0,0.0,0.0,False,"[[0.5003206065870733, 0.31465026973307536], [0.055803465781333765, 0.1292256578985176]]","[[0.5003206065870733, 0.31465026973307536], [0.055803465781333765, 0.1292256578985176]]"
strong_2x2_d4,0,4,2,2,120,240,0.07,10.0,10.0,0.4102416736861064,0.4102416736861064,2,0.0700000000000005,0.0700000000000005,0.0,0.0,0.12646637538484873,0.12646637538484873,0.0700000000000005,0.12646637538484873,0.0860143961024708,0.0860143961024708,10.321727532296496,20.64345506459299,0.0,0.0,0.0,0.0,False,"[[0.35456139327241537, 0.0860143961024708], [0.24843183973630883, 0.310992370888805]]","[[0.35456139327241537, 0.0860143961024708], [0.24843183973630883, 0.310992370888805]]"
strong_2x2_d5,0,5,2,2,120,480,0.15,2.0,2.0,0.6701449709713284,0.6701449709713284,1,0.15000000000007163,0.15000000000007163,0.0,0.0,0.230907870389228,0.230907870389228,0.15000000000007163,0.230907870389228,0.04111301307368648,0.04111301307368648,4.933561568842377,19.734246275369507,0.0,0.0,0.0,0.0,False,"[[0.04111301307368648, 0.37142992669138286], [0.3628371397655114, 0.22461992046941928]]","[[0.04111301307368648, 0.37142992669138286], [0.3628371397655114, 0.22461992046941928]]"
strong_2x5_d0,1,0,2,5,1000,1000,0.03,50.0,50.0,0.2681282239423453,0.2681282239423453,1,0.03000000000000025,0.03000000000000025,0.0,0.0,0.05681067280592694,0.05681067280592694,0.03000000000000025,0.05681067280592694,0.040162642403579356,0.040162642403579356,40.162642403579355,40.162642403579355,0.0,0.0,0.0,0.0,False,"[[0.076793765255158, 0.11544674400525592, 0.1317646908456489, 0.11580150768387754, 0.09044435682315621], [0.09883103197684741, 0.10639205690699739, 0.08322205901913934, 0.040162642403579356, 0.14114114508033987]]","[[0.076793765255158, 0.11544674400525592, 0.1317646908456489, 0.11580150768387754, 0.09044435682315621], [0.09883103197684741, 0.10639205690699739, 0.08322205901913934, 0.040162642403579356, 0.14114114508033987]]"
strong_2x5_d1,1,1,2,5,500,1000,0.07,20.0,20.0,0.43523826023831086,0.43523826023831086,1,0.06999999999998985,0.06999999999998985,0.0,0.0,0.12706946945974942,0.12706946945974942,0.06999999999998985,0.1270694694597494,0.014799835610635172,0.014799835610635172,7.399917805317586,14.799835610635173,0.0,0.0,0.0,0.0,True,"[[0.09687360237151889, 0.10972943773027419, 0.14822261500010606, 0.08446153098724522, 0.17271319684004308], [0.014799835610635172, 0.11599057754986189, 0.04783641529320978, 0.14588565452747532, 0.0634871340896304]]","[[0.09687360237151889, 0.10972943773027419, 0.14822261500010606, 0.08446153098724522, 0.17271319684004308], [0.014799835610635172, 0.11599057754986189, 0.04783641529320978, 0.14588565452747532, 0.0634871340896304]]"
strong_2x5_d2,1,2,2,5,250,1000,0.15,5.0,5.0,0.6564843939567813,0.6564843939567813,2,0.1500000000000008,0.1500000000000008,0.0,0.0,0.2325562776112031,0.2325562776112031,0.1500000000000008,0.23255627761120307,0.009859232762815135,0.009859232762815135,2.4648081907037835,9.859232762815134,0.0,0.0,0.0,0.0,False,"[[0.1983023051936702, 0.12707641925621202, 0.009859232762815135, 0.03422626912307, 0.0175160400370043], [0.07078999771974115, 0.14678846881638402, 0.15809624283399745, 0.14744484867039015, 0.08990017558671548]]","[[0.1983023051936702, 0.12707641925621202, 0.009859232762815135, 0.03422626912307, 0.0175160400370043], [0.07078999771974115, 0.14678846881638402, 0.15809624283399745, 0.14744484867039015, 0.08990017558671548]]"
strong_2x5_d3,1,3,2,5,2000,2000,0.03,1.0,1.0,0.31002870104294106,0.31002870104294106,1,0.03000000000000025,0.03000000000000025,0.0,0.0,0.05582864396268444,0.05582864396268444,0.03000000000000025,0.05582864396268444,0.0004207419940769625,0.0004207419940769625,0.841483988153925,0.841483988153925,0.1,0.1,0.2,0.2,False,"[[0.13145169164752482, 0.13174348036820163, 0.25051287097674774, 0.0020237803488248824, 0.31765976130705287], [0.059197840849857096, 0.03975506574186483, 0.04479058765222409, 0.0004207419940769625, 0.022444179113625146]]","[[0.13145169164752482, 0.13174348036820163, 0.25051287097674774, 0.0020237803488248824, 0.31765976130705287], [0.059197840849857096, 0.03975506574186483, 0.04479058765222409, 0.0004207419940769625, 0.022444179113625146]]"
