scenario_id,family,rows,columns,n_p,n_q,margin_p,margin_q,target_mi_p,target_mi_q,regular,true_mi_p,true_mi_q,true_delta_x,association_p,association_q,min_probability_p,min_probability_q,min_expected_p,min_expected_q,different_distributions_l1,scenario_seconds,replicates_x,probability_p_json,probability_q_json,scenario_seed,replicates_y,true_delta_y,mean_zero_cells_p,mean_zero_cells_q,studentization_valid_rate,mean_deterministic_ms,mean_permutation_ms,wald_jackknife_95_coverage,mean_delta_plugin_bias,mean_delta_jackknife_bias,naive_perm_plugin_fpr_10,naive_perm_plugin_fpr_10_low,naive_perm_plugin_fpr_10_high,naive_perm_plugin_valid_n,naive_perm_plugin_fpr_05,naive_perm_plugin_fpr_05_low,naive_perm_plugin_fpr_05_high,student_perm_plugin_fpr_10,student_perm_plugin_fpr_10_low,student_perm_plugin_fpr_10_high,student_perm_plugin_valid_n,student_perm_plugin_fpr_05,student_perm_plugin_fpr_05_low,student_perm_plugin_fpr_05_high,student_perm_jackknife_fpr_10,student_perm_jackknife_fpr_10_low,student_perm_jackknife_fpr_10_high,student_perm_jackknife_valid_n,student_perm_jackknife_fpr_05,student_perm_jackknife_fpr_05_low,student_perm_jackknife_fpr_05_high,wald_plugin_fpr_10,wald_plugin_fpr_10_low,wald_plugin_fpr_10_high,wald_plugin_valid_n,wald_plugin_fpr_05,wald_plugin_fpr_05_low,wald_plugin_fpr_05_high,wald_jackknife_fpr_10,wald_jackknife_fpr_10_low,wald_jackknife_fpr_10_high,wald_jackknife_valid_n,wald_jackknife_fpr_05,wald_jackknife_fpr_05_low,wald_jackknife_fpr_05_high
strong_2x2_bal_100,strong_null,2,2,100,100,balanced,balanced,0.05,0.05,True,0.0499999999999996,0.0499999999999996,0.0,0.3244922783229479,0.3244922783229479,0.17160920081751688,0.17160920081751688,17.160920081751687,17.160920081751687,0.0,1.8853931670309976,2000,"[[0.3283907991824831, 0.17160920081751688], [0.17160920081751688, 0.3283907991824831]]","[[0.3283907991824831, 0.17160920081751688], [0.17160920081751688, 0.3283907991824831]]",1062694068,2000,0.0,0.0,0.0,1.0,0.1149256273638457,0.8138188976445235,0.967,-0.0009139564138038272,-0.0009133282859011089,0.1005,0.08807923318177419,0.11445248759594692,2000,0.0475,0.03901402059617837,0.05772090719335554,0.1025,0.08996025752458311,0.11656379506401299,2000,0.048,0.03946691899074103,0.05826609175151163,0.1025,0.08996025752458311,0.11656379506401299,2000,0.048,0.03946691899074103,0.05826609175151163,0.0845,0.07309256807381256,0.09750049821690865,2000,0.033,0.026022752700289684,0.04176776946040056,0.084,0.07262616146352031,0.09696882187448215,2000,0.033,0.026022752700289684,0.04176776946040056
strong_3x3_strong_250,strong_null,3,3,250,250,strong,strong,0.1,0.1,True,0.10000000000000031,0.10000000000000031,0.0,1.3627334629580388,1.3627334629580388,0.00617519664374432,0.00617519664374432,1.54379916093608,1.54379916093608,0.0,3.020146167022176,2000,"[[0.8524633094433587, 0.03670704567290481, 0.010829644883783627], [0.0367070456728842, 0.00617519664374432, 0.007117757683364322], [0.010829644883757041, 0.007117757683350845, 0.03205259743285202]]","[[0.8524633094433587, 0.03670704567290481, 0.010829644883783627], [0.0367070456728842, 0.00617519664374432, 0.007117757683364322], [0.010829644883757041, 0.007117757683350845, 0.03205259743285202]]",292201944,2000,0.0,0.6775,0.646,1.0,0.11437772319186479,1.381455825001467,0.9495,0.0008391101349961934,0.0009061014460795462,0.0915,0.0796350667564281,0.10493116087235556,2000,0.045,0.036753817044713276,0.054990695981226904,0.0925,0.08057157812198121,0.10599081541223995,2000,0.044,0.035851820416416526,0.05389652670408616,0.0935,0.08150853615947415,0.10705002328018451,2000,0.0455,0.03720527135020146,0.055537324628457466,0.0985,0.08619980868374258,0.11233958028310354,2000,0.0505,0.041735473261678015,0.060987952244168385,0.0955,0.08338376688235076,0.10916712436818286,2000,0.0505,0.041735473261678015,0.060987952244168385
strong_5x5_mild_500,strong_null,5,5,500,500,mild,mild,0.1,0.1,True,0.10000000000000009,0.10000000000000009,0.0,0.999479546084054,0.999479546084054,0.004268374171104369,0.004268374171104369,2.1341870855521843,2.1341870855521843,0.0,5.794338208972476,2000,"[[0.5605974799588306, 0.05238142223642898, 0.04153423299269965, 0.02867298701198395, 0.016813877800156116], [0.05238142223641679, 0.006283773809266327, 0.006396855868849423, 0.0056695739143585114, 0.00426837417111067], [0.04153423299267407, 0.006396855868846972, 0.008360450889577415, 0.00951328853818371, 0.009195171710704879], [0.0286729870119512, 0.005669573914353355, 0.009513288538178701, 0.013897886192866185, 0.017246264342617425], [0.016813877800127386, 0.004268374171104369, 0.00919517171069483, 0.01724626434260765, 0.027476311975410925]]","[[0.5605974799588306, 0.05238142223642898, 0.04153423299269965, 0.02867298701198395, 0.016813877800156116], [0.05238142223641679, 0.006283773809266327, 0.006396855868849423, 0.0056695739143585114, 0.00426837417111067], [0.04153423299267407, 0.006396855868846972, 0.008360450889577415, 0.00951328853818371, 0.009195171710704879], [0.0286729870119512, 0.005669573914353355, 0.009513288538178701, 0.013897886192866185, 0.017246264342617425], [0.016813877800127386, 0.004268374171104369, 0.00919517171069483, 0.01724626434260765, 0.027476311975410925]]",2969104037,2000,0.0,0.5405,0.531,1.0,0.117281652870588,2.7631091012153774,0.955,0.0009663313894094157,0.0009778093862318543,0.108,0.09514099419304653,0.12236197087545578,2000,0.0525,0.04355496702511129,0.06316079029161009,0.1055,0.0927847041684807,0.11972784613642787,2000,0.0505,0.041735473261678015,0.060987952244168385,0.105,0.09231372516469967,0.11920074218749017,2000,0.047,0.03856140236516857,0.05717544247164659,0.0975,0.08526070981102837,0.11128251325038024,2000,0.045,0.036753817044713276,0.054990695981226904,0.0985,0.08619980868374258,0.11233958028310354,2000,0.045,0.036753817044713276,0.054990695981226904
weak_2x2_bal_strong_100_100,weak_null,2,2,100,100,balanced,strong,0.05,0.05,True,0.0499999999999996,0.050000000000000044,-4.440892098500626e-16,0.3244922783229479,0.6372082630864623,0.17160920081751688,0.04529267549812524,17.160920081751687,4.529267549812524,1.0338037526313446,1.908560708980076,2000,"[[0.3283907991824831, 0.17160920081751688], [0.17160920081751688, 0.3283907991824831]]","[[0.8452926754981555, 0.05470732450187472], [0.05470732450184442, 0.04529267549812524]]",2311938656,2000,-4.440892098500626e-16,0.0,0.014,1.0,0.11369894887320697,0.8270296067930758,0.9545,0.0018527153581822241,0.0028938582126914786,0.033,0.026022752700289684,0.04176776946040056,2000,0.0105,0.006877887380873447,0.01599890190747318,0.0905,0.0786990086182521,0.10387105310509406,2000,0.042,0.0340516147420547,0.051704400567572986,0.0965,0.0843220272921492,0.11022502986382192,2000,0.0425,0.03450117971009799,0.05225291855224845,0.0955,0.08338376688235076,0.10916712436818286,2000,0.0405,0.03270494331440328,0.05005682313706818,0.099,0.08666951249362448,0.11286795942594038,2000,0.0455,0.03720527135020146,0.055537324628457466
weak_2x2_bal_strong_100_250,weak_null,2,2,100,250,balanced,strong,0.05,0.05,True,0.0499999999999996,0.050000000000000044,-4.440892098500626e-16,0.3244922783229479,0.6372082630864623,0.17160920081751688,0.04529267549812524,17.160920081751687,11.32316887453131,1.0338037526313446,1.9175597919384018,2000,"[[0.3283907991824831, 0.17160920081751688], [0.17160920081751688, 0.3283907991824831]]","[[0.8452926754981555, 0.05470732450187472], [0.05470732450184442, 0.04529267549812524]]",1907505461,2000,-4.440892098500626e-16,0.0,0.0,1.0,0.1145453843055293,0.8306399575667456,0.955,0.0021759766978682597,-0.000897764650368746,0.019,0.013873784918301428,0.0259704145662639,2000,0.006,0.0034355943769362345,0.010458448336941666,0.0835,0.07215988199915074,0.09643701838613297,2000,0.035,0.02779556915629356,0.04398728481527168,0.0835,0.07215988199915074,0.09643701838613297,2000,0.04,0.032256746939981165,0.049506936558771544,0.093,0.08104000170965554,0.10652047477728437,2000,0.042,0.0340516147420547,0.051704400567572986,0.094,0.08197718067883394,0.10757946171354346,2000,0.045,0.036753817044713276,0.054990695981226904
weak_3x3_bal_strong_200_200,weak_null,3,3,200,200,balanced,strong,0.1,0.1,True,0.09999999999995035,0.10000000000000031,-4.9960036108132044e-14,0.7435335234626973,1.3627334629580388,0.04214046013549632,0.00617519664374432,8.428092027099265,1.235039328748864,1.332059332779096,2.8645625000353903,2000,"[[0.1864336430538108, 0.10475923014402583, 0.04214046013549632], [0.1047592301440262, 0.12381487304528166, 0.1047592301440262], [0.04214046013549633, 0.10475923014402584, 0.18643364305381083]]","[[0.8524633094433587, 0.03670704567290481, 0.010829644883783627], [0.0367070456728842, 0.00617519664374432, 0.007117757683364322], [0.010829644883757041, 0.007117757683350845, 0.03205259743285202]]",826020113,2000,-4.9960036108132044e-14,0.0015,1.0265,1.0,0.1168960202485323,1.3005088394857012,0.949,-0.002984285172064939,-0.0010766703130663249,0.0465,0.03810906851120825,0.05662969337288816,2000,0.017,0.012190680521843938,0.023661187151846397,0.098,0.0857302075571977,0.11181109845692967,2000,0.0465,0.03810906851120825,0.05662969337288816,0.102,0.08948985374022952,0.11603611589564783,2000,0.0475,0.03901402059617837,0.05772090719335554,0.1055,0.0927847041684807,0.11972784613642787,2000,0.0515,0.04264472005033882,0.06207487136094506,0.1095,0.09655586386639292,0.12394135006026563,2000,0.051,0.042189969917315495,0.06153153854124965
weak_3x3_bal_strong_150_400,weak_null,3,3,150,400,balanced,strong,0.05,0.05,True,0.050000000000000044,0.049999999999999656,3.885780586188048e-16,0.4981902486666496,0.9228475341357404,0.06072212360554866,0.004577850569066676,9.108318540832299,1.8311402276266704,1.3498719698109352,2.9427434579702094,2000,"[[0.16446349053727832, 0.10814771919050627, 0.060722123605548683], [0.10814771919050632, 0.11703789495232078, 0.10814771919050635], [0.06072212360554866, 0.10814771919050625, 0.16446349053727832]]","[[0.8393994754427461, 0.03907701278813007, 0.02152351176915708], [0.039077012788119404, 0.004577850569066676, 0.006345136642808109], [0.02152351176913469, 0.006345136642803241, 0.022131351588034802]]",4285374274,2000,3.885780586188048e-16,0.0,0.322,1.0,0.11737504275515676,1.338973445002921,0.951,0.008109525514146267,0.00012280719501871795,0.0185,0.013451349814109875,0.025394766717736706,2000,0.0085,0.0053137677396855555,0.013570689737786083,0.0905,0.0786990086182521,0.10387105310509406,2000,0.0475,0.03901402059617837,0.05772090719335554,0.0885,0.07682827914571015,0.10174945076676102,2000,0.0445,0.03630266512840683,0.0544437649448146,0.0945,0.0824459344854886,0.10810879085960755,2000,0.0495,0.04082725461080825,0.05990000498960065,0.092,0.08010326619960464,0.10546104438189777,2000,0.049,0.04037353995030726,0.05935563669738289
weak_5x5_bal_strong_500_500,weak_null,5,5,500,500,balanced,strong,0.1,0.1,True,0.09999999999999831,0.10000000000000014,-1.8318679906315083e-15,1.0044949946979411,1.7800704472315931,0.010448825077135012,0.00044941342053453603,5.224412538567506,0.22470671026726802,1.542171689452406,5.7387553750304505,2000,"[[0.07790417366653793, 0.055621610467345615, 0.03565511419764187, 0.020370276591331515, 0.010448825077135014], [0.05562161046734919, 0.05104909549445355, 0.04206568664133797, 0.03089333080553032, 0.020370276591332823], [0.035655114197645034, 0.042065686641338994, 0.04455839832204031, 0.042065686641338994, 0.035655114197645034], [0.02037027659133282, 0.030893330805530316, 0.04206568664133796, 0.05104909549445354, 0.055621610467349175], [0.010448825077135012, 0.02037027659133151, 0.03565511419764186, 0.0556216104673456, 0.07790417366653792]]","[[0.848990018392741, 0.021721141516452974, 0.017107835747977584, 0.009218962400285458, 0.0029620419426036088], [0.021721141516447835, 0.0008672242213581469, 0.0010658903223956888, 0.0008963305192616892, 0.000449413420536425], [0.017107835747960255, 0.0010658903223948611, 0.0020443833358219934, 0.0026827900709598443, 0.0020991005228566118], [0.009218962400260565, 0.0008963305192594809, 0.0026827900709553176, 0.00549388724155043, 0.0067080297679542435], [0.002962041942590458, 0.00044941342053453603, 0.0020991005228494187, 0.006708029767942575, 0.012781414346049106]]",947166935,2000,-1.8318679906315083e-15,0.009,6.88,1.0,0.11926009360468015,2.732767641544342,0.9595,-0.0006095099104882829,-0.0022263116790331465,0.0215,0.016000780509074653,0.02883383373908441,2000,0.009,0.00570049972857741,0.014182040701612974,0.0815,0.07029605647844998,0.09430851209595874,2000,0.034,0.02690826015956059,0.04287842790656715,0.0895,0.07776341044149376,0.1028104853764149,2000,0.0375,0.03002125656323041,0.04675201217192856,0.085,0.07355910081272696,0.09803204843071298,2000,0.039,0.03136143254939692,0.048406085043918294,0.0945,0.0824459344854886,0.10810879085960755,2000,0.0405,0.03270494331440328,0.05005682313706818
weak_5x5_mild_strong_300_800,weak_null,5,5,300,800,mild,strong,0.1,0.1,True,0.10000000000000009,0.10000000000000014,-5.551115123125783e-17,0.999479546084054,1.7800704472315931,0.004268374171104369,0.00044941342053453603,1.2805122513313105,0.35953073642762884,0.5767850768678209,6.517371834022924,2000,"[[0.5605974799588306, 0.05238142223642898, 0.04153423299269965, 0.02867298701198395, 0.016813877800156116], [0.05238142223641679, 0.006283773809266327, 0.006396855868849423, 0.0056695739143585114, 0.00426837417111067], [0.04153423299267407, 0.006396855868846972, 0.008360450889577415, 0.00951328853818371, 0.009195171710704879], [0.0286729870119512, 0.005669573914353355, 0.009513288538178701, 0.013897886192866185, 0.017246264342617425], [0.016813877800127386, 0.004268374171104369, 0.00919517171069483, 0.01724626434260765, 0.027476311975410925]]","[[0.848990018392741, 0.021721141516452974, 0.017107835747977584, 0.009218962400285458, 0.0029620419426036088], [0.021721141516447835, 0.0008672242213581469, 0.0010658903223956888, 0.0008963305192616892, 0.000449413420536425], [0.017107835747960255, 0.0010658903223948611, 0.0020443833358219934, 0.0026827900709598443, 0.0020991005228566118], [0.009218962400260565, 0.0008963305192594809, 0.0026827900709553176, 0.00549388724155043, 0.0067080297679542435], [0.002962041942590458, 0.00044941342053453603, 0.0020991005228494187, 0.006708029767942575, 0.012781414346049106]]",1739603722,2000,-5.551115123125783e-17,1.716,4.8055,1.0,0.12719017534982413,3.1129026447306387,0.9495,0.01918916400435713,-0.0024146709926419602,0.079,0.0679692639204037,0.09164488989041128,2000,0.037,0.02957530482962914,0.04619988095281108,0.1095,0.09655586386639292,0.12394135006026563,2000,0.0525,0.04355496702511129,0.06316079029161009,0.102,0.08948985374022952,0.11603611589564783,2000,0.0535,0.04446618753651598,0.0642457356856429,0.1305,0.11644255627223539,0.14597414166861053,2000,0.063,0.05316689952915485,0.07450859979466024,0.1005,0.08807923318177419,0.11445248759594692,2000,0.0505,0.041735473261678015,0.060987952244168385
weak_10x10_bal_strong_1000,weak_null,10,10,1000,1000,balanced,strong,0.1,0.1,False,0.09999999999999876,0.10000000000000031,-1.5543122344752192e-15,1.2380938030154407,2.100846412768192,0.0018736528284702435,2.4582041065116324e-05,1.8736528284702436,0.024582041065116324,1.6495062035106522,19.460541374981403,2000,"[[0.022288648561140476, 0.018789779143029366, 0.015472717947405002, 0.012419097933441259, 0.009700522251868451, 0.00736727406142032, 0.005440329207018968, 0.003909535462984619, 0.0027384426032072964, 0.0018736528284702438], [0.018789779143031152, 0.016838855406530573, 0.01474044024586058, 0.012577283519669883, 0.01044347108902623, 0.008431591004623125, 0.006618824108091987, 0.005056310899724626, 0.003765001980229057, 0.0027384426032075566], [0.015472717947407696, 0.014740440245861745, 0.013717068104145096, 0.012442012825627069, 0.010982510216368103, 0.009425821961644529, 0.007865810766294487, 0.006387771569942992, 0.005056310899725025, 0.003909535462985301], [0.012419097933444128, 0.012577283519671592, 0.012442012825627779, 0.011997007985284905, 0.01125736824124732, 0.010270874969616425, 0.009111390443707065, 0.007865810766294935, 0.006618824108092886, 0.0054403292070202254], [0.009700522251870984, 0.01044347108902796, 0.010982510216369057, 0.011257368241247654, 0.011229327566660384, 0.010891238637525117, 0.01027087496961673, 0.009425821961645344, 0.00843159100462452, 0.007367274061422244], [0.0073672740614222415, 0.008431591004624522, 0.009425821961645346, 0.010270874969616728, 0.010891238637525115, 0.011229327566660383, 0.011257368241247652, 0.010982510216369054, 0.010443471089027956, 0.009700522251870982], [0.005440329207020225, 0.006618824108092887, 0.007865810766294936, 0.009111390443707065, 0.010270874969616425, 0.01125736824124732, 0.011997007985284903, 0.012442012825627773, 0.01257728351967159, 0.01241909793344413], [0.003909535462985301, 0.005056310899725026, 0.006387771569942993, 0.007865810766294487, 0.009425821961644529, 0.010982510216368103, 0.012442012825627067, 0.013717068104145089, 0.014740440245861736, 0.015472717947407694], [0.0027384426032075575, 0.0037650019802290577, 0.005056310899724627, 0.006618824108091987, 0.008431591004623125, 0.01044347108902623, 0.012577283519669883, 0.014740440245860575, 0.016838855406530562, 0.018789779143031152], [0.0018736528284702435, 0.0027384426032072964, 0.00390953546298462, 0.005440329207018969, 0.007367274061420321, 0.009700522251868455, 0.012419097933441259, 0.015472717947404999, 0.018789779143029362, 0.022288648561140482]]","[[0.8470417503164663, 0.010171099867056152, 0.00971495693127441, 0.008990632522393856, 0.007886716905134412, 0.006359685632142391, 0.004566123116452141, 0.0028701040804358395, 0.0015942010816684838, 0.0008047295470547441], [0.010171099867055125, 0.00013548372199397423, 0.00014355429116357513, 0.00014737426270554046, 0.00014341142443908433, 0.00012828599436626157, 0.00010217562727271153, 7.124484410436376e-05, 4.3899036945818e-05, 2.4582041065286255e-05], [0.009714956931271588, 0.00014355429116354794, 0.00016873350894626928, 0.0001921599616570097, 0.00020743455617306685, 0.00020584138758306494, 0.00018186824148627077, 0.0001406757030982147, 9.615607903307138e-05, 5.973045069899832e-05], [0.008990632522388103, 0.00014737426270546104, 0.00019215996165694257, 0.0002427619222474176, 0.0002907065852239782, 0.0003200092729050037, 0.00031364822114536805, 0.0002691294071087634, 0.00020406799849917407, 0.0001406209572297103], [0.007886716905124557, 0.00014341142443891964, 0.0002074345561728679, 0.00029070658522380096, 0.00038617599193777513, 0.0004715731428268644, 0.000512726102695863, 0.00048804498294067116, 0.0004105156345061655, 0.0003138057852403819], [0.006359685632128356, 0.00012828599436599144, 0.0002058413875826705, 0.00032000927290450233, 0.000471573142826413, 0.0006388059525462926, 0.0007704800854934221, 0.0008135644101651525, 0.0007591330336144981, 0.000643732199477337], [0.004566123116436243, 0.00010217562727236608, 0.00018186824148569032, 0.00031364822114447657, 0.0005127261026947183, 0.0007704800854924394, 0.0010308844310186617, 0.001207526314029197, 0.0012499097354840179, 0.0011757692360425292], [0.0028701040804218806, 7.124484410402444e-05, 0.0001406757030975714, 0.0002691294071076267, 0.0004880449829389073, 0.000813564410162991, 0.0012075263140275286, 0.0015690591843516124, 0.0018016792282495651, 0.0018800829566339714], [0.0015942010816587832, 4.389903694555531e-05, 9.615607903251421e-05, 0.00020406799849806287, 0.0004105156345041805, 0.000759133033611554, 0.0012499097354807644, 0.0018016792282473646, 0.0022949420139930813, 0.0026566072691196997], [0.0008047295470490997, 2.4582041065116324e-05, 5.973045069859672e-05, 0.00014062095722881397, 0.000313805785238573, 0.0006437321994742425, 0.0011757692360383765, 0.0018800829566299289, 0.002656607269117232, 0.003411450668548447]]",2587230331,2000,-1.5543122344752192e-15,0.7545,54.593,1.0,0.12939936568727717,9.575203529850114,0.941,0.009308331538733835,-0.010538310481067223,0.0385,0.030914327616604755,0.047855107023991705,2000,0.0165,0.011772823607253374,0.02308096111371822,0.111,0.09797153726075744,0.12551992552405736,2000,0.061,0.05132898110812263,0.07235418640481746,0.111,0.09797153726075744,0.12551992552405736,2000,0.053,0.04401045720579708,0.06370338306364305,0.1115,0.09844360453331791,0.12604594120421564,2000,0.0665,0.05639044543582205,0.07827163455702424,0.1185,0.10506147973311829,0.13340122734247772,2000,0.059,0.04949422085016708,0.07019661485189801
