configuration_id,anchor_configuration_id,configuration_label,n_p,n_q,mi_p,mi_q,mi_difference,minimum_expected_count,method,method_label,replicates,valid_count,valid_rate,reject_count,rejection_rate,wilson_low,wilson_high,p_value_threshold
CURVE_CURVE_C1_N0_n50_di0_scale1,C1_N0_n50,"Balanced, moderate sample",50.0,50.0,0.0999999999999998,0.0999999999999998,0.0,7.005134345964762,normal_wald,Normal Wald,5000,5000,1.0,239,0.0478,0.0422257872975776,0.054068522341532,
CURVE_CURVE_C1_N0_n50_di1em05_scale1,C1_N0_n50,"Balanced, moderate sample",50.0,50.0,0.0999999999999998,0.1000099999999994,1e-05,7.004869366515848,normal_wald,Normal Wald,5000,5000,1.0,250,0.05,0.0442968967005705,0.0563940350499808,
CURVE_CURVE_C1_N0_n50_di0p0001_scale1,C1_N0_n50,"Balanced, moderate sample",50.0,50.0,0.0999999999999998,0.1000999999999998,0.0001,7.002485215357845,normal_wald,Normal Wald,5000,5000,1.0,269,0.0538,0.0478817469838921,0.0604033502318768,
CURVE_CURVE_C1_N0_n50_di0p001_scale1,C1_N0_n50,"Balanced, moderate sample",50.0,50.0,0.0999999999999998,0.1010000000000002,0.001,6.9787091146238405,normal_wald,Normal Wald,5000,5000,1.0,228,0.0456,0.0401581122081756,0.0517395753194922,
CURVE_CURVE_C1_N0_n50_di0p005_scale1,C1_N0_n50,"Balanced, moderate sample",50.0,50.0,0.0999999999999998,0.1049999999999999,0.005,6.874443069495658,normal_wald,Normal Wald,5000,5000,1.0,262,0.0524,0.0465599567062765,0.0589272900749386,
CURVE_CURVE_C1_N0_n50_di0p01_scale1,C1_N0_n50,"Balanced, moderate sample",50.0,50.0,0.0999999999999998,0.1100000000000001,0.01,6.747194221814157,normal_wald,Normal Wald,5000,5000,1.0,245,0.049,0.0433550717009473,0.0553373954534941,
CURVE_CURVE_C1_N0_n50_di0p02_scale1,C1_N0_n50,"Balanced, moderate sample",50.0,50.0,0.0999999999999998,0.1199999999999998,0.02,6.502157875304336,normal_wald,Normal Wald,5000,5000,1.0,304,0.0608,0.0545075406684911,0.067766808720047,
CURVE_CURVE_C1_N0_n50_di0p05_scale1,C1_N0_n50,"Balanced, moderate sample",50.0,50.0,0.0999999999999998,0.149999999999443,0.05,5.830694393529525,normal_wald,Normal Wald,5000,5000,1.0,451,0.0902,0.0825710762279486,0.0984581322862201,
CURVE_CURVE_C1_N0_n50_di0p1_scale1,C1_N0_n50,"Balanced, moderate sample",50.0,50.0,0.0999999999999998,0.1999999999999999,0.1,4.870679069254617,normal_wald,Normal Wald,5000,5000,1.0,903,0.1806,0.1701837100502675,0.191506697952235,
CURVE_CURVE_C1_N0_n50_di0p2_scale1,C1_N0_n50,"Balanced, moderate sample",50.0,50.0,0.0999999999999998,0.3000000000000111,0.2,3.3396506338312983,normal_wald,Normal Wald,5000,5000,1.0,2342,0.4684,0.4545982159008576,0.48225030286207,
CURVE_CURVE_C1_N0_n50_di0p5_scale1,C1_N0_n50,"Balanced, moderate sample",50.0,50.0,0.0999999999999998,0.5999999999981145,0.5,0.468835547061748,normal_wald,Normal Wald,5000,5000,1.0,4958,0.9916,0.9886658498349266,0.9937793456126937,
CURVE_CURVE_C1_N3_n50_di0_scale1,C1_N3_n50,One skewed population,50.0,50.0,0.0300000000000003,0.0299999999993568,0.0,1.729791843220617,normal_wald,Normal Wald,5000,5000,1.0,151,0.0302,0.025805195409526,0.0353161373380495,
CURVE_CURVE_C1_N3_n50_di1em05_scale1,C1_N3_n50,One skewed population,50.0,50.0,0.0300000000000003,0.0300099999993583,1e-05,1.7294941411931255,normal_wald,Normal Wald,5000,5000,1.0,155,0.031,0.0265443864926137,0.0361757179318497,
CURVE_CURVE_C1_N3_n50_di0p0001_scale1,C1_N3_n50,One skewed population,50.0,50.0,0.0300000000000003,0.0300999999993741,0.0001,1.726817192298848,normal_wald,Normal Wald,5000,5000,1.0,169,0.0338,0.0291380055724029,0.0391777997211683,
CURVE_CURVE_C1_N3_n50_di0p001_scale1,C1_N3_n50,One skewed population,50.0,50.0,0.0300000000000003,0.0309999999994938,0.001,1.7002787643741166,normal_wald,Normal Wald,5000,5000,1.0,150,0.03,0.0256205332549515,0.0351011065734021,
CURVE_CURVE_C1_N3_n50_di0p005_scale1,C1_N3_n50,One skewed population,50.0,50.0,0.0300000000000003,0.0349999999996594,0.005,1.587063986477207,normal_wald,Normal Wald,5000,5000,1.0,175,0.035,0.0302524178660647,0.0404615449428384,
CURVE_CURVE_C1_N3_n50_di0p01_scale1,C1_N3_n50,One skewed population,50.0,50.0,0.0300000000000003,0.0399999999996772,0.01,1.4550891974529974,normal_wald,Normal Wald,5000,5000,1.0,223,0.0446,0.0392194585074783,0.0506797644240797,
CURVE_CURVE_C1_N3_n50_di0p02_scale1,C1_N3_n50,One skewed population,50.0,50.0,0.0300000000000003,0.0499999999996781,0.02,1.216827929185016,normal_wald,Normal Wald,5000,5000,1.0,279,0.0558,0.0497720485271196,0.0625099778808691,
CURVE_CURVE_C1_N3_n50_di0p05_scale1,C1_N3_n50,One skewed population,50.0,50.0,0.0300000000000003,0.0799999999996817,0.05,0.6457613112633702,normal_wald,Normal Wald,5000,5000,1.0,672,0.1344,0.1252260094105824,0.1441353342516433,
CURVE_CURVE_C1_N3_n50_di0p1_scale1,C1_N3_n50,One skewed population,50.0,50.0,0.0300000000000003,0.1299999999996715,0.1,0.0277369951092842,normal_wald,Normal Wald,5000,5000,1.0,1540,0.308,0.2953549538093282,0.3209398437375738,
CURVE_CURVE_C1_N6_n100_di0_scale1,C1_N6_n100,"Sparse, smaller sample",100.0,100.0,0.0049999999999995,0.0050000000005256,0.0,0.2426292361569769,normal_wald,Normal Wald,5000,5000,1.0,354,0.0708,0.0640151703735282,0.0782438249761088,
CURVE_CURVE_C1_N6_n100_di1em05_scale1,C1_N6_n100,"Sparse, smaller sample",100.0,100.0,0.0049999999999995,0.00501000000053,1e-05,0.2420195044984824,normal_wald,Normal Wald,5000,4998,0.9996,340,0.0680272108843537,0.0613731662079447,0.0753447734650025,
CURVE_CURVE_C1_N6_n100_di0p0001_scale1,C1_N6_n100,"Sparse, smaller sample",100.0,100.0,0.0049999999999995,0.0051000000005669,0.0001,0.2365764518655113,normal_wald,Normal Wald,5000,5000,1.0,286,0.0572,0.0510966231678006,0.063983253674742,
CURVE_CURVE_C1_N6_n100_di0p001_scale1,C1_N6_n100,"Sparse, smaller sample",100.0,100.0,0.0049999999999995,0.006000000000262,0.001,0.1862243132160513,normal_wald,Normal Wald,5000,5000,1.0,312,0.0624,0.0560256398051145,0.0694462529371994,
CURVE_CURVE_C1_N6_n100_di0p005_scale1,C1_N6_n100,"Sparse, smaller sample",100.0,100.0,0.0049999999999995,0.0100000000001962,0.005,0.0311902378266299,normal_wald,Normal Wald,5000,5000,1.0,447,0.0894,0.0818034445200788,0.097626992317202,
CURVE_CURVE_C1_N6_n200_di0_scale1,C1_N6_n200,"Sparse, larger sample",200.0,200.0,0.0049999999999995,0.0050000000005256,0.0,0.4852584723139538,normal_wald,Normal Wald,5000,5000,1.0,694,0.1388,0.1294937765223104,0.1486608113627989,
CURVE_CURVE_C1_N6_n200_di1em05_scale1,C1_N6_n200,"Sparse, larger sample",200.0,200.0,0.0049999999999995,0.00501000000053,1e-05,0.4840390089969648,normal_wald,Normal Wald,5000,5000,1.0,667,0.1334,0.1242565277745316,0.1431063512915842,
CURVE_CURVE_C1_N6_n200_di0p0001_scale1,C1_N6_n200,"Sparse, larger sample",200.0,200.0,0.0049999999999995,0.0051000000005669,0.0001,0.4731529037310227,normal_wald,Normal Wald,5000,5000,1.0,656,0.1312,0.1221242895772891,0.140841967377385,
CURVE_CURVE_C1_N6_n200_di0p001_scale1,C1_N6_n200,"Sparse, larger sample",200.0,200.0,0.0049999999999995,0.006000000000262,0.001,0.3724486264321026,normal_wald,Normal Wald,5000,5000,1.0,770,0.154,0.1442611340422191,0.1642701157037604,
CURVE_CURVE_C1_N6_n200_di0p005_scale1,C1_N6_n200,"Sparse, larger sample",200.0,200.0,0.0049999999999995,0.0100000000001962,0.005,0.0623804756532599,normal_wald,Normal Wald,5000,5000,1.0,1030,0.206,0.1950177008295207,0.2174337079141729,
CURVE_CURVE_C1_N7_n1000_di0_scale1,C1_N7_n1000,Ultra-rare categories,1000.0,1000.0,0.0005000000000022,0.0005,0.0,0.2799080495525302,normal_wald,Normal Wald,5000,4997,0.9994,11,0.0022013207924754,0.0012296534563953,0.0039377686731572,
CURVE_CURVE_C1_N7_n1000_di1em05_scale1,C1_N7_n1000,Ultra-rare categories,1000.0,1000.0,0.0005000000000022,0.0005099999999999,1e-05,0.2834621651309127,normal_wald,Normal Wald,5000,4983,0.9966,17,0.0034115994380895,0.0021311863941103,0.005457075461249,
CURVE_CURVE_C1_N7_n1000_di0p0001_scale1,C1_N7_n1000,Ultra-rare categories,1000.0,1000.0,0.0005000000000022,0.0006,0.0001,0.3053664260238946,normal_wald,Normal Wald,5000,4989,0.9978,16,0.0032070555221487,0.0019750750277174,0.0052034943533259,
CURVE_CURVE_C1_N7_n1000_di0p001_scale1,C1_N7_n1000,Ultra-rare categories,1000.0,1000.0,0.0005000000000022,0.0014999999999269,0.001,0.3053664260238946,normal_wald,Normal Wald,5000,4990,0.998,11,0.0022044088176352,0.0012313790236655,0.0039432864185162,
CURVE_CURVE_C1_N7_n1000_di0p005_scale1,C1_N7_n1000,Ultra-rare categories,1000.0,1000.0,0.0005000000000022,0.0054999999999981,0.005,0.3053664260238946,normal_wald,Normal Wald,5000,4991,0.9982,153,0.030655179322781,0.0262219821456735,0.0358103088439686,
CURVE_CURVE_C2_N0_np20_nq200_di0_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",20.0,200.0,0.0999999999999998,0.0999999999999998,0.0,2.8020537383859043,normal_wald,Normal Wald,5000,5000,1.0,859,0.1718,0.1615974980163304,0.1825064215404051,
CURVE_CURVE_C2_N0_np20_nq200_di1em05_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",20.0,200.0,0.0999999999999998,0.1000099999999994,1e-05,2.8020537383859043,normal_wald,Normal Wald,5000,5000,1.0,859,0.1718,0.1615974980163304,0.1825064215404051,
CURVE_CURVE_C2_N0_np20_nq200_di0p0001_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",20.0,200.0,0.0999999999999998,0.1000999999999998,0.0001,2.8020537383859043,normal_wald,Normal Wald,5000,5000,1.0,847,0.1694,0.1592575109198049,0.1800500936062669,
CURVE_CURVE_C2_N0_np20_nq200_di0p001_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",20.0,200.0,0.0999999999999998,0.1010000000000002,0.001,2.8020537383859043,normal_wald,Normal Wald,5000,5000,1.0,870,0.174,0.1637431385021064,0.1847574031660708,
CURVE_CURVE_C2_N0_np20_nq200_di0p005_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",20.0,200.0,0.0999999999999998,0.1049999999999999,0.005,2.8020537383859043,normal_wald,Normal Wald,5000,5000,1.0,837,0.1674,0.1573080976692819,0.1780025776645701,
CURVE_CURVE_C2_N0_np20_nq200_di0p01_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",20.0,200.0,0.0999999999999998,0.1100000000000001,0.01,2.8020537383859043,normal_wald,Normal Wald,5000,5000,1.0,861,0.1722,0.1619875683575926,0.1829157370375868,
CURVE_CURVE_C2_N0_np20_nq200_di0p02_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",20.0,200.0,0.0999999999999998,0.1199999999999998,0.02,2.8020537383859043,normal_wald,Normal Wald,5000,5000,1.0,928,0.1856,0.1750664672075968,0.1966162637754551,
CURVE_CURVE_C2_N0_np20_nq200_di0p05_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",20.0,200.0,0.0999999999999998,0.149999999999443,0.05,2.8020537383859043,normal_wald,Normal Wald,5000,5000,1.0,1148,0.2296,0.2181526666055256,0.2414625066063613,
CURVE_CURVE_C2_N0_np20_nq200_di0p1_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",20.0,200.0,0.0999999999999998,0.1999999999999999,0.1,2.8020537383859043,normal_wald,Normal Wald,5000,5000,1.0,1578,0.3156,0.3028636342385686,0.3286194942387684,
CURVE_CURVE_C2_N0_np20_nq200_di0p2_scale1,C2_N0_np20_nq200,"Balanced, unequal samples",20.0,200.0,0.0999999999999998,0.3000000000000111,0.2,2.8020537383859043,normal_wald,Normal Wald,5000,5000,1.0,2607,0.5214,0.5075425387245556,0.5352246036321959,
