configuration_id,anchor_configuration_id,configuration_label,mi_difference,method,method_label,p_value_threshold,replicates,valid_count,valid_rate,reject_count,rejection_rate,wilson_low,wilson_high
CURVE_CURVE_C1_N6_n200_di0p0001_scale1,C1_N6_n200,"Sparse, larger sample",0.0001,expanded_welch_matched,Expanded Welch (size-matched),0.07112645070134087,5000,5000,1.0,246,0.0492,0.04354338255549715,0.05554877751816637
CURVE_CURVE_C1_N6_n200_di0p001_scale1,C1_N6_n200,"Sparse, larger sample",0.001,normal_wald_matched,Normal Wald (size-matched),0.006293998956328283,5000,5000,1.0,275,0.055,0.049015647769374275,0.06166760696172658
CURVE_CURVE_C1_N6_n200_di0p001_scale1,C1_N6_n200,"Sparse, larger sample",0.001,expanded_welch_matched,Expanded Welch (size-matched),0.07112645070134087,5000,4999,0.9998,283,0.05661132226445289,0.050538952398696546,0.06336460890964467
CURVE_CURVE_C1_N6_n200_di0p005_scale1,C1_N6_n200,"Sparse, larger sample",0.005,normal_wald_matched,Normal Wald (size-matched),0.006293998956328283,5000,5000,1.0,421,0.0842,0.07681858265802284,0.09221983827948667
CURVE_CURVE_C1_N6_n200_di0p005_scale1,C1_N6_n200,"Sparse, larger sample",0.005,expanded_welch_matched,Expanded Welch (size-matched),0.07112645070134087,5000,5000,1.0,415,0.083,0.07566944239229621,0.09097082102988145
CURVE_CURVE_C1_N7_n1000_di0_scale1,C1_N7_n1000,Ultra-rare categories,0.0,normal_wald_matched,Normal Wald (size-matched),0.12159070583881607,5000,4997,0.9994,265,0.05303181909145487,0.0471546665746362,0.05959565998872289
CURVE_CURVE_C1_N7_n1000_di0_scale1,C1_N7_n1000,Ultra-rare categories,0.0,expanded_welch_matched,Expanded Welch (size-matched),0.26590968461373826,5000,4271,0.8542,212,0.04963708733317724,0.04351840245714452,0.05656518261661005
CURVE_CURVE_C1_N7_n1000_di1em05_scale1,C1_N7_n1000,Ultra-rare categories,1e-05,normal_wald_matched,Normal Wald (size-matched),0.12159070583881607,5000,4983,0.9966,243,0.04876580373269115,0.043125564565086275,0.055101231467152845
CURVE_CURVE_C1_N7_n1000_di1em05_scale1,C1_N7_n1000,Ultra-rare categories,1e-05,expanded_welch_matched,Expanded Welch (size-matched),0.26590968461373826,5000,4253,0.8506,197,0.04632024453327063,0.04040259091020754,0.05305671751583641
CURVE_CURVE_C1_N7_n1000_di0p0001_scale1,C1_N7_n1000,Ultra-rare categories,0.0001,normal_wald_matched,Normal Wald (size-matched),0.12159070583881607,5000,4989,0.9978,257,0.05151332932451393,0.04571743118331658,0.057999352754583185
CURVE_CURVE_C1_N7_n1000_di0p0001_scale1,C1_N7_n1000,Ultra-rare categories,0.0001,expanded_welch_matched,Expanded Welch (size-matched),0.26590968461373826,5000,4273,0.8546,229,0.053592323894219515,0.047231805074613956,0.0607547694261026
CURVE_CURVE_C1_N7_n1000_di0p001_scale1,C1_N7_n1000,Ultra-rare categories,0.001,normal_wald_matched,Normal Wald (size-matched),0.12159070583881607,5000,4990,0.998,258,0.051703406813627256,0.04589725046237057,0.058199257828354334
