scenario_id,configuration_id,rows,columns,condition,condition_label,n_p,n_q,population_replication,target_mi,simulation_seed,replicates,lrt_convergence_rate,lrt_fallback_rate,lrt_median_iterations,lrt_max_constraint_residual,lrt_mean_seconds_per_fit,audited_replicates,audit_max_statistic_difference,audit_mean_statistic_difference
config_3x3_d3_p00,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,0,0.1,101742221,200,1.0,0.0,56.0,4.985656332223698e-11,0.07240815352415667,0,,
config_3x3_d3_p01,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,1,0.1,2150972521,200,1.0,0.0,53.0,4.5126680170426425e-11,0.05430222834926099,0,,
config_3x3_d3_p02,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,2,0.1,1023806098,200,1.0,0.0,53.5,5.500309929740155e-11,0.048166649579070506,0,,
config_3x3_d3_p03,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,3,0.1,856206566,200,1.0,0.0,59.0,9.967801584132019e-11,0.05483880627667531,0,,
config_3x3_d3_p04,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,4,0.1,2353828250,200,1.0,0.0,46.0,2.7797597557110976e-11,0.057174324778607115,0,,
config_3x3_d3_p05,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,5,0.1,2714987022,200,1.0,0.0,41.0,8.002720014443909e-11,0.04806526665575803,0,,
config_3x3_d3_p06,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,6,0.1,2899510254,200,1.0,0.0,49.0,4.624178817635993e-11,0.05688529432169162,0,,
config_3x3_d3_p07,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,7,0.1,1883776853,200,1.0,0.0,47.0,5.794138779879887e-11,0.06457886039977893,0,,
config_3x3_d3_p08,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,8,0.1,340464655,200,1.0,0.0,47.0,2.4440435786310388e-11,0.04973195310565643,0,,
config_3x3_d3_p09,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,9,0.1,3511978456,200,1.0,0.0,43.0,5.3539936373248054e-11,0.047313308152370157,0,,
