scenario_id,regime,regime_label,rows,columns,n_p,n_q,null_mi,relative_effect,alternative_mi_q,true_delta,construction_seed,calibration_seed,simulation_seed,replicates,calibration_replicates,method,method_label,valid_rate,power_05,size_adjusted_threshold,size_adjusted_power,coverage_95,median_effective_df
fixed_2x2_d1,well_sampled,Well sampled,2,2,200,200,0.15,1.0,0.3,-0.15,2081210491,1999217643,21948814,10000,10000,normal_wald,Normal Wald,1.0,0.7552,0.04884252324782942,0.7519,0.9432,
fixed_2x2_d1,well_sampled,Well sampled,2,2,200,200,0.15,1.0,0.3,-0.15,2081210491,1999217643,21948814,10000,10000,simple_welch,Simple Welch,1.0,0.7529,0.04956504665005948,0.752,0.9438,378.35358128559335
fixed_2x2_d1,well_sampled,Well sampled,2,2,200,200,0.15,1.0,0.3,-0.15,2081210491,1999217643,21948814,10000,10000,expanded_welch,Expanded Welch,1.0,0.7524,0.05062704608395143,0.7546,0.9441,294.2751121152726
fixed_2x2_d2,moderate,Moderate,2,2,100,100,0.1,0.5,0.15000000000000002,-0.05000000000000002,2316293580,2033631363,1725425129,10000,10000,normal_wald,Normal Wald,1.0,0.1296,0.048701652506924736,0.1279,0.9457,
fixed_2x2_d2,moderate,Moderate,2,2,100,100,0.1,0.5,0.15000000000000002,-0.05000000000000002,2316293580,2033631363,1725425129,10000,10000,simple_welch,Simple Welch,1.0,0.1272,0.05058003696598136,0.1282,0.9473,192.48779299503093
fixed_2x2_d2,moderate,Moderate,2,2,100,100,0.1,0.5,0.15000000000000002,-0.05000000000000002,2316293580,2033631363,1725425129,10000,10000,expanded_welch,Expanded Welch,1.0,0.1197,0.056990698595296936,0.1327,0.9521,47.355388267110264
fixed_2x2_d2,moderate,Moderate,2,2,100,100,0.1,1.0,0.2,-0.1,1834876299,3344535489,2947571957,10000,10000,normal_wald,Normal Wald,1.0,0.3305,0.05037823116341388,0.3317,0.9369,
fixed_2x2_d2,moderate,Moderate,2,2,100,100,0.1,1.0,0.2,-0.1,1834876299,3344535489,2947571957,10000,10000,simple_welch,Simple Welch,1.0,0.3251,0.052078736153221596,0.3322,0.9392,189.91978223857103
fixed_2x2_d2,moderate,Moderate,2,2,100,100,0.1,1.0,0.2,-0.1,1834876299,3344535489,2947571957,10000,10000,expanded_welch,Expanded Welch,1.0,0.3158,0.05890967617953177,0.3409,0.9433,62.289541954776546
fixed_2x2_d3,moderate,Moderate,2,2,100,200,0.15,0.5,0.22499999999999998,-0.07499999999999998,2605035696,976264371,3211701544,10000,10000,normal_wald,Normal Wald,1.0,0.2776,0.035752243246297326,0.2351,0.934,
fixed_2x2_d3,moderate,Moderate,2,2,100,200,0.15,0.5,0.22499999999999998,-0.07499999999999998,2605035696,976264371,3211701544,10000,10000,simple_welch,Simple Welch,1.0,0.2734,0.036969842264453955,0.2355,0.9346,201.54146643630736
fixed_2x2_d3,moderate,Moderate,2,2,100,200,0.15,0.5,0.22499999999999998,-0.07499999999999998,2605035696,976264371,3211701544,10000,10000,expanded_welch,Expanded Welch,1.0,0.2642,0.04174287552995521,0.2399,0.9388,73.11587424237592
stress_2x2_d4,highly_sparse,Highly skewed and sparse,2,2,52,52,0.1,0.5,0.15000000000000002,-0.05000000000000002,3702435334,1420198800,3480747610,10000,10000,normal_wald,Normal Wald,1.0,0.1015,0.04432175604656945,0.0935,0.9425,
stress_2x2_d4,highly_sparse,Highly skewed and sparse,2,2,52,52,0.1,0.5,0.15000000000000002,-0.05000000000000002,3702435334,1420198800,3480747610,10000,10000,simple_welch,Simple Welch,1.0,0.0969,0.04825294033068373,0.0939,0.9459,97.81468973652372
stress_2x2_d4,highly_sparse,Highly skewed and sparse,2,2,52,52,0.1,0.5,0.15000000000000002,-0.05000000000000002,3702435334,1420198800,3480747610,10000,10000,expanded_welch,Expanded Welch,1.0,0.0873,0.055552973895362796,0.0945,0.9523,22.95582753049265
stress_2x2_d4,highly_sparse,Highly skewed and sparse,2,2,52,52,0.1,1.0,0.2,-0.1,1373494968,360340397,1489255644,10000,10000,normal_wald,Normal Wald,1.0,0.2614,0.04522219533412658,0.2516,0.9262,
stress_2x2_d4,highly_sparse,Highly skewed and sparse,2,2,52,52,0.1,1.0,0.2,-0.1,1373494968,360340397,1489255644,10000,10000,simple_welch,Simple Welch,1.0,0.255,0.04948984910565595,0.2538,0.9299,97.84061388145273
stress_2x2_d4,highly_sparse,Highly skewed and sparse,2,2,52,52,0.1,1.0,0.2,-0.1,1373494968,360340397,1489255644,10000,10000,expanded_welch,Expanded Welch,1.0,0.2337,0.05705326286877115,0.2477,0.9395,24.385178078310837
stress_2x2_d5,highly_sparse,Highly skewed and sparse,2,2,54,108,0.15,0.5,0.22499999999999998,-0.07499999999999998,2680333026,1558090271,667640909,10000,10000,normal_wald,Normal Wald,1.0,0.1991,0.03640690383571119,0.1672,0.9278,
stress_2x2_d5,highly_sparse,Highly skewed and sparse,2,2,54,108,0.15,0.5,0.22499999999999998,-0.07499999999999998,2680333026,1558090271,667640909,10000,10000,simple_welch,Simple Welch,1.0,0.1937,0.03906925590841138,0.1692,0.9311,110.40277735481232
stress_2x2_d5,highly_sparse,Highly skewed and sparse,2,2,54,108,0.15,0.5,0.22499999999999998,-0.07499999999999998,2680333026,1558090271,667640909,10000,10000,expanded_welch,Expanded Welch,1.0,0.1745,0.045648051931312855,0.164,0.938,36.67341115661051
stress_2x2_d5,highly_sparse,Highly skewed and sparse,2,2,54,108,0.15,1.0,0.3,-0.15,1655913673,192125507,2145984476,10000,10000,normal_wald,Normal Wald,1.0,0.4584,0.03331986433192763,0.4093,0.9271,
stress_2x2_d5,highly_sparse,Highly skewed and sparse,2,2,54,108,0.15,1.0,0.3,-0.15,1655913673,192125507,2145984476,10000,10000,simple_welch,Simple Welch,1.0,0.4528,0.03572626492617937,0.4099,0.9304,108.57909062373639
stress_2x2_d5,highly_sparse,Highly skewed and sparse,2,2,54,108,0.15,1.0,0.3,-0.15,1655913673,192125507,2145984476,10000,10000,expanded_welch,Expanded Welch,1.0,0.4379,0.042837137725344386,0.4135,0.9391,36.04285985461394
strong_null_2x5_d-2,strong_null,Strong null (P = Q),2,5,200,200,0.1,0.5,0.15000000000000002,-0.05000000000000002,2716348429,1106597538,2863147274,10000,10000,normal_wald,Normal Wald,1.0,0.1955,0.04797848538095524,0.1911,0.9479,
strong_null_2x5_d-2,strong_null,Strong null (P = Q),2,5,200,200,0.1,0.5,0.15000000000000002,-0.05000000000000002,2716348429,1106597538,2863147274,10000,10000,simple_welch,Simple Welch,1.0,0.1943,0.048732091355903714,0.1912,0.9487,387.07925775462877
