scenario_id,shape_index,design_index,rows,columns,n_p,n_q,target_mi,margin_alpha_p,margin_alpha_q,association_p,association_q,generation_attempts,true_mi_p,true_mi_q,true_delta,distribution_l1,population_variance_p,population_variance_q,pooled_mixture_mi,pooled_mixture_variance,min_probability_p,min_probability_q,min_joint_expected_p,min_joint_expected_q,independence_expected_below_1_p,independence_expected_below_1_q,independence_expected_below_5_p,independence_expected_below_5_q,is_permutation_anchor,regime,regime_label,variant,cells,observations_per_cell_p,observations_per_cell_q,sample_size_ratio_q_to_p,minimum_joint_expected_pair,joint_expected_below_1_p,joint_expected_below_1_q,joint_expected_below_5_p,joint_expected_below_5_q,minimum_row_expected_p,minimum_row_expected_q,minimum_column_expected_p,minimum_column_expected_q,maximum_row_margin_p,maximum_column_margin_p,maximum_row_margin_q,maximum_column_margin_q,probability_p_json,probability_q_json
strong_null_2x2_d-2,0,-2,2,2,200,200,0.1,50.0,50.0,0.4837075801878786,0.4837075801878786,1,0.09999999999999998,0.09999999999999998,0.0,0.0,0.177341490149908,0.177341490149908,0.09999999999999998,0.177341490149908,0.095500846469002,0.095500846469002,19.100169293800402,19.100169293800402,0.0,0.0,0.0,0.0,False,strong_null,Strong null (P = Q),variant_1,4,50.0,50.0,1.0,19.100169293800402,0.0,0.0,0.0,0.0,83.96923421768258,83.96923421768258,96.94260273985829,96.94260273985829,0.5801538289115871,0.5152869863007086,0.5801538289115871,0.5152869863007086,"[[0.38921216723028945, 0.19094166168129767], [0.095500846469002, 0.3243453246194109]]","[[0.38921216723028945, 0.19094166168129767], [0.095500846469002, 0.3243453246194109]]"
strong_null_2x2_d-1,0,-1,2,2,100,200,0.15,8.0,8.0,0.6201626908958151,0.6201626908958151,1,0.15000000000000235,0.15000000000000235,0.0,0.0,0.247239151292976,0.247239151292976,0.15000000000000235,0.24723915129297597,0.06880400719088714,0.06880400719088714,6.880400719088714,13.760801438177428,0.0,0.0,0.0,0.0,False,strong_null,Strong null (P = Q),variant_2,4,25.0,50.0,2.0,6.880400719088714,0.0,0.0,0.0,0.0,49.15253681344409,98.30507362688817,40.46145950481557,80.92291900963114,0.5084746318655591,0.5953854049518442,0.5084746318655591,0.5953854049518442,"[[0.17266404400829052, 0.3358105878572686], [0.4227213609435537, 0.06880400719088714]]","[[0.17266404400829052, 0.3358105878572686], [0.4227213609435537, 0.06880400719088714]]"
fixed_2x2_d0,0,0,2,2,200,200,0.1,50.0,50.0,0.4881928986209399,0.4825625601634977,1,0.09999999999994524,0.09999999999999998,-5.473399511402022e-14,0.8621101690165509,0.17733995399864666,0.17812019101041426,2.668842234787583e-05,5.337058845830382e-05,0.09113777808324935,0.09976268401496612,18.22755561664987,19.952536802993222,0.0,0.0,0.0,0.0,True,well_sampled,Well sampled,variant_1,4,50.0,50.0,1.0,18.22755561664987,0.0,0.0,0.0,0.0,99.59268209145571,82.69089148748483,78.96688430350643,99.49389195859426,0.5020365895427215,0.6051655784824678,0.5865455425625759,0.5025305402070287,"[[0.09113777808324935, 0.41089881145947205], [0.3036966434342828, 0.19426676702299575]]","[[0.313691773422458, 0.09976268401496612], [0.18377768637051328, 0.40276785619206257]]"
fixed_2x2_d1,0,1,2,2,200,200,0.15,50.0,50.0,0.6117143071268935,0.5989932613450347,1,0.15000000000000013,0.14999999999997582,2.4313884239290928e-14,0.1323483623694715,0.24829786064964243,0.2526966722513749,0.14975361764734563,0.25046678374075304,0.07507746739170693,0.09780317887167048,15.015493478341385,19.560635774334095,0.0,0.0,0.0,0.0,False,well_sampled,Well sampled,variant_2,4,50.0,50.0,1.0,15.015493478341385,0.0,0.0,0.0,0.0,93.66929783662383,90.94599218649329,88.17325665878603,98.59190710426682,0.5316535108168808,0.5591337167060698,0.5452700390675336,0.5070404644786659,"[[0.16586469491465758, 0.36578881590222323], [0.3932690217914122, 0.07507746739170693]]","[[0.13603275346053814, 0.40923728560699546], [0.3569267820607959, 0.09780317887167048]]"
fixed_2x2_d2,0,2,2,2,100,100,0.1,8.0,4.0,0.48163716271189455,0.5045102204813365,1,0.09999999999999998,0.0999999999999901,9.880984919163893e-15,0.8373023175253639,0.1793341216192113,0.17210561514942838,0.0002846053088103595,0.0005690448781938903,0.10697280112240691,0.0692733935169755,10.69728011224069,6.927339351697551,0.0,0.0,0.0,0.0,True,moderate,Moderate,variant_1,4,25.0,25.0,1.0,6.927339351697551,0.0,0.0,0.0,0.0,47.09106458143432,42.623222613122614,40.601351936795304,40.98084483566107,0.529089354185657,0.5939864806320471,0.5737677738687739,0.5901915516433893,"[[0.4221165530632501, 0.10697280112240691], [0.17186992756879702, 0.2990407182455461]]","[[0.0692733935169755, 0.3569588326142506], [0.3405350548396352, 0.2332327190291387]]"
fixed_2x2_d3,0,3,2,2,100,200,0.15,8.0,2.0,0.6719725526060119,1.0637097100809934,1,0.15000000000007208,0.15000000000000002,7.205347429817266e-14,0.5383142976028367,0.23908503187303454,0.15780689203134682,0.15209476175901726,0.20244298273018585,0.04426962763646203,0.004710610672244755,4.426962763646203,0.942122134448951,0.0,0.0,0.0,0.0,False,moderate,Moderate,variant_2,4,25.0,50.0,2.0,0.942122134448951,0.0,0.25,0.25,0.25,48.238416805447514,49.691736628821296,32.353388468616764,87.5984824420298,0.5176158319455249,0.6764661153138323,0.7515413168558935,0.5620075877898509,"[[0.47334620430906277, 0.04426962763646203], [0.2031199110047695, 0.27926425704970564]]","[[0.24374807247186173, 0.004710610672244755], [0.31825951531798924, 0.43328180153790424]]"
stress_2x2_d4,0,4,2,2,52,52,0.1,2.0,2.0,0.5928880463046017,0.5071218371202575,3,0.09999999999999998,0.10000000000000009,-1.1102230246251565e-16,0.45375052137378635,0.20251852566928819,0.17815649405513603,0.10552808096390776,0.19745902125055814,0.08961383723484147,0.07829936031018947,4.659919536211756,4.071566736129853,0.0,0.0,0.25,0.0,False,highly_sparse,Highly skewed and sparse,variant_1,4,13.0,13.0,1.0,4.071566736129853,0.0,0.0,0.25,0.25,11.751563219175424,23.54907677489387,12.097558349790392,17.245217145110406,0.7740083996312418,0.7673546471194156,0.5471331389443487,0.6683612087478769,"[[0.1363777631339167, 0.08961383723484147], [0.09626758974666776, 0.6777408098845741]]","[[0.25333943094193373, 0.19952743011371762], [0.07829936031018947, 0.4688337786341592]]"
stress_2x2_d5,0,5,2,2,54,108,0.15,10.0,2.0,0.6170743073122069,0.6719712540017854,3,0.1499999999999998,0.15000000000008473,-8.493206138382448e-14,1.0277603160507265,0.2519608658292071,0.23588976282330498,0.010980952402788846,0.02172117574485372,0.07779545884278741,0.04279413499646936,4.20095477751052,4.621766579618691,0.0,0.0,0.0,0.0,False,highly_sparse,Highly skewed and sparse,variant_2,4,13.5,27.0,2.0,4.20095477751052,0.0,0.0,0.25,0.25,24.85473850305449,53.25174438602401,20.736590862454097,36.530960231195465,0.5397270647582502,0.6159890581027019,0.506928292722,0.6617503682296717,"[[0.30621548305451074, 0.1540574521872391], [0.07779545884278741, 0.4619316059154628]]","[[0.21147279594814095, 0.29545549677385907], [0.4502775722815307, 0.04279413499646936]]"
stress_2x2_d6,0,6,2,2,142,142,0.1,0.8,0.8,0.8636674890104061,1.562393568719756,1,0.09999999999999987,0.10000000000000009,-2.220446049250313e-16,1.0587015651829432,0.11775793017076927,0.08941666993443362,0.009038200225676807,0.017573278011680904,0.006768351117387663,0.00036364673257752574,0.9611058586690481,0.05163783602600865,0.0,0.0,0.0,0.0,False,ultra_sparse,Ultra-skewed and sparse,variant_1,4,35.5,35.5,1.0,0.05163783602600865,0.25,0.25,0.25,0.25,29.131855088464267,65.81944517731597,59.55878883758513,17.159806264487216,0.794846090926308,0.580571909594471,0.5364827804414367,0.8791562939120617,"[[0.4126597392881414, 0.3821863516381666], [0.006768351117387663, 0.19838555795630436]]","[[0.3430371602032025, 0.12048005935536063], [0.5361191337088592, 0.00036364673257752574]]"
stress_2x2_d7,0,7,2,2,51,510,0.15,10.0,0.8,0.7906120896977611,1.9699916653585776,57,0.14999999999998725,0.1499999999999997,-1.2434497875801753e-14,0.4564063016144403,0.20580354125709066,0.1614029852731589,0.15238247645433145,0.1848058657664596,0.018902122452840557,0.00014330794921974034,0.9640082450948684,0.07308705410206758,0.0,0.0,0.0,0.0,False,ultra_sparse,Ultra-skewed and sparse,variant_2,4,12.75,127.5,10.0,0.07308705410206758,0.25,0.25,0.25,0.25,15.08263242805503,62.55236858474691,23.13744872652621,171.80890121990228,0.7042621092538229,0.5463245347739959,0.8773482968926531,0.6631198015296035,"[[0.43477334277316354, 0.2694887664806594], [0.018902122452840557, 0.2768357682933365]]","[[0.6629764935803837, 0.2143718033122695], [0.00014330794921974034, 0.12250839515812714]]"
