regime,regime_label,method,method_label,nominal_alpha,population_pairs,mean_rejection_rate,median_rejection_rate,p10_rejection_rate,p90_rejection_rate,minimum_rejection_rate,maximum_rejection_rate,mean_absolute_calibration_error
well_sampled,Well sampled,normal_wald,Normal Wald,0.035,24,0.03225,0.032299999999999995,0.02936,0.034850000000000006,0.0289,0.0372,0.003033333333333336
well_sampled,Well sampled,normal_wald,Normal Wald,0.036,24,0.033079166666666666,0.0329,0.03048,0.035859999999999996,0.0296,0.0379,0.0031958333333333305
well_sampled,Well sampled,normal_wald,Normal Wald,0.037,24,0.03406666666666667,0.0339,0.03117,0.03721,0.0305,0.0385,0.0032333333333333324
well_sampled,Well sampled,normal_wald,Normal Wald,0.038,24,0.0349375,0.034850000000000006,0.03218,0.038189999999999995,0.0313,0.0393,0.003337499999999999
well_sampled,Well sampled,normal_wald,Normal Wald,0.039,24,0.03605833333333334,0.0359,0.03323,0.039389999999999994,0.0323,0.0408,0.0032999999999999995
well_sampled,Well sampled,normal_wald,Normal Wald,0.04,24,0.03700833333333333,0.03685,0.03399,0.04036,0.0336,0.0424,0.0033500000000000005
well_sampled,Well sampled,normal_wald,Normal Wald,0.041,24,0.03793333333333333,0.03795,0.03498,0.04106,0.0342,0.0433,0.0033916666666666665
well_sampled,Well sampled,normal_wald,Normal Wald,0.042,24,0.038870833333333334,0.0389,0.035840000000000004,0.04217,0.0352,0.0443,0.0034041666666666686
well_sampled,Well sampled,normal_wald,Normal Wald,0.043,24,0.039829166666666665,0.040150000000000005,0.03651,0.042859999999999995,0.0361,0.0455,0.003412499999999997
well_sampled,Well sampled,normal_wald,Normal Wald,0.044,24,0.040916666666666664,0.041249999999999995,0.03782,0.044,0.037,0.0471,0.0033499999999999984
well_sampled,Well sampled,normal_wald,Normal Wald,0.045,24,0.041825,0.0426,0.03859,0.0449,0.038,0.0483,0.0034833333333333318
well_sampled,Well sampled,normal_wald,Normal Wald,0.046,24,0.04271666666666666,0.043399999999999994,0.03952,0.04588,0.039,0.0491,0.0035749999999999996
well_sampled,Well sampled,normal_wald,Normal Wald,0.047,24,0.04373333333333334,0.04415,0.040279999999999996,0.0473,0.0396,0.0505,0.003675
well_sampled,Well sampled,normal_wald,Normal Wald,0.048,24,0.04474583333333334,0.044950000000000004,0.04136,0.048620000000000003,0.0411,0.0514,0.0037041666666666677
well_sampled,Well sampled,normal_wald,Normal Wald,0.049,24,0.045595833333333335,0.04555,0.04202,0.04975,0.0416,0.0524,0.0038791666666666683
well_sampled,Well sampled,normal_wald,Normal Wald,0.05,24,0.046595833333333336,0.0465,0.043230000000000005,0.05024,0.0429,0.0535,0.0037708333333333357
well_sampled,Well sampled,normal_wald,Normal Wald,0.051,24,0.047608333333333336,0.04735,0.04433,0.051289999999999995,0.0439,0.0546,0.003791666666666664
well_sampled,Well sampled,normal_wald,Normal Wald,0.052,24,0.048641666666666666,0.04875,0.04526,0.05227,0.0446,0.0556,0.0037333333333333316
well_sampled,Well sampled,normal_wald,Normal Wald,0.053,24,0.04952083333333334,0.04965,0.04588,0.053169999999999995,0.0454,0.0562,0.003812499999999998
well_sampled,Well sampled,normal_wald,Normal Wald,0.054,24,0.05054583333333334,0.0505,0.04684,0.05454,0.0463,0.0572,0.0038875
well_sampled,Well sampled,normal_wald,Normal Wald,0.055,24,0.051524999999999994,0.05155,0.04802,0.05526,0.0476,0.0583,0.0038500000000000006
well_sampled,Well sampled,normal_wald,Normal Wald,0.056,24,0.05247916666666667,0.052500000000000005,0.04895,0.05613,0.0483,0.0591,0.0038875000000000008
well_sampled,Well sampled,normal_wald,Normal Wald,0.057,24,0.053516666666666664,0.0534,0.050120000000000005,0.05742,0.0492,0.0601,0.0038750000000000013
well_sampled,Well sampled,normal_wald,Normal Wald,0.058,24,0.05440416666666667,0.05425,0.05106,0.05819,0.0504,0.0608,0.003904166666666669
well_sampled,Well sampled,normal_wald,Normal Wald,0.059,24,0.05532083333333334,0.0554,0.051859999999999996,0.05902,0.0512,0.0621,0.003987499999999998
well_sampled,Well sampled,normal_wald,Normal Wald,0.06,24,0.056258333333333334,0.05635,0.053,0.05994,0.0517,0.0628,0.003974999999999997
well_sampled,Well sampled,normal_wald,Normal Wald,0.061,24,0.05730833333333333,0.0576,0.05383,0.06077,0.0523,0.0634,0.003933333333333332
well_sampled,Well sampled,normal_wald,Normal Wald,0.062,24,0.05825416666666666,0.0587,0.05468,0.06205,0.0531,0.0645,0.003995833333333333
well_sampled,Well sampled,normal_wald,Normal Wald,0.063,24,0.059208333333333335,0.0598,0.05543,0.06301,0.0539,0.0665,0.0041333333333333335
well_sampled,Well sampled,normal_wald,Normal Wald,0.064,24,0.0601375,0.060399999999999995,0.056620000000000004,0.06388,0.0552,0.0679,0.004212500000000002
well_sampled,Well sampled,normal_wald,Normal Wald,0.065,24,0.06109583333333333,0.0611,0.05728,0.06457,0.0564,0.0688,0.004245833333333335
