scenario_id,shape_index,design_index,rows,columns,n_p,n_q,target_mi,regime,regime_label,variant,method,method_label,valid_replicates,valid_rate,nominal_alpha,rejections,rejection_rate,rejection_rate_low,rejection_rate_high,absolute_calibration_error
random_2x2_d0,0,0,2,2,400,400,0.03,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.027,220,0.022,0.019303308176876983,0.02506379426548984,0.005000000000000001
random_2x2_d0,0,0,2,2,400,400,0.03,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.028,228,0.0228,0.020052523375582592,0.025913964669391148,0.0052
random_2x2_d0,0,0,2,2,400,400,0.03,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.029,235,0.0235,0.020708857111790654,0.02665709333546414,0.005500000000000001
random_2x2_d0,0,0,2,2,400,400,0.03,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.03,243,0.0243,0.021459791775913607,0.027505544273948104,0.0057
random_2x2_d0,0,0,2,2,400,400,0.03,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.031,249,0.0249,0.022023555462864056,0.028141319788952842,0.006100000000000001
random_2x2_d0,0,0,2,2,400,400,0.03,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.032,259,0.0259,0.022964183941872586,0.02919992331320296,0.006100000000000001
random_2x2_d0,0,0,2,2,400,400,0.03,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.033,269,0.0269,0.023906028754578656,0.030257310503755536,0.006100000000000001
random_2x2_d0,0,0,2,2,400,400,0.03,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.034,277,0.0277,0.02466033633788896,0.03110238852305215,0.0063000000000000035
random_2x2_d0,0,0,2,2,400,400,0.03,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.035,289,0.0289,0.025793112248356998,0.03236869101649448,0.006100000000000005
random_2x2_d0,0,0,2,2,400,400,0.03,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.036,303,0.0303,0.02711656606925434,0.03384416200015925,0.005699999999999997
random_2x2_d0,0,0,2,2,400,400,0.03,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.037,309,0.0309,0.027684349146600024,0.03447591812476875,0.006099999999999998
random_2x2_d0,0,0,2,2,400,400,0.03,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.038,320,0.032,0.028726158044176497,0.03563326443077679,0.005999999999999998
random_2x2_d0,0,0,2,2,400,400,0.03,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.039,329,0.0329,0.029579354960203693,0.03657937631768236,0.006100000000000001
random_2x2_d0,0,0,2,2,400,400,0.03,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.04,338,0.0338,0.03043324819141217,0.03752479188940666,0.006200000000000004
random_2x2_d0,0,0,2,2,400,400,0.03,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.041,348,0.0348,0.03138280279392551,0.038574469290151986,0.006200000000000004
random_2x2_d0,0,0,2,2,400,400,0.03,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.042,356,0.0356,0.032143018815656274,0.03941363887102814,0.006400000000000003
random_2x2_d0,0,0,2,2,400,400,0.03,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.043,363,0.0363,0.032808611118288936,0.040147508970676524,0.006699999999999998
random_2x2_d0,0,0,2,2,400,400,0.03,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.044,377,0.0377,0.034140882278196075,0.04161416261533149,0.0063
random_2x2_d0,0,0,2,2,400,400,0.03,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.045,385,0.0385,0.03490280656189386,0.04245162393424062,0.006499999999999999
random_2x2_d0,0,0,2,2,400,400,0.03,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.046,394,0.0394,0.03576049506533981,0.043393244233727445,0.006600000000000002
random_2x2_d0,0,0,2,2,400,400,0.03,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.047,400,0.04,0.036332586849879514,0.044020691651142946,0.006999999999999999
random_2x2_d0,0,0,2,2,400,400,0.03,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.048,413,0.0413,0.03757291371455923,0.04537936639069948,0.006699999999999998
random_2x2_d0,0,0,2,2,400,400,0.03,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.049,419,0.0419,0.03814572841630529,0.04600609089090859,0.007100000000000002
random_2x2_d0,0,0,2,2,400,400,0.03,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.05,434,0.0434,0.03957871168152834,0.047571955630573516,0.006600000000000002
random_2x2_d0,0,0,2,2,400,400,0.03,well_sampled,Well sampled,variant_1,normal_wald,Normal Wald,10000,1.0,0.051,443,0.0443,0.040439129328723934,0.0485108467863107,0.006699999999999998
