configuration_id,bartlett_lr,constrained_lr,empirical_lr,expanded_welch,normal_wald,simple_welch,configuration_label,sample_scale,mi_difference
CURVE_CURVE_C2_N0_np20_nq200_di0p05_scale2,0.0894,0.1024,0.092,0.0634,0.2156,0.2052,"Balanced, unequal samples",2.0,0.05
CURVE_CURVE_C2_N3_np500_nq50_di0p005_scale0p5,0.044,0.0332,0.0668,0.036300777873811585,0.1924,0.1872,"Skewed, unequal samples",0.5,0.005
CURVE_CURVE_C2_N3_np500_nq50_di0p005_scale1,0.0474,0.0488,0.059,0.03918810289389067,0.1508,0.1462,"Skewed, unequal samples",1.0,0.005
CURVE_CURVE_C2_N3_np500_nq50_di0p005_scale2,0.0572,0.064,0.056,0.0282,0.1022,0.1004,"Skewed, unequal samples",2.0,0.005
CURVE_CURVE_C2_N3_np500_nq50_di0p05_scale0p5,0.129,0.1068,0.1674,0.04221693007144404,0.1524,0.1412,"Skewed, unequal samples",0.5,0.05
CURVE_CURVE_C2_N3_np500_nq50_di0p05_scale1,0.2038,0.2082,0.23,0.09079951787866614,0.138,0.1282,"Skewed, unequal samples",1.0,0.05
CURVE_CURVE_C2_N3_np500_nq50_di0p05_scale2,0.3412,0.3588,0.3386,0.1974394878975795,0.2276,0.2212,"Skewed, unequal samples",2.0,0.05
CURVE_CURVE_C2_N5_np200_nq2000_di0p005_scale0p5,0.0166,0.0124,0.0262,0.2855266614131862,0.7084,0.7084,Rare and highly unequal,0.5,0.005
CURVE_CURVE_C2_N5_np200_nq2000_di0p005_scale1,0.0112,0.0212,0.0824,0.42098739929766577,0.4968,0.4968,Rare and highly unequal,1.0,0.005
CURVE_CURVE_C2_N5_np200_nq2000_di0p005_scale2,0.0956,0.1458,0.1542,0.24739791833466773,0.3086,0.3086,Rare and highly unequal,2.0,0.005
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p005_scale0p5,0.1028,0.0964,0.1102,0.0264,0.0502,0.0492,Near independence,0.5,0.005
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p005_scale1,0.1434,0.1482,0.1442,0.079,0.1112,0.111,Near independence,1.0,0.005
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p005_scale2,0.2518,0.2652,0.255,0.2162,0.2438,0.2438,Near independence,2.0,0.005
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p05_scale0p5,0.9628,0.9592,0.9652,0.941,0.9522,0.9516,Near independence,0.5,0.05
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p05_scale1,0.999,0.999,0.999,0.999,0.999,0.999,Near independence,1.0,0.05
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p05_scale2,1.0,1.0,1.0,1.0,1.0,1.0,Near independence,2.0,0.05
CURVE_CURVE_C4_C4_s0p05_i0p0001_n500_di0p005_scale0p5,0.2236,0.0458,0.2364,0.0018036072144288577,0.0164,0.0154,Rare-cell case B,0.5,0.005
CURVE_CURVE_C4_C4_s0p05_i0p0001_n500_di0p005_scale1,0.3108,0.1102,0.347,0.004,0.0248,0.0248,Rare-cell case B,1.0,0.005
CURVE_CURVE_C4_C4_s0p05_i0p0001_n500_di0p005_scale2,0.5726,0.304,0.5374,0.0224,0.0714,0.0702,Rare-cell case B,2.0,0.005
CURVE_CURVE_C4_C4_s0p05_i0p0001_n500_di0p05_scale0p5,0.9586,0.824,0.9606,0.5151332932451393,0.622,0.6168,Rare-cell case B,0.5,0.05
CURVE_CURVE_C4_C4_s0p05_i0p0001_n500_di0p05_scale1,0.9976,0.9844,0.9986,0.9278,0.9582,0.9578,Rare-cell case B,1.0,0.05
CURVE_CURVE_C4_C4_s0p05_i0p0001_n500_di0p05_scale2,1.0,1.0,1.0,0.9994,0.9996,0.9996,Rare-cell case B,2.0,0.05
CURVE_CURVE_C4_C4_s0p1_i0p0001_n100_di0p005_scale0p5,0.0962,0.0138,0.0926,0.0004439511653718091,0.004400880176035207,0.003200640128025605,Rare-cell case A,0.5,0.005
CURVE_CURVE_C4_C4_s0p1_i0p0001_n100_di0p005_scale1,0.0922,0.0152,0.1058,0.0028208744710860366,0.042008401680336066,0.039407881576315265,Rare-cell case A,1.0,0.005
CURVE_CURVE_C4_C4_s0p1_i0p0001_n100_di0p005_scale2,0.1344,0.0288,0.127,0.0064,0.0278,0.0276,Rare-cell case A,2.0,0.005
CURVE_CURVE_C4_C4_s0p1_i0p0001_n100_di0p05_scale0p5,0.459,0.187,0.4536,0.046085997794928335,0.08581716343268654,0.07461492298459692,Rare-cell case A,0.5,0.05
CURVE_CURVE_C4_C4_s0p1_i0p0001_n100_di0p05_scale1,0.6736,0.3924,0.6986,0.1722613065326633,0.2548509701940388,0.2468493698739748,Rare-cell case A,1.0,0.05
CURVE_CURVE_C4_C4_s0p1_i0p0001_n100_di0p05_scale2,0.9084,0.7478,0.9048,0.4462,0.5572,0.55,Rare-cell case A,2.0,0.05
