scenario_id,family,rows,columns,n_p,n_q,margin_p,margin_q,target_mi_p,target_mi_q,regular,pattern_p,pattern_q,true_mi_p,true_mi_q,true_delta,association_p,association_q,min_probability_p,min_probability_q,min_expected_p,min_expected_q,different_distributions_l1,scenario_seconds,replicates,probability_p_json,probability_q_json,scenario_seed
curve_effect_d02_n300,power,3,3,300,300,balanced,strong,0.05,0.07,True,ordinal,ordinal,0.050000000000000044,0.0699999999999999,-0.01999999999999985,0.4981902486666496,1.0967621487016028,0.06072212360554866,0.005143909260806264,18.216637081664597,1.5431727782418792,1.3614578564715452,1.2941542499465868,1500,"[[0.16446349053727832, 0.10814771919050627, 0.060722123605548683], [0.10814771919050632, 0.11703789495232078, 0.10814771919050635], [0.06072212360554866, 0.10814771919050625, 0.16446349053727832]]","[[0.845192418773051, 0.038103561563185694, 0.01670401966380859], [0.03810356156316947, 0.005143909260806264, 0.006752529176016871], [0.016704019663779622, 0.006752529176008038, 0.026543451160174526]]",3674827978
curve_effect_d05_n300,power,3,3,300,300,balanced,strong,0.05,0.1,True,ordinal,ordinal,0.050000000000000044,0.10000000000000031,-0.050000000000000266,0.4981902486666496,1.3627334629580388,0.06072212360554866,0.00617519664374432,18.216637081664597,1.852558993123296,1.3759996378121608,1.2888924999861047,1500,"[[0.16446349053727832, 0.10814771919050627, 0.060722123605548683], [0.10814771919050632, 0.11703789495232078, 0.10814771919050635], [0.06072212360554866, 0.10814771919050625, 0.16446349053727832]]","[[0.8524633094433587, 0.03670704567290481, 0.010829644883783627], [0.0367070456728842, 0.00617519664374432, 0.007117757683364322], [0.010829644883757041, 0.007117757683350845, 0.03205259743285202]]",162215
curve_effect_d10_n300,power,3,3,300,300,balanced,strong,0.05,0.15,True,ordinal,ordinal,0.050000000000000044,0.14999999999999997,-0.09999999999999992,0.4981902486666496,1.9369508745436932,0.06072212360554866,0.003811628013332327,18.216637081664597,1.1434884039996982,1.3960533277975058,1.2859856659779325,1500,"[[0.16446349053727832, 0.10814771919050627, 0.060722123605548683], [0.10814771919050632, 0.11703789495232078, 0.10814771919050635], [0.06072212360554866, 0.10814771919050625, 0.16446349053727832]]","[[0.8624901544360313, 0.03369821755068628, 0.0038116280133588054], [0.033698217550636435, 0.009134121616938011, 0.007167660832414895], [0.003811628013332327, 0.007167660832375704, 0.03902071115422629]]",2951145736
curve_sample_d05_n150,power,3,3,150,150,balanced,strong,0.05,0.1,True,ordinal,ordinal,0.050000000000000044,0.10000000000000031,-0.050000000000000266,0.4981902486666496,1.3627334629580388,0.06072212360554866,0.00617519664374432,9.108318540832299,0.926279496561648,1.3759996378121608,1.2958688330836594,1500,"[[0.16446349053727832, 0.10814771919050627, 0.060722123605548683], [0.10814771919050632, 0.11703789495232078, 0.10814771919050635], [0.06072212360554866, 0.10814771919050625, 0.16446349053727832]]","[[0.8524633094433587, 0.03670704567290481, 0.010829644883783627], [0.0367070456728842, 0.00617519664374432, 0.007117757683364322], [0.010829644883757041, 0.007117757683350845, 0.03205259743285202]]",3141226789
curve_sample_d05_n600,power,3,3,600,600,balanced,strong,0.05,0.1,True,ordinal,ordinal,0.050000000000000044,0.10000000000000031,-0.050000000000000266,0.4981902486666496,1.3627334629580388,0.06072212360554866,0.00617519664374432,36.433274163329195,3.705117986246592,1.3759996378121608,1.295511499978602,1500,"[[0.16446349053727832, 0.10814771919050627, 0.060722123605548683], [0.10814771919050632, 0.11703789495232078, 0.10814771919050635], [0.06072212360554866, 0.10814771919050625, 0.16446349053727832]]","[[0.8524633094433587, 0.03670704567290481, 0.010829644883783627], [0.0367070456728842, 0.00617519664374432, 0.007117757683364322], [0.010829644883757041, 0.007117757683350845, 0.03205259743285202]]",827407145
