configuration_id,anchor_configuration_id,configuration_label,n_p,n_q,mi_p,mi_q,mi_difference,minimum_expected_count,method,method_label,replicates,valid_count,valid_rate,reject_count,rejection_rate,wilson_low,wilson_high
CURVE_CURVE_C1_N0_n10_di0p001_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.1010000000000002,0.001,1.395741822924768,constrained_lr,Constrained LR,5000,4992,0.9984,280,0.05608974358974359,0.05004151310639495,0.06282064704585959
CURVE_CURVE_C1_N0_n10_di0p001_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.1010000000000002,0.001,1.395741822924768,empirical_lr,Oracle-calibrated LR,5000,4992,0.9984,239,0.04787660256410257,0.042293642359971115,0.05415486642325926
CURVE_CURVE_C1_N0_n10_di0p001_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.1010000000000002,0.001,1.395741822924768,expanded_welch,Expanded Welch,5000,4856,0.9712,230,0.04736408566721582,0.04173909080159553,0.05370465211697521
CURVE_CURVE_C1_N0_n10_di0p001_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.1010000000000002,0.001,1.395741822924768,normal_wald,Normal Wald,5000,4985,0.997,635,0.12738214643931794,0.11841306647545836,0.13692506550074118
CURVE_CURVE_C1_N0_n10_di0p001_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.1010000000000002,0.001,1.395741822924768,simple_welch,Simple Welch,5000,4985,0.997,464,0.09307923771313942,0.08532417766195406,0.10146096404126033
CURVE_CURVE_C1_N0_n10_di0p005_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.10499999999999998,0.005,1.3748886138991319,bartlett_lr,Oracle Bartlett LR,5000,4998,0.9996,191,0.03821528611444578,0.033245107191779526,0.043894774589212725
CURVE_CURVE_C1_N0_n10_di0p005_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.10499999999999998,0.005,1.3748886138991319,constrained_lr,Constrained LR,5000,4998,0.9996,266,0.05322128851540616,0.047334107749851966,0.05979472934588272
CURVE_CURVE_C1_N0_n10_di0p005_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.10499999999999998,0.005,1.3748886138991319,empirical_lr,Oracle-calibrated LR,5000,4998,0.9996,224,0.04481792717086835,0.03942293814900872,0.050912083970470194
CURVE_CURVE_C1_N0_n10_di0p005_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.10499999999999998,0.005,1.3748886138991319,expanded_welch,Expanded Welch,5000,4867,0.9734,255,0.05239367166632423,0.046479253034174044,0.05901411257109924
CURVE_CURVE_C1_N0_n10_di0p005_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.10499999999999998,0.005,1.3748886138991319,normal_wald,Normal Wald,5000,4993,0.9986,649,0.12998197476467055,0.12093801794166904,0.13959485458375664
CURVE_CURVE_C1_N0_n10_di0p005_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.10499999999999998,0.005,1.3748886138991319,simple_welch,Simple Welch,5000,4993,0.9986,482,0.09653514920889245,0.0886510584101125,0.10503958933141391
CURVE_CURVE_C1_N0_n10_di0p01_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.1100000000000001,0.01,1.3494388443628313,bartlett_lr,Oracle Bartlett LR,5000,4997,0.9994,219,0.04382629577746648,0.038492253210560975,0.04986116940021898
CURVE_CURVE_C1_N0_n10_di0p01_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.1100000000000001,0.01,1.3494388443628313,constrained_lr,Constrained LR,5000,4997,0.9994,285,0.057034220532319393,0.05093798692900309,0.06381099352678171
CURVE_CURVE_C1_N0_n10_di0p01_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.1100000000000001,0.01,1.3494388443628313,empirical_lr,Oracle-calibrated LR,5000,4997,0.9994,254,0.050830498298979385,0.04507796021194421,0.05727310671058072
CURVE_CURVE_C1_N0_n10_di0p01_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.1100000000000001,0.01,1.3494388443628313,expanded_welch,Expanded Welch,5000,4856,0.9712,216,0.044481054365733116,0.03903373453253933,0.05064850356385671
CURVE_CURVE_C1_N0_n10_di0p01_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.1100000000000001,0.01,1.3494388443628313,normal_wald,Normal Wald,5000,4984,0.9968,684,0.13723916532905298,0.127965066304777,0.1470720354448538
CURVE_CURVE_C1_N0_n10_di0p01_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.1100000000000001,0.01,1.3494388443628313,simple_welch,Simple Welch,5000,4984,0.9968,512,0.10272873194221509,0.09460356639437212,0.1114658260084315
CURVE_CURVE_C1_N0_n10_di0p02_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.11999999999999988,0.02,1.3004315750608673,bartlett_lr,Oracle Bartlett LR,5000,4995,0.999,209,0.041841841841841844,0.0366321995320912,0.047755645590769176
