configuration,family,total_n,strata,informative_strata,statistic_g2,reference,reference_p,router_route,router_p,router_seconds,router_abs_error,exact_state_count,exact_state_upper_bound,exact_transition_upper_bound,jidt_blockwise_p,jidt_blockwise_tie_corrected_p,jidt_blockwise_ci_low,jidt_blockwise_ci_high,jidt_blockwise_seconds,jidt_blockwise_abs_error,jidt_default_global_p,jidt_default_global_tie_corrected_p,jidt_default_global_seconds,jidt_default_abs_error,jidt_g2,manual_jidt_g2_abs_difference,chi2_nominal_p,chi2_nominal_abs_error,chi2_informative_p,chi2_informative_abs_error,speedup_vs_jidt_blockwise,permutations,jidt_pvalue_resolution
homogeneous_k20_n10_both_skew,homogeneous,200,20,20,29.569545753786134,exact_convolution,0.1329533234343351,exact_convolution,0.1329533234343351,0.00027460409328341486,0.0,21.0,21,420,0.107,0.132,0.11242163614807688,0.1543948580972917,0.006732707959599793,0.0009533234343351016,0.013,0.013,0.009817500016652048,0.11995332343433511,29.56954575378609,4.263256414560601e-14,0.07713529023184235,0.05581803320249276,0.07713529023184235,0.05581803320249276,24.517871817194887,1000,0.001
dominant_stratum_k100,dominant_stratum,360,100,34,71.65367371012692,exact_convolution,0.05620626009612146,exact_convolution,0.05620626009612146,0.002933520800434053,0.0,272.0,272,8984,0.048,0.049,0.03726103464736061,0.06419070150661012,0.006790457991883159,0.007206260096121457,0.46,0.46,0.007219542050734162,0.40379373990387857,71.65367371012685,7.105427357601002e-14,0.9855410834307212,0.9293348233345997,0.00016955215780955346,0.056036707938311905,2.314780924982165,1000,0.001
homogeneous_k10_n30_balanced,homogeneous,300,10,10,19.254219970175576,conditional_monte_carlo,0.049949750251248745,saddlepoint,0.05054712945311658,0.0008635958074592054,0.000597379201867837,,19448,100001,0.058,0.058,0.04513327823499824,0.07424957626623249,0.00692104094196111,0.008050249748751258,0.041,0.041,0.004359291982837021,0.008949750251248743,19.254219970175576,0.0,0.03715001395440998,0.012799736296838768,0.03715001395440998,0.012799736296838768,8.014213225888138,1000,0.001
homogeneous_k50_n30_both_skew,homogeneous,1500,50,50,62.66077930729449,conditional_monte_carlo,0.05593472032639837,saddlepoint,0.052300095204050226,0.0009475332917645574,0.003634625122348141,,23426,100001,0.068,0.068,0.05399245780853015,0.08531386152298948,0.031367958057671785,0.012065279673601638,0.028,0.028,0.01654183305799961,0.027934720326398366,62.660779307294526,3.552713678800501e-14,0.10784081799599846,0.05190609766960009,0.10784081799599846,0.05190609766960009,33.104861148737434,1000,0.001
homogeneous_k100_n30_balanced,homogeneous,3000,100,100,130.947556174153,conditional_monte_carlo,0.05061474692626537,saddlepoint,0.0504746215566419,0.0017021749983541668,0.00014012536962347555,,100001,100001,0.05,0.05,0.03813026239274881,0.06531382024425081,0.06869229103904217,0.0006147469262653693,0.056,0.056,0.02858670800924301,0.005385253073734629,130.94755617415285,1.4210854715202004e-13,0.020562392065636297,0.030052354860629075,0.020562392065636297,0.030052354860629075,40.35559863437118,1000,0.001
heterogeneous_k100_v1,heterogeneous,1360,100,100,153.6630766076043,conditional_monte_carlo,0.046039769801150994,saddlepoint,0.04640996742409456,0.0025315499980933963,0.00037019762294356745,,100001,100001,0.037,0.037,0.026961180875554734,0.05058239748206931,0.026762707973830402,0.009039769801150996,0.049,0.049,0.020326041034422815,0.002960230198849008,153.66307660760415,1.4210854715202004e-13,0.0004549185789336118,0.04558485122221738,0.0004549185789336118,0.04558485122221738,10.571668738119486,1000,0.001
