configuration_id,population_id,experiment,shape,rows,columns,skewness,relationship,interaction_pair,n_p,n_q,sample_size_ratio_q_to_p,allocation_ratio,relative_effect,baseline_fraction,shared_reachable_mi,target_mi_p,target_mi_q,achieved_mi_p,achieved_mi_q,absolute_mi_difference,structural_breakdown,replicates,simulation_seed,nominal_alpha,method_a,method_b,both_reject,neither_rejects,only_method_a_rejects,only_method_b_rejects,rejection_rate_difference_a_minus_b,paired_standard_error,paired_95_low,paired_95_high
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np250_nq250,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,250,250,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,9863651815688192352,0.05,expanded_welch,normal_wald,306,9576,0,118,-0.0118,0.0010799039861311404,-0.013916611812817035,-0.009683388187182965
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np250_nq250,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,250,250,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,9863651815688192352,0.1,expanded_welch,normal_wald,746,9061,0,193,-0.0193,0.0013758416675000809,-0.02199664966830016,-0.016603350331699844
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np250_nq250,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,250,250,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,9863651815688192352,0.01,simple_welch,normal_wald,58,9937,0,5,-0.0005,0.0002235620674439203,-0.0009381816521900838,-6.181834780991623e-05
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np250_nq250,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,250,250,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,9863651815688192352,0.05,simple_welch,normal_wald,416,9576,0,8,-0.0008,0.0002827436902911185,-0.0013541776329705924,-0.00024582236702940777
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np250_nq250,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,250,250,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,9863651815688192352,0.1,simple_welch,normal_wald,921,9061,0,18,-0.0018,0.0004239032547609651,-0.0026308503793314912,-0.0009691496206685084
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np250_nq250,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,250,250,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,9863651815688192352,0.01,expanded_welch,simple_welch,33,9942,0,25,-0.0025,0.0004993995794892095,-0.003478823175798851,-0.0015211768242011493
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np250_nq250,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,250,250,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,9863651815688192352,0.05,expanded_welch,simple_welch,306,9584,0,110,-0.011,0.001043076603553204,-0.013044430142964279,-0.00895556985703572
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np250_nq250,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,250,250,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,9863651815688192352,0.1,expanded_welch,simple_welch,746,9079,0,175,-0.0175,0.0013113149715821403,-0.020070177344300996,-0.014929822655699006
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np1000_nq1000,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,1000,1000,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,18210342808027603866,0.01,expanded_welch,normal_wald,64,9917,0,19,-0.0019,0.0004354973774853066,-0.002753574859871201,-0.001046425140128799
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np1000_nq1000,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,1000,1000,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,18210342808027603866,0.05,expanded_welch,normal_wald,411,9549,0,40,-0.004,0.0006312209153572134,-0.005237192994100138,-0.002762807005899862
