configuration_id,population_id,experiment,shape,rows,columns,skewness,relationship,interaction_pair,n_p,n_q,sample_size_ratio_q_to_p,allocation_ratio,relative_effect,baseline_fraction,shared_reachable_mi,target_mi_p,target_mi_q,achieved_mi_p,achieved_mi_q,absolute_mi_difference,structural_breakdown,replicates,simulation_seed,minimum_true_expected_p,minimum_true_expected_q,true_expected_below_1_p,true_expected_below_1_q,true_expected_below_5_p,true_expected_below_5_q,observed_zero_fraction_p,observed_zero_fraction_q,empty_row_p,empty_row_q,empty_column_p,empty_column_q,method,method_label,nominal_alpha,valid_replicates,valid_rate,common_valid_replicates,common_valid_rate,rejections,common_valid_rejections,unconditional_rejection_rate,conditional_rejection_rate,common_valid_rejection_rate,wilson_95_low,wilson_95_high,monte_carlo_standard_error,absolute_calibration_error,invalid_reason_counts_json,component_degrees_of_freedom_p_median,component_degrees_of_freedom_p_p05,component_degrees_of_freedom_p_p95,component_degrees_of_freedom_p_fraction_below_1,component_degrees_of_freedom_p_fraction_above_1e4,component_degrees_of_freedom_q_median,component_degrees_of_freedom_q_p05,component_degrees_of_freedom_q_p95,component_degrees_of_freedom_q_fraction_below_1,component_degrees_of_freedom_q_fraction_above_1e4,welch_degrees_of_freedom_median,welch_degrees_of_freedom_p05,welch_degrees_of_freedom_p95,welch_degrees_of_freedom_fraction_below_1,welch_degrees_of_freedom_fraction_above_1e4
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np250_nq250,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,250,250,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,9863651815688192352,48.15774569038621,10.915473808731662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal_wald,Normal Wald,0.05,10000,1.0,10000,1.0,424,424,0.0424,0.0424,0.0424,0.03862324112699029,0.046528194181852923,0.002014999751861027,0.007600000000000003,"{""invalid_base"": 0}",,,,,,,,,,,,,,,
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np250_nq250,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,250,250,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,9863651815688192352,48.15774569038621,10.915473808731662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal_wald,Normal Wald,0.1,10000,1.0,10000,1.0,939,939,0.0939,0.0939,0.0939,0.08833790268998898,0.09977398078667454,0.002916895438647056,0.006100000000000008,"{""invalid_base"": 0}",,,,,,,,,,,,,,,
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np250_nq250,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,250,250,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,9863651815688192352,48.15774569038621,10.915473808731662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simple_welch,Simple Welch,0.01,10000,1.0,10000,1.0,58,58,0.0058,0.0058,0.0058,0.004489676579576176,0.00748986741000057,0.0007593655246322419,0.004200000000000001,"{""invalid_base"": 0, ""invalid_df"": 0}",,,,,,,,,,,,,,,
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np250_nq250,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,250,250,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,9863651815688192352,48.15774569038621,10.915473808731662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simple_welch,Simple Welch,0.05,10000,1.0,10000,1.0,416,416,0.0416,0.0416,0.0416,0.03785929346729353,0.04569275623894275,0.0019967333322204045,0.008400000000000005,"{""invalid_base"": 0, ""invalid_df"": 0}",,,,,,,,,,,,,,,
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np250_nq250,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,250,250,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,9863651815688192352,48.15774569038621,10.915473808731662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simple_welch,Simple Welch,0.1,10000,1.0,10000,1.0,921,921,0.0921,0.0921,0.0921,0.08658798651880575,0.09792527935199222,0.0028916706243969077,0.007900000000000004,"{""invalid_base"": 0, ""invalid_df"": 0}",,,,,,,,,,,,,,,
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np250_nq250,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,250,250,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,9863651815688192352,48.15774569038621,10.915473808731662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expanded_welch,Expanded Welch,0.01,10000,1.0,10000,1.0,33,33,0.0033,0.0033,0.0033,0.002350823409618217,0.004630640571811913,0.0005735076285456019,0.0067,"{""invalid_base"": 0, ""invalid_combined_df"": 0, ""invalid_component_p"": 0, ""invalid_component_q"": 0}",7.209624246509887,2.118907842023712,16.44538951182548,0.0137,0.0,9.418471869723119,2.4636308222066123,28.00910137782116,0.0076,0.0,17.08698822286043,7.626826296424386,32.93936080226252,0.0001,0.0
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np250_nq250,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,250,250,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,9863651815688192352,48.15774569038621,10.915473808731662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expanded_welch,Expanded Welch,0.05,10000,1.0,10000,1.0,306,306,0.0306,0.0306,0.0306,0.02740041465717347,0.03416008301321771,0.0017223135603019561,0.019400000000000004,"{""invalid_base"": 0, ""invalid_combined_df"": 0, ""invalid_component_p"": 0, ""invalid_component_q"": 0}",7.209624246509887,2.118907842023712,16.44538951182548,0.0137,0.0,9.418471869723119,2.4636308222066123,28.00910137782116,0.0076,0.0,17.08698822286043,7.626826296424386,32.93936080226252,0.0001,0.0
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np250_nq250,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,250,250,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,9863651815688192352,48.15774569038621,10.915473808731662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expanded_welch,Expanded Welch,0.1,10000,1.0,10000,1.0,746,746,0.0746,0.0746,0.0746,0.0696120472226823,0.07991465859108934,0.002627448191687136,0.025400000000000006,"{""invalid_base"": 0, ""invalid_combined_df"": 0, ""invalid_component_p"": 0, ""invalid_component_q"": 0}",7.209624246509887,2.118907842023712,16.44538951182548,0.0137,0.0,9.418471869723119,2.4636308222066123,28.00910137782116,0.0076,0.0,17.08698822286043,7.626826296424386,32.93936080226252,0.0001,0.0
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np1000_nq1000,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,1000,1000,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,18210342808027603866,192.63098276154483,43.66189523492665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal_wald,Normal Wald,0.01,10000,1.0,10000,1.0,83,83,0.0083,0.0083,0.0083,0.006700968940935741,0.010276655056787622,0.000907254650029417,0.0017000000000000001,"{""invalid_base"": 0}",,,,,,,,,,,,,,,
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np1000_nq1000,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,1000,1000,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,18210342808027603866,192.63098276154483,43.66189523492665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal_wald,Normal Wald,0.05,10000,1.0,10000,1.0,451,451,0.0451,0.0451,0.0451,0.04120432664892541,0.04934503506871614,0.0020752346855235433,0.004900000000000002,"{""invalid_base"": 0}",,,,,,,,,,,,,,,
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np1000_nq1000,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,1000,1000,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,18210342808027603866,192.63098276154483,43.66189523492665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal_wald,Normal Wald,0.1,10000,1.0,10000,1.0,927,927,0.0927,0.0927,0.0927,0.08717121992221599,0.09854158515053718,0.0029001156873476614,0.007300000000000001,"{""invalid_base"": 0}",,,,,,,,,,,,,,,
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np1000_nq1000,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,1000,1000,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,18210342808027603866,192.63098276154483,43.66189523492665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simple_welch,Simple Welch,0.01,10000,1.0,10000,1.0,83,83,0.0083,0.0083,0.0083,0.006700968940935741,0.010276655056787622,0.000907254650029417,0.0017000000000000001,"{""invalid_base"": 0, ""invalid_df"": 0}",,,,,,,,,,,,,,,
