scenario_id,family,rows,columns,n_p,n_q,margin_p,margin_q,target_mi_p,target_mi_q,regular,true_mi_p,true_mi_q,true_delta,association_p,association_q,min_probability_p,min_probability_q,min_expected_p,min_expected_q,different_distributions_l1,scenario_seconds,replicates,probability_p_json,probability_q_json,scenario_seed
strong_2x2_bal_100,strong_null,2,2,100,100,balanced,balanced,0.05,0.05,True,0.0499999999999996,0.0499999999999996,0.0,0.3244922783229479,0.3244922783229479,0.17160920081751688,0.17160920081751688,17.160920081751687,17.160920081751687,0.0,0.01268549996893853,40,"[[0.3283907991824831, 0.17160920081751688], [0.17160920081751688, 0.3283907991824831]]","[[0.3283907991824831, 0.17160920081751688], [0.17160920081751688, 0.3283907991824831]]",1062694068
weak_2x2_bal_strong_100_250,weak_null,2,2,100,250,balanced,strong,0.05,0.05,True,0.0499999999999996,0.050000000000000044,-4.440892098500626e-16,0.3244922783229479,0.6372082630864623,0.17160920081751688,0.04529267549812524,17.160920081751687,11.32316887453131,1.0338037526313446,0.012340124929323792,40,"[[0.3283907991824831, 0.17160920081751688], [0.17160920081751688, 0.3283907991824831]]","[[0.8452926754981555, 0.05470732450187472], [0.05470732450184442, 0.04529267549812524]]",292201944
near_2x2_bal_strong_500,near_boundary,2,2,500,500,balanced,strong,0.002,0.002,False,0.0019999999999982254,0.0019999999999972262,9.992007221626409e-16,0.06330890790270305,0.155557493164464,0.2341938844482372,0.01607850139493241,117.09694222411859,8.039250697466207,1.1005447716864154,0.012125791981816292,40,"[[0.26580611555176287, 0.2341938844482372], [0.2341938844482372, 0.26580611555176287]]","[[0.8160785013949705, 0.08392149860506758], [0.0839214986050295, 0.01607850139493241]]",2969104037
power_2x2_bal_strong_200,power,2,2,200,200,balanced,strong,0.05,0.1,True,0.0499999999999996,0.09999999999999987,-0.050000000000000266,0.3244922783229479,0.8968587065579073,0.17160920081751688,0.03834106240060664,34.321840163503374,7.668212480121328,1.0665362768338207,0.012371791061013937,40,"[[0.3283907991824831, 0.17160920081751688], [0.17160920081751688, 0.3283907991824831]]","[[0.8616589375993935, 0.03834106240064697], [0.03834106240060664, 0.06165893759935301]]",2311938656
