scenario_id,configuration_id,rows,columns,condition,condition_label,n_p,n_q,population_replication,target_mi,simulation_seed,replicates,lrt_convergence_rate,lrt_fallback_rate,lrt_median_iterations,lrt_max_constraint_residual,lrt_mean_seconds_per_fit,audited_replicates,audit_max_statistic_difference,audit_mean_statistic_difference
config_3x3_d0_p00,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,0,0.1,2198185237,200,1.0,0.0,24.0,5.928425805823423e-11,0.007940014359774069,10,3.0240698833949864e-11,3.456079866737127e-12
config_3x3_d0_p01,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,1,0.1,731714546,200,1.0,0.0,23.0,5.2194665256521944e-11,0.008817498314892874,10,5.184119800105691e-11,6.3209881773218514e-12
config_3x3_d0_p02,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,2,0.1,30925125,200,1.0,0.0,23.0,9.842321402331322e-12,0.00741019397508353,10,3.1604940886609256e-11,3.797140379901975e-12
config_3x3_d0_p03,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,3,0.1,3324953407,200,1.0,0.0,23.0,1.815340933131182e-11,0.008698878929717466,10,4.729372449219227e-11,1.0754774848464876e-11
config_3x3_d0_p04,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,4,0.1,224210588,200,1.0,0.0,23.0,7.875763929909851e-11,0.0078835266653914,10,4.3655745685100555e-11,1.1300471669528634e-11
config_3x3_d0_p05,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,5,0.1,4175141723,200,1.0,0.0,24.0,9.522466148936815e-11,0.008081371217267588,10,1.0118128557223827e-10,1.8167156667914243e-11
config_3x3_d0_p06,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,6,0.1,2032883690,200,1.0,0.0,23.0,3.3037655944312405e-11,0.007246615194017068,10,4.956746124662459e-11,8.890310709830374e-12
config_3x3_d0_p07,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,7,0.1,1604980699,200,1.0,0.0,24.0,7.309605698502253e-11,0.008090741251362488,10,9.163159120362252e-11,2.2305357560981064e-11
config_3x3_d0_p08,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,8,0.1,3929233077,200,1.0,0.0,23.0,4.013588073004115e-11,0.006382735059596598,10,8.549250196665525e-11,1.575699570821598e-11
config_3x3_d0_p09,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,9,0.1,3930232604,200,1.0,0.0,23.0,6.42484121460285e-11,0.006125844393391162,10,8.981260180007666e-11,1.0231815394945443e-11
