scenario_id,regime,table_index,true_delta,paired_wald_normal_p,paired_wald_t_p,paired_jackknife_t_p,bootstrap_t_p,analytic_seconds,bootstrap_seconds,bootstrap_valid_replicates,bootstrap_requested_replicates
regular_2x2_bal_n50_positive,regular,0,0.0,0.8786900676988019,0.87931684218122,0.8850297931600551,0.901,0.00048087502364069223,0.0013842500047758222,999,999
regular_2x2_bal_n50_positive,regular,1,0.0,0.09809452451920456,0.10448742808221295,0.12618680754845812,0.1688708036622584,0.0001675420207902789,0.0012914999388158321,982,999
regular_2x2_bal_n50_positive,regular,2,0.0,0.974785319984232,0.9749137150146284,0.9774837362276411,0.9706477732793523,0.0001579170348122716,0.0012326251016929746,987,999
regular_2x2_bal_n50_positive,regular,3,0.0,0.8197114982846243,0.8206599014194057,0.8346920050158515,0.827,0.00015116704162210226,0.001288958010263741,999,999
regular_2x2_bal_n50_positive,regular,4,0.0,1.0,1.0,1.0,1.0,0.00014837505295872688,0.0014677910367026925,994,999
regular_2x2_bal_n50_positive,regular,5,0.0,0.3289119007468546,0.33370746031808723,0.36712354421077437,0.35435435435435436,0.00017537502571940422,0.0014045420102775097,998,999
regular_2x2_bal_n50_positive,regular,6,0.0,0.23011691167305337,0.2358869977070729,0.2683417065949672,0.263,0.00015454099047929049,0.001329749939031899,999,999
regular_2x2_bal_n50_positive,regular,7,0.0,0.35175839989760527,0.3563237998012837,0.3827727726771935,0.3633633633633634,0.00015275005716830492,0.0013258749386295676,998,999
regular_2x2_weak_n100_negative,regular,0,-4.440892098500626e-16,0.11067888340245556,0.11386642922897953,0.10920790820623104,0.094,0.00015841692220419645,0.001502124941907823,999,999
regular_2x2_weak_n100_negative,regular,1,-4.440892098500626e-16,0.35851080426417226,0.36074243770899267,0.3682056749605031,0.35,0.00017216603737324476,0.0014062910340726376,999,999
regular_2x2_weak_n100_negative,regular,2,-4.440892098500626e-16,0.9954121315005257,0.9954237024693862,0.9862829352701672,0.989,0.00016862503252923489,0.001360249938443303,999,999
regular_2x2_weak_n100_negative,regular,3,-4.440892098500626e-16,0.3895194852423862,0.3915986156160258,0.3969624035761265,0.383,0.0001527080312371254,0.0013155000051483512,999,999
regular_2x2_weak_n100_negative,regular,4,-4.440892098500626e-16,0.07450925013577647,0.0775735798362627,0.09547677960694559,0.129,0.00015125004574656487,0.0014544581063091755,999,999
regular_2x2_weak_n100_negative,regular,5,-4.440892098500626e-16,0.17040507557078133,0.17350500548769662,0.17464830249094043,0.146,0.00015220895875245333,0.001426125061698258,999,999
regular_2x2_weak_n100_negative,regular,6,-4.440892098500626e-16,0.2354548587294033,0.2382942814734285,0.258992523128428,0.277,0.00014891696628183126,0.0013673750218003988,999,999
regular_2x2_weak_n100_negative,regular,7,-4.440892098500626e-16,0.11737322749991164,0.12056420584824844,0.16871153631177618,0.197,0.00014916702639311552,0.0013934170128777623,999,999
regular_3x3_weak_n150_positive,regular,0,-4.9682480351975755e-14,0.5746857551921342,0.5755287339971668,0.6461177218578966,0.679,0.00018083304166793823,0.0025482079945504665,999,999
regular_3x3_weak_n150_positive,regular,1,-4.9682480351975755e-14,0.44230085546754105,0.4435168566693778,0.49751108494989227,0.489,0.00015883299056440592,0.0022500419290736318,999,999
regular_3x3_weak_n150_positive,regular,2,-4.9682480351975755e-14,0.013070591512798631,0.014181020692645279,0.013137685117374254,0.015,0.00015225005336105824,0.002225582953542471,999,999
regular_3x3_weak_n150_positive,regular,3,-4.9682480351975755e-14,0.3300185605552898,0.33159729054472564,0.44090310021694584,0.465,0.00015179207548499107,0.0022887500235810876,999,999
regular_3x3_weak_n150_positive,regular,4,-4.9682480351975755e-14,0.8024886055276923,0.802833146025147,0.8345229447907422,0.844,0.00021062500309199095,0.0023608750198036432,999,999
regular_3x3_weak_n150_positive,regular,5,-4.9682480351975755e-14,0.6309237524644864,0.6316283591514634,0.8234608928540763,0.829,0.0001612498890608549,0.002348083071410656,999,999
