regime,regime_label,method,method_label,population_pairs,mean_valid_rate,mean_fpr_10,mean_absolute_fpr_error_10,mean_fpr_05,mean_absolute_fpr_error_05,mean_fpr_01,mean_absolute_fpr_error_01
widespread_sparse,Widespread sparsity,analytic_simple,Analytic correction + Simple Welch,24,0.9915291666666667,0.09419009553333713,0.016478514751955692,0.04520135307492624,0.01175023392728299,0.007855339288367832,0.004229520571492028
widespread_sparse,Widespread sparsity,analytic_expanded,Analytic correction + Expanded Welch,24,0.9915291666666667,0.08206787683221678,0.024565456501116564,0.036715842732883225,0.01731749060045011,0.00531294579037046,0.005595387542962874
widespread_sparse,Widespread sparsity,jackknife_normal,Jackknife correction + Normal Wald,24,0.9915291666666667,0.11033864046342438,0.01752197379675772,0.05677020421414788,0.011972436408042924,0.012008770723965327,0.004379781797795416
widespread_sparse,Widespread sparsity,jackknife_simple,Jackknife correction + Simple Welch,24,0.9915291666666667,0.10965534718046366,0.016905347180463673,0.056049635084286786,0.011468579674813064,0.011532934440544458,0.004247090399629515
widespread_sparse,Widespread sparsity,jackknife_expanded,Jackknife correction + Expanded Welch,24,0.9915291666666667,0.09494036452402133,0.011570937551416803,0.04407203245814608,0.008595703214503186,0.00687000325016425,0.003606122875961877
shape_mismatch,Equal-MI shape mismatch,analytic_normal,Analytic correction + Normal Wald,24,1.0,0.10367083333333334,0.007270833333333333,0.05256666666666667,0.0045916666666666675,0.010966666666666666,0.001683333333333333
shape_mismatch,Equal-MI shape mismatch,analytic_simple,Analytic correction + Simple Welch,24,1.0,0.10339166666666666,0.007316666666666666,0.05237083333333333,0.004629166666666667,0.010820833333333333,0.0016291666666666666
shape_mismatch,Equal-MI shape mismatch,analytic_expanded,Analytic correction + Expanded Welch,24,1.0,0.10178333333333334,0.008016666666666667,0.05095416666666667,0.005354166666666666,0.010158333333333333,0.0019250000000000003
shape_mismatch,Equal-MI shape mismatch,jackknife_normal,Jackknife correction + Normal Wald,24,1.0,0.10085833333333333,0.004291666666666665,0.050895833333333335,0.0030708333333333317,0.010466666666666666,0.0012
shape_mismatch,Equal-MI shape mismatch,jackknife_simple,Jackknife correction + Simple Welch,24,1.0,0.10062083333333334,0.004279166666666665,0.050679166666666664,0.0030791666666666654,0.010333333333333333,0.0012249999999999997
shape_mismatch,Equal-MI shape mismatch,jackknife_expanded,Jackknife correction + Expanded Welch,24,1.0,0.09882916666666668,0.005504166666666667,0.04937916666666666,0.003879166666666666,0.009670833333333333,0.0014541666666666668
extreme_imbalance,Extreme sample imbalance,analytic_normal,Analytic correction + Normal Wald,24,1.0,0.10745416666666667,0.010837499999999998,0.056279166666666665,0.008495833333333333,0.013970833333333335,0.004504166666666667
extreme_imbalance,Extreme sample imbalance,analytic_simple,Analytic correction + Simple Welch,24,1.0,0.10679999999999999,0.01028333333333333,0.055562499999999994,0.007845833333333335,0.013458333333333334,0.003991666666666667
extreme_imbalance,Extreme sample imbalance,analytic_expanded,Analytic correction + Expanded Welch,24,1.0,0.1022041666666667,0.008045833333333334,0.05121666666666667,0.005458333333333333,0.010133333333333334,0.0018416666666666668
extreme_imbalance,Extreme sample imbalance,jackknife_normal,Jackknife correction + Normal Wald,24,1.0,0.11299999999999999,0.015358333333333333,0.060275,0.0118,0.015487500000000001,0.005795833333333333
extreme_imbalance,Extreme sample imbalance,jackknife_simple,Jackknife correction + Simple Welch,24,1.0,0.112275,0.014849999999999997,0.059512499999999996,0.011087499999999998,0.015050000000000001,0.005366666666666666
extreme_imbalance,Extreme sample imbalance,jackknife_expanded,Jackknife correction + Expanded Welch,24,1.0,0.10765416666666668,0.012620833333333331,0.05507916666666667,0.008279166666666666,0.011491666666666666,0.0026999999999999997
