scenario_id,regime,regime_label,variant,rows,columns,n_p,n_q,target_mi,minimum_joint_expected_pair,sample_size_ratio_q_to_p,simulation_seed,replicates,method,method_label,valid_replicates,valid_rate,fpr_10,absolute_fpr_error_10,fpr_05,absolute_fpr_error_05,fpr_01,absolute_fpr_error_01
random_2x2_d3,well_sampled,Well sampled,variant_2,2,2,800,800,0.03,42.55583416835748,1.0,2198623536,10000,jackknife_expanded,Jackknife correction + Expanded Welch,10000,1.0,0.0909,0.00910000000000001,0.043,0.007000000000000006,0.007,0.003
random_2x2_d4,moderate,Moderate,variant_2,2,2,120,240,0.07,0.2265081531062298,2.0,2768931447,10000,analytic_normal,Analytic correction + Normal Wald,10000,1.0,0.1198,0.019799999999999998,0.0643,0.014299999999999993,0.0202,0.010199999999999999
random_2x2_d4,moderate,Moderate,variant_2,2,2,120,240,0.07,0.2265081531062298,2.0,2768931447,10000,analytic_simple,Analytic correction + Simple Welch,10000,1.0,0.1187,0.018699999999999994,0.0632,0.013200000000000003,0.0198,0.009800000000000001
random_2x2_d4,moderate,Moderate,variant_2,2,2,120,240,0.07,0.2265081531062298,2.0,2768931447,10000,analytic_expanded,Analytic correction + Expanded Welch,10000,1.0,0.1056,0.005599999999999994,0.0512,0.0011999999999999997,0.0121,0.0020999999999999994
random_2x2_d4,moderate,Moderate,variant_2,2,2,120,240,0.07,0.2265081531062298,2.0,2768931447,10000,jackknife_normal,Jackknife correction + Normal Wald,10000,1.0,0.1226,0.022599999999999995,0.0665,0.0165,0.0219,0.011899999999999999
random_2x2_d4,moderate,Moderate,variant_2,2,2,120,240,0.07,0.2265081531062298,2.0,2768931447,10000,jackknife_simple,Jackknife correction + Simple Welch,10000,1.0,0.1217,0.021699999999999997,0.0653,0.015299999999999994,0.0211,0.0111
random_2x2_d4,moderate,Moderate,variant_2,2,2,120,240,0.07,0.2265081531062298,2.0,2768931447,10000,jackknife_expanded,Jackknife correction + Expanded Welch,10000,1.0,0.1083,0.008299999999999988,0.0525,0.0024999999999999953,0.0132,0.0031999999999999997
random_2x2_d5,sparse_imbalanced,Sparse and imbalanced,variant_2,2,2,120,480,0.15,12.57541048981186,4.0,880372142,10000,analytic_normal,Analytic correction + Normal Wald,10000,1.0,0.1104,0.010399999999999993,0.0605,0.010499999999999995,0.0162,0.006199999999999999
random_2x2_d5,sparse_imbalanced,Sparse and imbalanced,variant_2,2,2,120,480,0.15,12.57541048981186,4.0,880372142,10000,analytic_simple,Analytic correction + Simple Welch,10000,1.0,0.1083,0.008299999999999988,0.0587,0.0087,0.0156,0.005599999999999999
random_2x2_d5,sparse_imbalanced,Sparse and imbalanced,variant_2,2,2,120,480,0.15,12.57541048981186,4.0,880372142,10000,analytic_expanded,Analytic correction + Expanded Welch,10000,1.0,0.1031,0.0030999999999999917,0.0532,0.0031999999999999945,0.0119,0.0019000000000000006
random_2x2_d5,sparse_imbalanced,Sparse and imbalanced,variant_2,2,2,120,480,0.15,12.57541048981186,4.0,880372142,10000,jackknife_normal,Jackknife correction + Normal Wald,10000,1.0,0.1108,0.01079999999999999,0.0604,0.0104,0.0163,0.006299999999999998
random_2x2_d5,sparse_imbalanced,Sparse and imbalanced,variant_2,2,2,120,480,0.15,12.57541048981186,4.0,880372142,10000,jackknife_simple,Jackknife correction + Simple Welch,10000,1.0,0.1088,0.008799999999999988,0.059,0.008999999999999994,0.0156,0.005599999999999999
random_2x2_d5,sparse_imbalanced,Sparse and imbalanced,variant_2,2,2,120,480,0.15,12.57541048981186,4.0,880372142,10000,jackknife_expanded,Jackknife correction + Expanded Welch,10000,1.0,0.1031,0.0030999999999999917,0.053,0.0029999999999999957,0.012,0.002
stress_2x2_d6,highly_sparse,Highly skewed and sparse,variant_1,2,2,157,157,0.1,2.1019617738835743,1.0,3260596029,10000,analytic_normal,Analytic correction + Normal Wald,10000,1.0,0.1204,0.020399999999999988,0.0659,0.015899999999999997,0.0197,0.009699999999999999
stress_2x2_d6,highly_sparse,Highly skewed and sparse,variant_1,2,2,157,157,0.1,2.1019617738835743,1.0,3260596029,10000,analytic_simple,Analytic correction + Simple Welch,10000,1.0,0.1194,0.0194,0.0651,0.015100000000000002,0.0189,0.0089
stress_2x2_d6,highly_sparse,Highly skewed and sparse,variant_1,2,2,157,157,0.1,2.1019617738835743,1.0,3260596029,10000,analytic_expanded,Analytic correction + Expanded Welch,10000,1.0,0.1157,0.015699999999999992,0.0615,0.011499999999999996,0.0169,0.006899999999999998
stress_2x2_d6,highly_sparse,Highly skewed and sparse,variant_1,2,2,157,157,0.1,2.1019617738835743,1.0,3260596029,10000,jackknife_normal,Jackknife correction + Normal Wald,10000,1.0,0.1202,0.020199999999999996,0.0665,0.0165,0.0208,0.010799999999999999
stress_2x2_d6,highly_sparse,Highly skewed and sparse,variant_1,2,2,157,157,0.1,2.1019617738835743,1.0,3260596029,10000,jackknife_simple,Jackknife correction + Simple Welch,10000,1.0,0.1195,0.01949999999999999,0.0656,0.015600000000000003,0.0203,0.010299999999999998
stress_2x2_d6,highly_sparse,Highly skewed and sparse,variant_1,2,2,157,157,0.1,2.1019617738835743,1.0,3260596029,10000,jackknife_expanded,Jackknife correction + Expanded Welch,10000,1.0,0.1158,0.015799999999999995,0.0625,0.012499999999999997,0.0181,0.008100000000000001
stress_2x2_d7,highly_sparse,Highly skewed and sparse,variant_2,2,2,135,540,0.15,3.784944856291914,4.0,3227718042,10000,analytic_normal,Analytic correction + Normal Wald,10000,1.0,0.1143,0.014299999999999993,0.0637,0.013700000000000004,0.0199,0.0099
stress_2x2_d7,highly_sparse,Highly skewed and sparse,variant_2,2,2,135,540,0.15,3.784944856291914,4.0,3227718042,10000,analytic_simple,Analytic correction + Simple Welch,10000,1.0,0.1125,0.012499999999999997,0.0619,0.011899999999999994,0.0192,0.009199999999999998
stress_2x2_d7,highly_sparse,Highly skewed and sparse,variant_2,2,2,135,540,0.15,3.784944856291914,4.0,3227718042,10000,analytic_expanded,Analytic correction + Expanded Welch,10000,1.0,0.1058,0.0058,0.0556,0.005599999999999994,0.0137,0.0037
stress_2x2_d7,highly_sparse,Highly skewed and sparse,variant_2,2,2,135,540,0.15,3.784944856291914,4.0,3227718042,10000,jackknife_normal,Jackknife correction + Normal Wald,10000,1.0,0.112,0.011999999999999997,0.0626,0.0126,0.02,0.01
stress_2x2_d7,highly_sparse,Highly skewed and sparse,variant_2,2,2,135,540,0.15,3.784944856291914,4.0,3227718042,10000,jackknife_simple,Jackknife correction + Simple Welch,10000,1.0,0.1105,0.010499999999999995,0.0611,0.011099999999999999,0.0189,0.0089
stress_2x2_d7,highly_sparse,Highly skewed and sparse,variant_2,2,2,135,540,0.15,3.784944856291914,4.0,3227718042,10000,jackknife_expanded,Jackknife correction + Expanded Welch,10000,1.0,0.1042,0.004199999999999995,0.0548,0.004799999999999999,0.0136,0.003599999999999999
stress_2x2_d8,ultra_sparse,Ultra-skewed and sparse,variant_1,2,2,125,125,0.1,0.6874348312919387,1.0,1814125591,10000,analytic_normal,Analytic correction + Normal Wald,10000,1.0,0.1276,0.027599999999999986,0.0697,0.019699999999999995,0.0178,0.0078
stress_2x2_d8,ultra_sparse,Ultra-skewed and sparse,variant_1,2,2,125,125,0.1,0.6874348312919387,1.0,1814125591,10000,analytic_simple,Analytic correction + Simple Welch,10000,1.0,0.1261,0.026099999999999984,0.0683,0.018299999999999997,0.0164,0.006400000000000001
stress_2x2_d8,ultra_sparse,Ultra-skewed and sparse,variant_1,2,2,125,125,0.1,0.6874348312919387,1.0,1814125591,10000,analytic_expanded,Analytic correction + Expanded Welch,10000,1.0,0.119,0.01899999999999999,0.0613,0.011299999999999998,0.0123,0.0023
stress_2x2_d8,ultra_sparse,Ultra-skewed and sparse,variant_1,2,2,125,125,0.1,0.6874348312919387,1.0,1814125591,10000,jackknife_normal,Jackknife correction + Normal Wald,10000,1.0,0.1439,0.043899999999999995,0.0832,0.03319999999999999,0.0222,0.0122
stress_2x2_d8,ultra_sparse,Ultra-skewed and sparse,variant_1,2,2,125,125,0.1,0.6874348312919387,1.0,1814125591,10000,jackknife_simple,Jackknife correction + Simple Welch,10000,1.0,0.143,0.04299999999999998,0.0813,0.031299999999999994,0.0215,0.011499999999999998
stress_2x2_d8,ultra_sparse,Ultra-skewed and sparse,variant_1,2,2,125,125,0.1,0.6874348312919387,1.0,1814125591,10000,jackknife_expanded,Jackknife correction + Expanded Welch,10000,1.0,0.1346,0.03459999999999999,0.0735,0.023499999999999993,0.0155,0.0055
stress_2x2_d9,ultra_sparse,Ultra-skewed and sparse,variant_2,2,2,522,2088,0.15,0.578865038456128,4.0,3974158138,10000,analytic_normal,Analytic correction + Normal Wald,10000,1.0,0.1028,0.002799999999999997,0.0519,0.001899999999999999,0.011,0.0009999999999999992
stress_2x2_d9,ultra_sparse,Ultra-skewed and sparse,variant_2,2,2,522,2088,0.15,0.578865038456128,4.0,3974158138,10000,analytic_simple,Analytic correction + Simple Welch,10000,1.0,0.1027,0.002699999999999994,0.0514,0.0013999999999999985,0.0109,0.0008999999999999998
stress_2x2_d9,ultra_sparse,Ultra-skewed and sparse,variant_2,2,2,522,2088,0.15,0.578865038456128,4.0,3974158138,10000,analytic_expanded,Analytic correction + Expanded Welch,10000,1.0,0.1014,0.0013999999999999985,0.0504,0.0003999999999999976,0.0107,0.0006999999999999992
stress_2x2_d9,ultra_sparse,Ultra-skewed and sparse,variant_2,2,2,522,2088,0.15,0.578865038456128,4.0,3974158138,10000,jackknife_normal,Jackknife correction + Normal Wald,10000,1.0,0.1071,0.007099999999999995,0.0551,0.0051,0.0118,0.0017999999999999995
stress_2x2_d9,ultra_sparse,Ultra-skewed and sparse,variant_2,2,2,522,2088,0.15,0.578865038456128,4.0,3974158138,10000,jackknife_simple,Jackknife correction + Simple Welch,10000,1.0,0.1067,0.006699999999999998,0.0545,0.004499999999999997,0.0115,0.0014999999999999996
stress_2x2_d9,ultra_sparse,Ultra-skewed and sparse,variant_2,2,2,522,2088,0.15,0.578865038456128,4.0,3974158138,10000,jackknife_expanded,Jackknife correction + Expanded Welch,10000,1.0,0.1053,0.005299999999999999,0.0534,0.0034000000000000002,0.011,0.0009999999999999992
adversarial_2x2_d10,widespread_sparse,Widespread sparsity,variant_1,2,2,120,120,0.03,0.2113242464913775,1.0,3229974002,10000,analytic_normal,Analytic correction + Normal Wald,8747,0.8747,0.07854121413055905,0.021458785869440958,0.03143935063450326,0.018560649365496742,0.0016005487595747113,0.00839945124042529
adversarial_2x2_d10,widespread_sparse,Widespread sparsity,variant_1,2,2,120,120,0.03,0.2113242464913775,1.0,3229974002,10000,analytic_simple,Analytic correction + Simple Welch,8747,0.8747,0.07796958957356807,0.02203041042643193,0.03052475134331771,0.019475248656682292,0.001028924202583743,0.008971075797416257
adversarial_2x2_d10,widespread_sparse,Widespread sparsity,variant_1,2,2,120,120,0.03,0.2113242464913775,1.0,3229974002,10000,analytic_expanded,Analytic correction + Expanded Welch,8747,0.8747,0.04481536526809192,0.055184634731908086,0.013604664456385047,0.03639533554361496,0.00022864982279638732,0.009771350177203613
adversarial_2x2_d10,widespread_sparse,Widespread sparsity,variant_1,2,2,120,120,0.03,0.2113242464913775,1.0,3229974002,10000,jackknife_normal,Jackknife correction + Normal Wald,8747,0.8747,0.11043786441065508,0.01043786441065507,0.0468732136732594,0.0031267863267405993,0.002972447696353035,0.007027552303646965
