alpha,population_pairs,analytic_expanded_mean_absolute_fpr_error,jackknife_expanded_mean_absolute_fpr_error,jackknife_minus_analytic_error,jackknife_wins,analytic_wins,ties
0.1,192,0.008011307062639571,0.0073312630272604346,-0.0006800440353791369,83,87,22
0.05,192,0.005769373825056264,0.005321337901812898,-0.0004480359232433659,89,76,27
0.01,192,0.0020749442762036923,0.0020773278594952344,2.383583291542172e-06,69,76,47
