scenario_id,shape_index,design_index,rows,columns,n_p,n_q,target_mi,margin_alpha_p,margin_alpha_q,association_p,association_q,generation_attempts,true_mi_p,true_mi_q,true_delta,distribution_l1,population_variance_p,population_variance_q,min_probability_p,min_probability_q,min_joint_expected_p,min_joint_expected_q,independence_expected_below_1_p,independence_expected_below_1_q,independence_expected_below_5_p,independence_expected_below_5_q,is_permutation_anchor,probability_p_json,probability_q_json,replicates,permutations,mean_deterministic_ms,mean_permutation_ms,naive_perm_plugin_fpr_10,naive_perm_plugin_fpr_05,student_perm_plugin_fpr_10,student_perm_plugin_fpr_05,student_perm_analytic_fpr_10,student_perm_analytic_fpr_05,student_perm_jackknife_fpr_10,student_perm_jackknife_fpr_05,wald_plugin_fpr_10,wald_plugin_fpr_05,wald_analytic_fpr_10,wald_analytic_fpr_05,wald_jackknife_fpr_10,wald_jackknife_fpr_05
random_2x2_d0,0,0,2,2,400,400,0.03,50.0,50.0,0.2506186966480493,0.2492876155070392,1,0.030000000000000138,0.029999999999999916,2.220446049250313e-16,0.05529016967073272,0.05821320795934803,0.05819051352220911,0.16638626217677482,0.1759471774962478,66.55450487070993,70.37887099849912,0.0,0.0,0.0,0.0,True,"[[0.27271548309752597, 0.16638626217677482], [0.2106613817112232, 0.3502368730144759]]","[[0.29079965261341945, 0.1759471774962478], [0.20198939900276, 0.33126377088757286]]",30,99,0.15511805346856514,0.23320006439462304,0.03333333333333333,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2x2_d2,0,2,2,2,120,480,0.15,5.0,1.2,0.6034176765386606,1.1622274507854284,2,0.14999999999999147,0.14999999999998714,4.3298697960381105e-15,1.571299871797553,0.25247065506725563,0.359636630280866,0.0910816736666828,0.019651381328841408,10.929800840001935,9.432663037843875,0.0,0.0,0.0,0.25,True,"[[0.0910816736666828, 0.33877409714022055], [0.42776649172168996, 0.1423777374714068]]","[[0.8767316095654594, 0.031007722922778442], [0.019651381328841408, 0.07260928618292081]]",30,99,0.1498206906641523,0.22862496552988887,0.3,0.23333333333333334,0.1,0.06666666666666667,0.1,0.06666666666666667,0.1,0.06666666666666667,0.13333333333333333,0.1,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667
