scenario_id,shape_index,design_index,rows,columns,n_p,n_q,target_mi,margin_alpha_p,margin_alpha_q,association_p,association_q,generation_attempts,true_mi_p,true_mi_q,true_delta,distribution_l1,population_variance_p,population_variance_q,min_probability_p,min_probability_q,min_joint_expected_p,min_joint_expected_q,independence_expected_below_1_p,independence_expected_below_1_q,independence_expected_below_5_p,independence_expected_below_5_q,is_permutation_anchor,probability_p_json,probability_q_json,replicates,valid_rate,mean_zero_fraction_p,mean_zero_fraction_q,mean_expected_below_1_p,mean_expected_below_1_q,mean_expected_below_5_p,mean_expected_below_5_q,mean_standardized_correction_difference,deterministic_microseconds_per_pair,wald_plugin_fpr_10,wald_plugin_fpr_10_low,wald_plugin_fpr_10_high,wald_plugin_fpr_05,wald_plugin_fpr_05_low,wald_plugin_fpr_05_high,wald_plugin_bias,wald_plugin_rmse,wald_plugin_coverage_95,wald_analytic_fpr_10,wald_analytic_fpr_10_low,wald_analytic_fpr_10_high,wald_analytic_fpr_05,wald_analytic_fpr_05_low,wald_analytic_fpr_05_high,wald_analytic_bias,wald_analytic_rmse,wald_analytic_coverage_95,wald_jackknife_fpr_10,wald_jackknife_fpr_10_low,wald_jackknife_fpr_10_high,wald_jackknife_fpr_05,wald_jackknife_fpr_05_low,wald_jackknife_fpr_05_high,wald_jackknife_bias,wald_jackknife_rmse,wald_jackknife_coverage_95
random_2x2_d0,0,0,2,2,400,400,0.03,50.0,50.0,0.2506186966480493,0.2492876155070392,1,0.030000000000000138,0.029999999999999916,2.220446049250313e-16,0.05529016967073272,0.05821320795934803,0.05819051352220911,0.16638626217677482,0.1759471774962478,66.55450487070993,70.37887099849912,0.0,0.0,0.0,0.0,True,"[[0.27271548309752597, 0.16638626217677482], [0.2106613817112232, 0.3502368730144759]]","[[0.29079965261341945, 0.1759471774962478], [0.20198939900276, 0.33126377088757286]]",200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.474276203381939e-05,3.053335240110755,0.095,0.06166310271738653,0.1436016116481994,0.035,0.0170555420085672,0.07047061152229074,0.0017399305077623606,0.01745381206606732,0.965,0.095,0.06166310271738653,0.1436016116481994,0.035,0.0170555420085672,0.07047061152229074,0.0017399305077623606,0.01745381206606732,0.965,0.095,0.06166310271738653,0.1436016116481994,0.035,0.0170555420085672,0.07047061152229074,0.0017396888926595633,0.017453113108331687,0.965
random_2x2_d1,0,1,2,2,200,400,0.07,20.0,5.0,0.3924492188246169,0.5502406598796055,1,0.07000000000000006,0.06999999999999967,3.885780586188048e-16,1.0966634964773627,0.13063401602674596,0.1494327039298704,0.1478106938930265,0.05808567498258847,29.562138778605302,23.23426999303539,0.0,0.0,0.0,0.0,False,"[[0.1478106938930265, 0.4064663523721402], [0.28349872126841363, 0.1622242324664197]]","[[0.09827725498065593, 0.05808567498258847], [0.13308108933165463, 0.7105559807051011]]",200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007835488258841162,1.7581245629116893,0.08,0.049840585889759974,0.12598948826714396,0.04,0.020405632066152302,0.07693206820093294,0.0026452132538473546,0.03227922182065005,0.96,0.085,0.053745750177475606,0.13189587071565567,0.05,0.02738264560076392,0.08957814813877599,0.0013952132538473533,0.03220089483558045,0.95,0.085,0.053745750177475606,0.13189587071565567,0.05,0.02738264560076392,0.08957814813877599,0.0013698391410145328,0.032194879218469176,0.95
random_2x2_d2,0,2,2,2,120,480,0.15,5.0,1.2,0.6034176765386606,1.1622274507854284,2,0.14999999999999147,0.14999999999998714,4.3298697960381105e-15,1.571299871797553,0.25247065506725563,0.359636630280866,0.0910816736666828,0.019651381328841408,10.929800840001935,9.432663037843875,0.0,0.0,0.0,0.25,True,"[[0.0910816736666828, 0.33877409714022055], [0.42776649172168996, 0.1423777374714068]]","[[0.8767316095654594, 0.031007722922778442], [0.019651381328841408, 0.07260928618292081]]",200,1.0,0.0,0.0,0.0,0.0,0.0,0.1625,0.0027983455405925757,1.9872898701578379,0.115,0.07786373232561955,0.16664716898487572,0.08,0.049840585889759974,0.12598948826714396,0.0033296194497611595,0.057628225296828976,0.92,0.125,0.08611974475712647,0.1780142500258235,0.085,0.053745750177475606,0.13189587071565567,0.00020461944976114975,0.05753232008446271,0.915,0.125,0.08611974475712647,0.1780142500258235,0.085,0.053745750177475606,0.13189587071565567,5.351231761118402e-05,0.057482291179423696,0.915
random_2x2_d3,0,3,2,2,800,800,0.03,1.0,0.5,0.3258778807073018,0.5927137774818058,1,0.030000000000000138,0.029999999999994226,5.9119376061289586e-15,1.638797621511276,0.05755461346651035,0.0826922428051992,0.055803465781333765,0.027809208266091408,44.64277262506701,22.247366612873126,0.0,0.0,0.0,0.25,False,"[[0.5003206065870733, 0.31465026973307536], [0.055803465781333765, 0.1292256578985176]]","[[0.057350895038894845, 0.027809208266091408], [0.8752022765369718, 0.039637620158041946]]",200,1.0,0.0,0.0,0.0,0.0,0.0,0.1575,0.0006651850687962119,1.488959533162415,0.095,0.06166310271738653,0.1436016116481994,0.045,0.023852543001492987,0.08329670400181959,-0.0007702482001483401,0.012939754790945262,0.955,0.095,0.06166310271738653,0.1436016116481994,0.045,0.023852543001492987,0.08329670400181959,-0.0007702482001483401,0.012939754790945262,0.955,0.095,0.06166310271738653,0.1436016116481994,0.045,0.023852543001492987,0.08329670400181959,-0.0007616267509386321,0.012939933561612485,0.955
random_2x2_d4,0,4,2,2,120,240,0.07,10.0,0.8,0.4102416736861064,0.4248877258689105,2,0.0700000000000005,0.06999999999997397,2.653433028854124e-14,0.677975249245981,0.12646637538484873,0.12683494355663738,0.0860143961024708,0.07641544057117552,10.321727532296496,18.339705737082127,0.0,0.0,0.0,0.0,False,"[[0.35456139327241537, 0.0860143961024708], [0.24843183973630883, 0.310992370888805]]","[[0.07641544057117552, 0.4250020207254612], [0.24725233128540497, 0.2513302074179583]]",200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003773170597827312,1.5649996930733323,0.14,0.09866982633455634,0.1948988086570756,0.085,0.053745750177475606,0.13189587071565567,0.004741975433241597,0.04337052818808015,0.915,0.145,0.102893506420044,0.2004866753078152,0.085,0.053745750177475606,0.13189587071565567,0.0026586420999082675,0.043192415562445595,0.915,0.14,0.09866982633455634,0.1948988086570756,0.085,0.053745750177475606,0.13189587071565567,0.0025036914226569396,0.04312963554393723,0.915
random_2x2_d5,0,5,2,2,120,480,0.15,2.0,20.0,0.6701449709713284,0.650901115069317,1,0.15000000000007163,0.15000000000003755,3.4083846855992306e-14,0.9522695532684252,0.230907870389228,0.23649161861282175,0.04111301307368648,0.04854954417723927,4.933561568842377,23.303781205074852,0.0,0.0,0.0,0.0,False,"[[0.04111301307368648, 0.37142992669138286], [0.3628371397655114, 0.22461992046941928]]","[[0.38101990555269033, 0.20958274564544227], [0.04854954417723927, 0.360847804624628]]",200,1.0,0.00125,0.0,0.0,0.0,0.0,0.0,0.01072886211359498,1.7558352556079626,0.135,0.09446570454787909,0.18929138370752555,0.075,0.045974917184382014,0.12004361023629459,0.004961913297382799,0.052612417768991934,0.925,0.13,0.0902820227966932,0.18366351872248407,0.085,0.053745750177475606,0.13189587071565567,0.0018369132973827884,0.05241011515337755,0.915,0.125,0.08611974475712647,0.1780142500258235,0.085,0.053745750177475606,0.13189587071565567,0.0013490682141227462,0.05215026813784934,0.915
random_2x5_d0,1,0,2,5,1000,1000,0.03,50.0,50.0,0.2681282239423453,0.2584474028358949,1,0.03000000000000025,0.030000000000000027,2.220446049250313e-16,0.33635805910799943,0.05681067280592694,0.05543257639398968,0.040162642403579356,0.04644955972303864,40.162642403579355,46.44955972303864,0.0,0.0,0.0,0.0,False,"[[0.076793765255158, 0.11544674400525592, 0.1317646908456489, 0.11580150768387754, 0.09044435682315621], [0.09883103197684741, 0.10639205690699739, 0.08322205901913934, 0.040162642403579356, 0.14114114508033987]]","[[0.08447391918421186, 0.04644955972303864, 0.08510840270284938, 0.1269253035697164, 0.08363683343487022], [0.07672524687897192, 0.16453760987816227, 0.1102640685980025, 0.10435015959265834, 0.11752889643751843]]",200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.322623877509028e-05,1.7079198732972145,0.085,0.053745750177475606,0.13189587071565567,0.045,0.023852543001492987,0.08329670400181959,0.000600775633613384,0.010558398022616699,0.955,0.085,0.053745750177475606,0.13189587071565567,0.045,0.023852543001492987,0.08329670400181959,0.000600775633613384,0.010558398022616699,0.955,0.085,0.053745750177475606,0.13189587071565567,0.045,0.023852543001492987,0.08329670400181959,0.0006005092725153016,0.01055787006501752,0.955
random_2x5_d1,1,1,2,5,500,1000,0.07,20.0,5.0,0.43523826023831086,0.555239503305204,1,0.06999999999998985,0.06999999999998363,6.217248937900877e-15,0.7012100313026225,0.12706946945974942,0.12230214920659685,0.014799835610635172,0.004001738797317231,7.399917805317586,4.0017387973172305,0.0,0.0,0.0,0.0,True,"[[0.09687360237151889, 0.10972943773027419, 0.14822261500010606, 0.08446153098724522, 0.17271319684004308], [0.014799835610635172, 0.11599057754986189, 0.04783641529320978, 0.14588565452747532, 0.0634871340896304]]","[[0.03144906271137988, 0.004001738797317231, 0.0836420078108851, 0.035824083863829195, 0.12802304224138478], [0.08752262310942445, 0.09444600940294196, 0.2285793539257609, 0.20504916327444672, 0.10146291486262987]]",200,1.0,0.0,0.001,0.0,0.0,0.0,0.0,0.003972679925929071,1.6627047443762422,0.125,0.08611974475712647,0.1780142500258235,0.07,0.04215217182834281,0.11405480885610646,0.002620604542764653,0.02040047137291499,0.93,0.125,0.08611974475712647,0.1780142500258235,0.06,0.034652194254331865,0.10193169295766272,0.0006206045427646511,0.020240968703746996,0.94,0.125,0.08611974475712647,0.1780142500258235,0.06,0.034652194254331865,0.10193169295766272,0.000596781208563506,0.020202988017223106,0.94
