method,scenarios,mean_absolute_fpr_error_05,median_absolute_fpr_error_05,within_035_065,minimum_fpr_05,maximum_fpr_05,mean_coverage_95,within_coverage_935_965,mean_absolute_bias
wald_plugin,6,0.05483333333333334,0.0418,0.16666666666666666,0.0625,0.2026,0.8951666666666668,0.16666666666666666,0.019190675398165883
wald_analytic,6,0.011899999999999999,0.010499999999999999,0.8333333333333334,0.0584,0.0689,0.9381,0.8333333333333334,0.0007690098414854732
wald_jackknife,6,0.019933333333333334,0.018250000000000002,0.16666666666666666,0.0635,0.0813,0.9300666666666665,0.16666666666666666,0.0007323662575724347
