scenario_seed,scenario_id,scenario_key,subset,replicate,profile_seconds,wald_seconds,permutation_seconds,permutations,student_perm_analytic_p
2026072501,random_2x2_d0,2026072501:random_2x2_d0,easy,0,0.029958250001072884,0.0003933749394491315,0.0023334170691668987,999,0.965
2026072501,random_2x2_d0,2026072501:random_2x2_d0,easy,1,0.029590458958409727,0.00018429197371006012,0.002435083966702223,999,0.151
2026072501,random_2x2_d0,2026072501:random_2x2_d0,easy,2,0.03535687492694706,0.00033316598273813725,0.0024234160082414746,999,0.104
2026072501,random_2x2_d0,2026072501:random_2x2_d0,easy,3,0.03111170802731067,0.00015883403830230236,0.002408374915830791,999,0.308
2026072501,random_2x2_d0,2026072501:random_2x2_d0,easy,4,0.028041125042364,0.00015487498603761196,0.0024207079550251365,999,0.342
2026072501,random_2x2_d0,2026072501:random_2x2_d0,easy,5,0.021613833028823137,0.00015504099428653717,0.002400958095677197,999,0.964
2026072501,random_2x2_d0,2026072501:random_2x2_d0,easy,6,0.027805750025436282,0.00015141605399549007,0.002567790914326906,999,0.082
2026072501,random_2x2_d0,2026072501:random_2x2_d0,easy,7,0.02754437504336238,0.0001823750790208578,0.0024318749783560634,999,0.337
2026072501,random_2x2_d0,2026072501:random_2x2_d0,easy,8,0.024846124928444624,0.0001527499407529831,0.0025420410092920065,999,0.981
2026072501,random_2x2_d0,2026072501:random_2x2_d0,easy,9,0.025483708013780415,0.0001668339828029275,0.002414249931462109,999,0.483
2026072501,random_3x3_d0,2026072501:random_3x3_d0,easy,0,0.06312554096803069,0.00032116693910211325,0.00482687505427748,999,0.674
2026072501,random_3x3_d0,2026072501:random_3x3_d0,easy,1,0.07417787506710738,0.0002504159929230809,0.004405542043969035,999,0.383
2026072501,random_3x3_d0,2026072501:random_3x3_d0,easy,2,0.0671281669056043,0.00017312506679445505,0.00397874996997416,999,0.482
2026072501,random_3x3_d0,2026072501:random_3x3_d0,easy,3,0.06628637493122369,0.000150916981510818,0.00424512499012053,999,0.924
2026072501,random_3x3_d0,2026072501:random_3x3_d0,easy,4,0.05965787498280406,0.00017229095101356506,0.0041955841006711125,999,0.573
2026072501,random_3x3_d0,2026072501:random_3x3_d0,easy,5,0.06279041699599475,0.0002180419396609068,0.003913708031177521,999,0.274
2026072501,random_3x3_d0,2026072501:random_3x3_d0,easy,6,0.06090012495405972,0.00015537498984485865,0.004275082959793508,999,0.329
2026072501,random_3x3_d0,2026072501:random_3x3_d0,easy,7,0.05722924997098744,0.00016774993855506182,0.003799416939727962,999,0.375
2026072501,random_3x3_d0,2026072501:random_3x3_d0,easy,8,0.05925670906435698,0.00016966601833701134,0.0037663329858332872,999,0.85
2026072501,random_3x3_d0,2026072501:random_3x3_d0,easy,9,0.06273941695690155,0.00014095893129706383,0.004405582905746996,999,0.621
2026072501,random_3x3_d4,2026072501:random_3x3_d4,hard,0,0.31369741610251367,0.00030941690783947706,0.0038345829816535115,999,0.239
2026072501,random_3x3_d4,2026072501:random_3x3_d4,hard,1,0.08120670798234642,0.00016425002831965685,0.0033294999739155173,999,0.286
2026072501,random_3x3_d4,2026072501:random_3x3_d4,hard,2,0.06713116599712521,0.00014275009743869305,0.0032447080593556166,999,0.654
2026072501,random_3x3_d4,2026072501:random_3x3_d4,hard,3,0.06611512508243322,0.0001378749730065465,0.003393709077499807,999,0.805
2026072501,random_3x3_d4,2026072501:random_3x3_d4,hard,4,0.08668554201722145,0.00021879200357943773,0.0032401669304817915,999,0.411
2026072501,random_3x3_d4,2026072501:random_3x3_d4,hard,5,0.07943499996326864,0.0001457909820601344,0.0032683750614523888,999,0.54
2026072501,random_3x3_d4,2026072501:random_3x3_d4,hard,6,0.08943016594275832,0.00013800000306218863,0.0034034589771181345,999,0.119
2026072501,random_3x3_d4,2026072501:random_3x3_d4,hard,7,0.06642087490763515,0.0001645419979467988,0.0032568330643698573,999,0.554
2026072501,random_3x3_d4,2026072501:random_3x3_d4,hard,8,0.09081387496553361,0.0001412919955328107,0.0032720830058678985,999,0.567
2026072501,random_3x3_d4,2026072501:random_3x3_d4,hard,9,0.08213274995796382,0.0003139590844511986,0.0033809159649536014,999,0.295
2026072501,random_2x5_d2,2026072501:random_2x5_d2,hard,0,0.11283729202114046,0.0003320830874145031,0.0044929590076208115,999,0.497
2026072501,random_2x5_d2,2026072501:random_2x5_d2,hard,1,0.10968066705390811,0.00020708399824798107,0.004244250012561679,999,0.598
2026072501,random_2x5_d2,2026072501:random_2x5_d2,hard,2,0.1022797079058364,0.00021383294370025396,0.003320957999676466,999,0.51
2026072501,random_2x5_d2,2026072501:random_2x5_d2,hard,3,0.0979896659264341,0.00013450009282678366,0.003562666941434145,999,0.309
2026072501,random_2x5_d2,2026072501:random_2x5_d2,hard,4,0.09795720898546278,0.0001590420724824071,0.0033637500600889325,999,0.294
2026072501,random_2x5_d2,2026072501:random_2x5_d2,hard,5,0.09467529191169888,0.00013545795809477568,0.0037693330086767673,999,0.604
2026072501,random_2x5_d2,2026072501:random_2x5_d2,hard,6,0.09979720797855407,0.0001627081073820591,0.0033337499480694532,999,0.377
2026072501,random_2x5_d2,2026072501:random_2x5_d2,hard,7,0.09787795797456056,0.00013504200614988804,0.0035334170097485185,999,0.295
2026072501,random_2x5_d2,2026072501:random_2x5_d2,hard,8,0.09844754100777209,0.00016187503933906555,0.003369875019416213,999,0.167
2026072501,random_2x5_d2,2026072501:random_2x5_d2,hard,9,0.09298725007101893,0.00014062505215406418,0.003532457980327308,999,0.326
2026072501,random_4x6_d0,2026072501:random_4x6_d0,easy,0,0.19283333397470415,0.00027062499430030584,0.007552416063845158,999,0.616
2026072501,random_4x6_d0,2026072501:random_4x6_d0,easy,1,0.18447683297563344,0.00023470795713365078,0.006911457981914282,999,0.103
2026072501,random_4x6_d0,2026072501:random_4x6_d0,easy,2,0.18723187502473593,0.00019920803606510162,0.0070986669743433595,999,0.133
2026072501,random_4x6_d0,2026072501:random_4x6_d0,easy,3,0.18393275002017617,0.000200208043679595,0.0070405000587925315,999,0.301
2026072501,random_4x6_d0,2026072501:random_4x6_d0,easy,4,0.18579458398744464,0.00019837496802210808,0.006107957917265594,999,0.116
2026072501,random_4x6_d0,2026072501:random_4x6_d0,easy,5,0.1808879169402644,0.0001650830963626504,0.007061499985866249,999,0.487
2026072501,random_4x6_d0,2026072501:random_4x6_d0,easy,6,0.24899941706098616,0.00019829196389764547,0.006377749959938228,999,0.771
2026072501,random_4x6_d0,2026072501:random_4x6_d0,easy,7,0.2876619999296963,0.0001439159968867898,0.006986082997173071,999,0.519
2026072501,random_4x6_d0,2026072501:random_4x6_d0,easy,8,0.1742223750334233,0.00019416597206145525,0.005986582953482866,999,0.022
2026072501,random_4x6_d0,2026072501:random_4x6_d0,easy,9,0.41165158397052437,0.00021199998445808887,0.006853458005934954,999,0.745
2026072601,random_2x2_d0,2026072601:random_2x2_d0,easy,0,0.02206533297430724,0.0002639159793034196,0.0023817919427528977,999,0.358
2026072601,random_2x2_d0,2026072601:random_2x2_d0,easy,1,0.021262957947328687,0.00016300007700920105,0.0022247909801080823,999,0.834
2026072601,random_2x2_d0,2026072601:random_2x2_d0,easy,2,0.021925749955698848,0.00015012500807642937,0.0019460419425740838,999,0.068
2026072601,random_2x2_d0,2026072601:random_2x2_d0,easy,3,0.02301391598302871,0.00013941596262156963,0.0019377919379621744,999,0.001
2026072601,random_2x2_d0,2026072601:random_2x2_d0,easy,4,0.022446540999226272,0.00012933299876749516,0.0021947079803794622,999,0.654
2026072601,random_2x2_d0,2026072601:random_2x2_d0,easy,5,0.021001792047172785,0.00012266705743968487,0.0022154999896883965,999,0.001
2026072601,random_2x2_d0,2026072601:random_2x2_d0,easy,6,0.021396624972112477,0.00012454099487513304,0.0022063329815864563,999,0.067
2026072601,random_2x2_d0,2026072601:random_2x2_d0,easy,7,0.02240645792335272,0.0001332079991698265,0.002221417031250894,999,0.004
2026072601,random_2x2_d0,2026072601:random_2x2_d0,easy,8,0.026310916990041733,0.00016050005797296762,0.0031158330384641886,999,1.0
2026072601,random_2x2_d0,2026072601:random_2x2_d0,easy,9,0.027218167087994516,0.0001974579645320773,0.0024948749924078584,999,0.626
2026072501,random_4x6_d5,2026072501:random_4x6_d5,hard,0,0.4515017500380054,0.0002702920464798808,0.007070749998092651,999,0.532
2026072501,random_4x6_d5,2026072501:random_4x6_d5,hard,1,0.16241008299402893,0.00017416698392480612,0.006896749953739345,999,0.73
2026072501,random_4x6_d5,2026072501:random_4x6_d5,hard,2,0.7098835828946903,0.00014895806089043617,0.006898500025272369,999,0.826
2026072501,random_4x6_d5,2026072501:random_4x6_d5,hard,3,0.1678189169615507,0.00015079102013260126,0.00793383305426687,999,0.69
2026072501,random_4x6_d5,2026072501:random_4x6_d5,hard,4,0.42995604197494686,0.0002013340126723051,0.006808375008404255,999,0.449
2026072501,random_4x6_d5,2026072501:random_4x6_d5,hard,5,0.2483009579591453,0.00014395802281796932,0.00688274996355176,999,0.544
2026072501,random_4x6_d5,2026072501:random_4x6_d5,hard,6,0.4382199998944998,0.0001501670340076089,0.006788125028833747,999,0.658
2026072501,random_4x6_d5,2026072501:random_4x6_d5,hard,7,0.13978354108985513,0.00014895806089043617,0.0060882080579176545,999,0.938
2026072501,random_4x6_d5,2026072501:random_4x6_d5,hard,8,0.28230820898897946,0.00012883299496024847,0.00691379199270159,999,0.598
2026072501,random_4x6_d5,2026072501:random_4x6_d5,hard,9,0.15399445802904665,0.00017883407417684793,0.006899666972458363,999,0.098
2026072601,random_2x5_d2,2026072601:random_2x5_d2,hard,0,0.08953687502071261,0.00025291694328188896,0.003142625093460083,999,0.514
2026072601,random_2x5_d2,2026072601:random_2x5_d2,hard,1,0.053719458053819835,0.00012987502850592136,0.0030898749828338623,999,0.461
2026072601,random_2x5_d2,2026072601:random_2x5_d2,hard,2,0.05339224997442216,0.0001177910016849637,0.003114416031166911,999,0.973
2026072601,random_2x5_d2,2026072601:random_2x5_d2,hard,3,0.060750833014026284,0.00012745894491672516,0.0031128330156207085,999,0.917
2026072601,random_2x5_d2,2026072601:random_2x5_d2,hard,4,0.053141667041927576,0.00011695793364197016,0.003449999960139394,999,0.543
2026072601,random_2x5_d2,2026072601:random_2x5_d2,hard,5,0.055771333049051464,0.00013541709631681442,0.00311683292966336,999,0.687
