scenario_id,shape_index,design_index,rows,columns,n_p,n_q,target_mi,margin_alpha_p,margin_alpha_q,association_p,association_q,generation_attempts,true_mi_p,true_mi_q,true_delta,distribution_l1,population_variance_p,population_variance_q,pooled_mixture_mi,pooled_mixture_variance,min_probability_p,min_probability_q,min_joint_expected_p,min_joint_expected_q,independence_expected_below_1_p,independence_expected_below_1_q,independence_expected_below_5_p,independence_expected_below_5_q,is_permutation_anchor,scenario_seed,scenario_key,subset,probability_p_json,probability_q_json,replicates,trustworthy_rate,hit_logit_bound_rate,mean_constraint_residual,maximum_constraint_residual,mean_relative_kkt_residual,maximum_relative_kkt_residual,mean_zero_fraction_p,mean_zero_fraction_q,mean_profile_seconds,median_profile_seconds,mean_wald_seconds,wald_analytic_valid_rate,wald_analytic_fpr_10,wald_analytic_fpr_10_low,wald_analytic_fpr_10_high,wald_analytic_fpr_05,wald_analytic_fpr_05_low,wald_analytic_fpr_05_high,profile_lr_valid_rate,profile_lr_fpr_10,profile_lr_fpr_10_low,profile_lr_fpr_10_high,profile_lr_fpr_05,profile_lr_fpr_05_low,profile_lr_fpr_05_high,profile_pearson_valid_rate,profile_pearson_fpr_10,profile_pearson_fpr_10_low,profile_pearson_fpr_10_high,profile_pearson_fpr_05,profile_pearson_fpr_05_low,profile_pearson_fpr_05_high,profile_cr_2_3_valid_rate,profile_cr_2_3_fpr_10,profile_cr_2_3_fpr_10_low,profile_cr_2_3_fpr_10_high,profile_cr_2_3_fpr_05,profile_cr_2_3_fpr_05_low,profile_cr_2_3_fpr_05_high
random_2x2_d0,0,0,2,2,400,400,0.03,50.0,50.0,0.2506186966480493,0.2492876155070392,1,0.030000000000000138,0.029999999999999916,2.220446049250313e-16,0.05529016967073272,0.05821320795934803,0.05819051352220911,0.030040402119395626,0.05827548412013007,0.16638626217677482,0.1759471774962478,66.55450487070993,70.37887099849912,0.0,0.0,0.0,0.0,True,2026072501,2026072501:random_2x2_d0,easy,"[[0.27271548309752597, 0.16638626217677482], [0.2106613817112232, 0.3502368730144759]]","[[0.29079965261341945, 0.1759471774962478], [0.20198939900276, 0.33126377088757286]]",1000,1.0,0.0,2.0918233811784147e-13,9.144796031534952e-12,5.43192825262968e-07,1.9581790012213052e-05,0.0,0.0,0.02415885791310575,0.02356810448691249,0.00015192814567126334,1.0,0.093,0.07652372564174531,0.11259125576549656,0.039,0.02865896090418048,0.05286931041950135,1.0,0.104,0.08657102809826808,0.12445976462229158,0.044,0.0329382145884185,0.058551789150407776,1.0,0.102,0.0847391351848472,0.12230696456965469,0.044,0.0329382145884185,0.058551789150407776,1.0,0.102,0.0847391351848472,0.12230696456965469,0.044,0.0329382145884185,0.058551789150407776
random_2x5_d2,1,2,2,5,250,1000,0.15,5.0,1.2,0.6564843939567813,1.4455413410381437,2,0.1500000000000008,0.15000000000000013,6.661338147750939e-16,0.9406519815780132,0.2325562776112031,0.20277066443015074,0.12252524559496214,0.19436468929620498,0.009859232762815135,6.000478343750735e-05,2.4648081907037835,0.06000478343750735,0.0,0.0,0.0,0.0,False,2026072501,2026072501:random_2x5_d2,hard,"[[0.1983023051936702, 0.12707641925621202, 0.009859232762815135, 0.03422626912307, 0.0175160400370043], [0.07078999771974115, 0.14678846881638402, 0.15809624283399745, 0.14744484867039015, 0.08990017558671548]]","[[0.05117121238273165, 6.000478343750735e-05, 0.1944003788193426, 0.0075662730640226085, 0.018177836273213295], [0.006591889764128289, 0.041468089325750745, 0.2803895048778972, 0.24228458624690963, 0.15789022446256645]]",1000,1.0,0.646,9.764433706038744e-14,1.9606538614880265e-12,7.421176915563592e-08,7.2411299593122536e-06,0.0101,0.09490000000000003,0.09510715799499303,0.09416579193202779,0.00016460421145893632,1.0,0.1,0.08290944359309571,0.1201519631953484,0.054,0.04162131372306273,0.06979215484605245,1.0,0.119,0.1003751843670106,0.1405408055989824,0.057,0.04425344035871594,0.07313706765948591,1.0,0.111,0.09299921045824965,0.13197800764351225,0.05,0.03813026239274881,0.06531382024425081,1.0,0.114,0.09576165709721693,0.13519260045363163,0.051,0.03900094277526684,0.06643548634476167
random_3x3_d0,2,0,3,3,900,900,0.03,50.0,50.0,0.26736574383467426,0.26295917578739386,1,0.03000000000000047,0.029999999999998916,1.5543122344752192e-15,0.37329756903112327,0.05679781873085036,0.055456528207634775,0.00920753423128895,0.018278167470822174,0.052258822653110326,0.05888772736988728,47.03294038779929,52.99895463289855,0.0,0.0,0.0,0.0,False,2026072501,2026072501:random_3x3_d0,easy,"[[0.14490237897242866, 0.12160348854068954, 0.163063236278104], [0.13945787925571118, 0.08218410323604122, 0.07763751731335765], [0.052258822653110326, 0.0754882907000164, 0.14340428305054115]]","[[0.14715177379037567, 0.1040239550368334, 0.05888772736988728], [0.081880196263428, 0.11052083540569756, 0.14368958397329526], [0.11700445810505086, 0.10075324611609648, 0.1360882239393355]]",1000,1.0,0.0,2.2543278355158236e-13,9.85389547736304e-12,5.838224481402972e-07,1.4130101756895663e-05,0.0,0.0,0.0603211529632099,0.05812200048239902,0.00016432870330754668,1.0,0.081,0.0656496215412003,0.0995572020696949,0.035,0.025272263017112943,0.04828662237445333,1.0,0.081,0.0656496215412003,0.0995572020696949,0.037,0.026961180875554734,0.05058239748206931,1.0,0.081,0.0656496215412003,0.0995572020696949,0.037,0.026961180875554734,0.05058239748206931,1.0,0.081,0.0656496215412003,0.0995572020696949,0.037,0.026961180875554734,0.05058239748206931
random_3x3_d4,2,4,3,3,180,360,0.07,10.0,0.8,0.42441702638706613,0.9095269245073277,1,0.06999999999997542,0.06999999999999984,-2.4424906541753444e-14,1.112838632853584,0.1273793907094799,0.12257096663840959,0.05545934486132009,0.09034009559391228,0.016182876611374963,5.35669774057582e-06,2.9129177900474934,0.0019284111866072953,0.0,0.3333333333333333,0.0,0.3333333333333333,True,2026072501,2026072501:random_3x3_d4,hard,"[[0.14074388190282594, 0.03103202613161152, 0.016182876611374963], [0.11350907383569679, 0.15820870604065868, 0.14734377807789226], [0.19702577331388396, 0.12648069583209484, 0.06947318825396108]]","[[0.1853892295649204, 0.4903457841043284, 0.0022278898711623855], [0.16596928462767754, 0.09481118008668997, 0.0013447114961550666], [0.002569862217630599, 0.05733670133369513, 5.35669774057582e-06]]",1000,1.0,0.774,2.069807658600098e-13,9.89053283717567e-12,1.9387726454463828e-07,7.46554517599929e-05,0.007,0.276,0.08695009366946761,0.08007287490181625,0.00016529695119243116,1.0,0.105,0.08748778261441684,0.12553535658917173,0.051,0.03900094277526684,0.06643548634476167,1.0,0.113,0.09484035831643464,0.13412155275138501,0.055,0.04249742737476844,0.07090838767737562,1.0,0.111,0.09299921045824965,0.13197800764351225,0.053,0.04074650524859452,0.06867461683749176,1.0,0.112,0.09391954090888108,0.1330500236759097,0.053,0.04074650524859452,0.06867461683749176
random_4x6_d0,4,0,4,6,2400,2400,0.03,50.0,50.0,0.2587136535700337,0.2509245250561982,1,0.030000000000000027,0.030000000000000027,0.0,0.354075135003737,0.059253020356674714,0.057857412801212336,0.010741279377849411,0.021987040453931225,0.013957246966966297,0.023719290798161763,33.49739272071911,56.92629791558823,0.0,0.0,0.0,0.0,False,2026072501,2026072501:random_4x6_d0,easy,"[[0.051780567340611754, 0.013957246966966297, 0.036343437939188344, 0.047240872452456124, 0.02695964700967222, 0.034673887239964896], [0.047190855274418256, 0.030481139134993895, 0.06248012353387806, 0.03444708841471549, 0.06983631877037055, 0.04947372609211936], [0.054625280524205594, 0.02810701128954034, 0.04822131532841216, 0.024276194001916374, 0.04124902316957008, 0.027915410967898423], [0.037581142732208354, 0.05583054871833031, 0.05379369111247774, 0.04908580198271686, 0.03724819446432653, 0.03720147553904207]]","[[0.055432838067994275, 0.05551267250081198, 0.03329321934384846, 0.02870787950352778, 0.035130126564284665, 0.025250573673461483], [0.042656862310538425, 0.03592811366538467, 0.03123287084405778, 0.047793864798874194, 0.058294584636695304, 0.03444996191422289], [0.023719290798161763, 0.05753518404613157, 0.04266725700894143, 0.034701972367228086, 0.027873693695535898, 0.04950648766032016], [0.05747366012361696, 0.03880847679532055, 0.05730290766136364, 0.032258952999450335, 0.04318603147272248, 0.05128251754750532]]",1000,1.0,0.0,4.318525537172491e-13,9.975353876257032e-12,1.8266185251155192e-06,9.394284477087442e-05,0.0,0.0,0.2030570269091986,0.18289891653694212,0.00017133994062896817,1.0,0.086,0.07016852477576038,0.10500003125027926,0.038,0.027809004509302633,0.05172692033135031,1.0,0.088,0.07198099794232085,0.10717225104977657,0.038,0.027809004509302633,0.05172692033135031,1.0,0.088,0.07198099794232085,0.10717225104977657,0.038,0.027809004509302633,0.05172692033135031,1.0,0.088,0.07198099794232085,0.10717225104977657,0.038,0.027809004509302633,0.05172692033135031
random_4x6_d5,4,5,4,6,240,960,0.15,2.0,20.0,0.656163048003235,0.6263072124245942,1,0.15000000000000013,0.1499999999999999,2.220446049250313e-16,0.8741385262691701,0.23713124633113292,0.2416467574452628,0.13002930005421676,0.216417573752066,0.0003343937048834584,0.006191487038178262,0.08025448917203001,5.943827556651131,0.125,0.0,0.4166666666666667,0.0,True,2026072501,2026072501:random_4x6_d5,hard,"[[0.0003343937048834584, 0.01804013269732058, 0.006455878897554548, 0.012084504579398306, 0.013925780694193618, 0.011347575776005633], [0.006174567119882772, 0.0823444998362348, 0.017593267798924873, 0.01062355108734521, 0.09409304297343563, 0.006954467686426748], [0.011359714472572972, 0.0641335699691991, 0.13148670651330258, 0.08120906772433463, 0.10013328739055796, 0.1776044447841938], [0.0005552395111014849, 0.08224044174524907, 0.005040288247369767, 0.007279807425953587, 0.026169402315317572, 0.032816367049241305]]","[[0.06715868024563429, 0.05047546409456619, 0.049160347182835955, 0.01742157161156392, 0.03258951638845231, 0.01949623145957857], [0.0794592151755762, 0.02939579513726761, 0.04473216109916623, 0.017614771964707572, 0.04854592168073063, 0.029365074333957856], [0.006191487038178262, 0.02168837331479185, 0.024189480992233073, 0.06304761014218777, 0.07220658603153284, 0.06034279717200341], [0.011438425827726036, 0.06405901890043601, 0.03834531217334928, 0.09622194680383132, 0.02487691270834678, 0.03197729852134619]]",1000,1.0,0.096,1.3610845783773583e-13,3.3508751329236475e-12,5.9075684136335847e-08,1.8553139623898832e-06,0.135,0.00016666666666666666,0.21817672631388996,0.1692962704692036,0.00016732416534796356,1.0,0.115,0.09668343178743777,0.1362631722464397,0.069,0.05488394558591126,0.08641472022863728,1.0,0.194,0.1706814295673276,0.21966054662583215,0.103,0.08565481000508716,0.1233836362324436,1.0,0.173,0.15081923445295148,0.19768346559660155,0.094,0.07743417357376373,0.11367315431650704,1.0,0.175,0.1527057476303958,0.19978164538521503,0.095,0.07834523457904741,0.11475443979425223
random_5x5_d0,5,0,5,5,2500,2500,0.03,50.0,50.0,0.25630288184668404,0.25404378751631546,1,0.030000000000005134,0.02999999999999936,5.773159728050814e-15,0.4013796039684562,0.05675007914452504,0.05875419435396489,0.0097944218055519,0.019046197596819272,0.01965783680253608,0.014214744553572144,49.144592006340204,35.53686138393036,0.0,0.0,0.0,0.0,False,2026072501,2026072501:random_5x5_d0,easy,"[[0.03919524102621882, 0.04458437215569008, 0.06156031840259979, 0.0629440709550689, 0.03971055602683132], [0.04549955227219521, 0.02321375253751804, 0.05548821730968318, 0.04574394043972538, 0.03775455344661204], [0.03605752003322569, 0.027240856455364382, 0.02636758740045083, 0.028333934131943263, 0.040226478878714604], [0.01965783680253608, 0.03891459378836261, 0.049967028200993656, 0.03104846734776941, 0.06676881180743753], [0.045840630887523756, 0.039638694659803256, 0.03029802409412545, 0.02529665879426311, 0.03864830214534372]]","[[0.04904039639964201, 0.05727589224429031, 0.033835944418140806, 0.029617293782992014, 0.030483747386721955], [0.0314208503714321, 0.043952900292133334, 0.014214744553572144, 0.04510641438437442, 0.030651616972581362], [0.03766966479945456, 0.044587163692520936, 0.055892726930888585, 0.02833465140135669, 0.045876740899908376], [0.04454521693122386, 0.05432590791077485, 0.03286633906217581, 0.07497777572532208, 0.02664941356692647], [0.04147054721277942, 0.048765110472628825, 0.03387879969430002, 0.03164087269576926, 0.03291926819808989]]",1000,1.0,0.0,5.339444442142849e-13,9.996226069119984e-12,1.7621940525696399e-06,4.0666702626097895e-05,0.0,0.0,0.22354789496702143,0.19263329199748114,0.00016369138250593097,1.0,0.1,0.08290944359309571,0.1201519631953484,0.049,0.03726103464736061,0.06419070150661012,1.0,0.103,0.08565481000508716,0.1233836362324436,0.051,0.03900094277526684,0.06643548634476167,1.0,0.102,0.0847391351848472,0.12230696456965469,0.051,0.03900094277526684,0.06643548634476167,1.0,0.103,0.08565481000508716,0.1233836362324436,0.051,0.03900094277526684,0.06643548634476167
random_5x10_d5,6,5,5,10,500,2000,0.15,2.0,20.0,0.815160756790099,0.6160630152423734,1,0.1499999999999997,0.14999999999998748,1.2212453270876722e-14,1.043441998171027,0.2354914107451832,0.2614261021279734,0.11411702002380286,0.20522073180112388,0.00015198564662872468,0.0018839524570970323,0.07599282331436234,3.7679049141940646,0.0,0.0,0.46,0.0,False,2026072501,2026072501:random_5x10_d5,hard,"[[0.028201004890112253, 0.0028402061303315095, 0.024583663724055186, 0.011416783684535784, 0.0009747886365998698, 0.003855599025960851, 0.13150877334775368, 0.0025605981495418315, 0.004423829577582, 0.018672638487311474], [0.09320515179895454, 0.019737382340528253, 0.009452555929556922, 0.04117109839394262, 0.03442516977617562, 0.05585722004991489, 0.10109116733843851, 0.03329516494167515, 0.026383465377617633, 0.020704694439626612], [0.028657345611624137, 0.001072916893533234, 0.007967682239537748, 0.00565858170788984, 0.002236223982877629, 0.010002465164964358, 0.050371595050473686, 0.008592453270004676, 0.001824207168992689, 0.003007533833174738], [0.003067715991203736, 0.00015198564662872468, 0.009011284307115477, 0.008818209315397648, 0.0003470406471659928, 0.0016327755521969225, 0.045526427894922665, 0.013428477423923533, 0.005159471269340748, 0.0189141942557676], [0.006462092657189763, 0.00032414056013940415, 0.0055974462904360735, 0.009460926424336245, 0.0007543539735952963, 0.02553400461238018, 0.04025718812251049, 0.0045283963416964, 0.016114298852398862, 0.001157608898366348]]","[[0.0018839524570970323, 0.00906037543705367, 0.026428447642149067, 0.011113554062258578, 0.01876381214655489, 0.012802110139461571, 0.012953846997290337, 0.023202969756391946, 0.014112361682454794, 0.025785716883787706], [0.011911168063932333, 0.030583328454232027, 0.02735513419503861, 0.023884242527547245, 0.01707464034179533, 0.018848349039390474, 0.020426224124010246, 0.023430071854392047, 0.007719578378300631, 0.02583765647648842], [0.008970862315328816, 0.005223322041663094, 0.022063751932868723, 0.006755748933144299, 0.013220894791039642, 0.005279208955807205, 0.040544338291587566, 0.01229400570517939, 0.026497445095676978, 0.006181780326705507], [0.009739506528491329, 0.01963310142862731, 0.020109978861486136, 0.01637779151702768, 0.04069751257737877, 0.006708678981316786, 0.008030245146532645, 0.03513934127343385, 0.05170166079211781, 0.023182201535756168], [0.03484688738932647, 0.04309646702856819, 0.029781706093629325, 0.06368773870914161, 0.021634398014496965, 0.023434819083531837, 0.009528692959634393, 0.004403495326541944, 0.00638843223959929, 0.021668445464733507]]",1000,0.999,0.196,2.0157320257396804e-13,8.987033339735717e-12,1.0770817725888846e-06,0.0004238473160062166,0.15676000000000004,0.00047999999999999996,0.4950525104207918,0.4229428120306693,0.0001573524969862774,1.0,0.111,0.09299921045824965,0.13197800764351225,0.063,0.049549663211729086,0.0797949237046461,0.999,0.31931931931931934,0.2911484508977383,0.34887440932134045,0.22122122122122123,0.19657761060790577,0.2480005975417531,0.999,0.3133133133133133,0.2853116737010933,0.3427451874116944,0.2172172172172172,0.19275634126986615,0.2438445341422654,0.999,0.31431431431431434,0.28628408565752567,0.34376710863964394,0.21921921921921922,0.19466654087551627,0.24592300090537894
random_2x2_d0,0,0,2,2,400,400,0.03,50.0,50.0,0.2543636122529566,0.25069613195970397,1,0.02999999999998848,0.030000000000000027,-1.1546319456101628e-14,0.4814375360823758,0.05798384385395715,0.0581971886470407,4.844098317913215e-06,9.68784384176693e-06,0.13949776846866332,0.16451923070688146,55.79910738746533,65.80769228275258,0.0,0.0,0.0,0.0,True,2026072601,2026072601:random_2x2_d0,easy,"[[0.26423071329066267, 0.13949776846866332], [0.24235169861890538, 0.35391981962176877]]","[[0.21291253416436204, 0.2736574976528604], [0.3489107374758962, 0.16451923070688146]]",1000,1.0,0.0,1.0158884844457816e-13,7.384426403689304e-12,3.0743786655394567e-07,7.327924418709664e-06,0.0,0.0,0.020180532577913253,0.02004681300604716,0.00012596448173280805,1.0,0.098,0.08108201152335034,0.11799470229903597,0.034,0.024431348663226313,0.04713519024531107,1.0,0.109,0.09116003338451377,0.12983249175119033,0.041,0.03036497108209831,0.0551479932076413,1.0,0.109,0.09116003338451377,0.12983249175119033,0.041,0.03036497108209831,0.0551479932076413,1.0,0.109,0.09116003338451377,0.12983249175119033,0.041,0.03036497108209831,0.0551479932076413
random_2x5_d2,1,2,2,5,250,1000,0.15,5.0,1.2,0.6367893500059991,0.6640852873452264,1,0.1499999999999999,0.15000000000000036,-4.440892098500626e-16,0.3669892870589832,0.25212264938544027,0.2385299682199042,0.12287226457787837,0.20862022015125598,0.01007545518272863,0.008876670836574922,2.5188637956821576,8.876670836574922,0.0,0.0,0.0,0.0,False,2026072601,2026072601:random_2x5_d2,hard,"[[0.046982199178312804, 0.10067994749562298, 0.14882217128751726, 0.01007545518272863, 0.052098248189573156], [0.11534649394686924, 0.06682030060428544, 0.04752315654124233, 0.08914645309857243, 0.32250557447527584]]","[[0.04396308290373364, 0.14069440741345648, 0.12454587105966185, 0.06792588773538798, 0.0739134899001257], [0.08710212094226778, 0.027648906222828736, 0.11133766588968852, 0.008876670836574922, 0.31399189709627445]]",1000,1.0,0.008,4.034899081517551e-13,9.868106332078241e-12,4.786383791580101e-07,8.530768570297331e-06,0.007,0.0,0.06537713645084295,0.0541917915106751,0.00014877070649527014,1.0,0.131,0.11149250620200898,0.15333164156033072,0.082,0.06655195342021952,0.10064721667370458,1.0,0.135,0.11521137849166016,0.1575821552027951,0.072,0.05756392168091441,0.08971178358272076,1.0,0.131,0.11149250620200898,0.15333164156033072,0.072,0.05756392168091441,0.08971178358272076,1.0,0.135,0.11521137849166016,0.1575821552027951,0.072,0.05756392168091441,0.08971178358272076
