configuration_id,pair_id,shape,profile,n_p,n_q,target_mi_p,target_mi_q,section,replicates,pilot_sd,standardized_bias,mean_se2_over_empirical_var,empirical_var_over_first_order,normal_wald_rate,independent_mc_sd_rate,population_first_order_sd_rate,median_combined_df,numerator_se2_correlation
config_033b35a7a6c4fa8a,pair_cd3f51adc4b4ed85,2x2,same_skew,10,10,0.02,0.02,main,20000,0.14980364860897175,0.0055753705960325415,0.7710182832460472,2.589993285804404,0.0325,0.07985,0.18595,2.5192584030811425,0.005124457683125814
config_fe2608b927842b4e,pair_cd3f51adc4b4ed85,2x2,same_skew,20,20,0.02,0.02,main,20000,0.08895257771407214,-0.0034759005739584945,1.0482424109458341,1.8264211482666284,0.0248,0.07615,0.13825,1.809860566809854,-0.009570121326573639
config_4fa1b8764eb1feab,pair_cd3f51adc4b4ed85,2x2,same_skew,50,50,0.02,0.02,main,20000,0.04736801365752343,-0.010345523702118652,1.1482106148506082,1.2947747065754698,0.0083,0.06185,0.09035,2.474463903146975,-0.013928824955131314
config_6dbf8a7718ae549e,pair_cd3f51adc4b4ed85,2x2,same_skew,100,100,0.02,0.02,main,20000,0.031473229980668344,0.0024796141426744046,1.0850625520062123,1.1432375653999445,0.0094,0.0592,0.0741,4.1806572495269485,0.0079692850645617
config_f70a142c88b85017,pair_cd3f51adc4b4ed85,2x2,same_skew,250,250,0.02,0.02,main,20000,0.01912790439183555,-0.0032592992623072707,1.0407476882906679,1.0556711409152975,0.0249,0.05345,0.059,9.60901577226906,-0.000723886115716891
config_895d00be250e7299,pair_cd3f51adc4b4ed85,2x2,same_skew,500,500,0.02,0.02,main,20000,0.013276151303818571,0.00924311115206948,1.03180049213211,1.0171107555442542,0.03835,0.0543,0.0559,18.684858714240555,-0.002479428021954292
config_c89d367d7c2b178b,pair_cd3f51adc4b4ed85,2x2,same_skew,1000,1000,0.02,0.02,main,20000,0.00939037244312142,-0.007065828718590237,1.004947635294199,1.0176993364181817,0.0442,0.0486,0.05065,36.75485152487094,-0.002847352889585655
config_edfcd95edaba3209,pair_308be584e4c09575,2x2,different_skew,2,2,0.02,0.02,main,20000,0.3635190231266386,0.11478755612514993,0.0,3.146558787299147,0.0,0.0,0.2728,,
config_3d7d09758558e44b,pair_308be584e4c09575,2x2,different_skew,5,5,0.02,0.02,main,20000,0.23585608355214782,0.11901353186289457,0.5068268890348899,3.3114312195072855,0.0962,0.09925,0.20675,2.516550149175653,-0.06574999211330614
config_d3b1f0fe8ea3fd07,pair_308be584e4c09575,2x2,different_skew,10,10,0.02,0.02,main,20000,0.14786518206948943,0.038912726522235125,0.7995582896040951,2.6030554165653212,0.0416,0.0754,0.18765,2.2694385566940896,-0.1017444366191436
config_1e065a6d4aba5a1f,pair_308be584e4c09575,2x2,different_skew,20,20,0.02,0.02,main,20000,0.08863807616827447,-0.013927898641969394,1.0314144844121338,1.8707778001809654,0.02475,0.0707,0.1372,1.6908145600647633,-0.052199781390604084
config_8be244c92203b43d,pair_308be584e4c09575,2x2,different_skew,50,50,0.02,0.02,main,20000,0.04621793799671294,-0.019028507663642967,1.1500819266952313,1.2715771196450816,0.0079,0.0617,0.08585,2.5422082067285996,-0.0648844529719626
config_e9d9809ebf11d319,pair_308be584e4c09575,2x2,different_skew,100,100,0.02,0.02,main,20000,0.030509868243625702,-0.007350179895256398,1.1092141729242222,1.1082359484128343,0.0114,0.061,0.07235,4.383273268524244,-0.0778784014621374
config_53e7da32ac5c61fc,pair_308be584e4c09575,2x2,different_skew,250,250,0.02,0.02,main,20000,0.018814072379738474,0.004831029914035734,1.0413538798061486,1.0535549666551702,0.0295,0.0551,0.06055,10.13148576409505,-0.06997197597316657
config_eec415392181e974,pair_308be584e4c09575,2x2,different_skew,500,500,0.02,0.02,main,20000,0.013059511976456753,-0.006795442978415421,1.029428723010277,1.015255777312831,0.0391,0.0542,0.05595,19.552456192089995,-0.08671570763910638
config_b84ad3320df042e5,pair_308be584e4c09575,2x2,different_skew,1000,1000,0.02,0.02,main,20000,0.009347687414849756,0.002589679669391507,0.9842688282951966,1.040303193385558,0.04545,0.04865,0.053,38.59813434747163,-0.07058293430916801
config_8e221207ee4be0c8,pair_915fd4445dd7693e,3x3,uniform,2,2,0.02,0.02,main,20000,0.485466808167308,0.006710637460324531,0.0,6.092798066203778,0.0,0.0,0.4967,,
config_7b7827a432b4b65e,pair_915fd4445dd7693e,3x3,uniform,5,5,0.02,0.02,main,20000,0.3283358262624417,-0.006359047699614778,0.5817726800481587,6.967456330471776,0.1961,0.0551,0.5005,3.922347711850152,0.006112154079016561
config_bd657c8ee6eb9b2a,pair_915fd4445dd7693e,3x3,uniform,10,10,0.02,0.02,main,20000,0.2040943411899822,0.00639254728886401,0.7975401076505513,5.384304733215323,0.1019,0.0526,0.3841,6.51179499183295,-0.01017340626354177
config_65097c528c492add,pair_915fd4445dd7693e,3x3,uniform,20,20,0.02,0.02,main,20000,0.12934833715173877,0.015170603893507831,0.870804653001561,4.325331521555641,0.0731,0.057,0.3211,5.968895081292617,0.01689255274791138
config_83d3ec65449a13ce,pair_915fd4445dd7693e,3x3,uniform,50,50,0.02,0.02,main,20000,0.05956596512632763,0.006643504619777299,1.1845820165060579,2.2931585059470967,0.0279,0.0554,0.1746,7.734234673428214,0.01872943011044796
config_535b900f376746de,pair_915fd4445dd7693e,3x3,uniform,100,100,0.02,0.02,main,20000,0.03512212118032278,-0.008313824070709491,1.2079787550316612,1.5945170908409851,0.01825,0.05365,0.11825,9.356499257594258,-0.013491511659967748
config_3e6575ed820626d3,pair_915fd4445dd7693e,3x3,uniform,250,250,0.02,0.02,main,20000,0.01935341753462605,-0.00043770510068566595,1.1356229499644734,1.2103836423974597,0.0259,0.05225,0.07615,15.403245118795954,0.001487546474933691
